,N,iter_count,n_call_callback_fun,n_call_nlp_f,n_call_nlp_g,n_call_nlp_grad,n_call_nlp_grad_f,n_call_nlp_hess_l,n_call_nlp_jac_g,n_call_total,return_status,success,t_proc_callback_fun,t_proc_nlp_f,t_proc_nlp_g,t_proc_nlp_grad,t_proc_nlp_grad_f,t_proc_nlp_hess_l,t_proc_nlp_jac_g,t_proc_total,t_wall_callback_fun,t_wall_nlp_f,t_wall_nlp_g,t_wall_nlp_grad,t_wall_nlp_grad_f,t_wall_nlp_hess_l,t_wall_nlp_jac_g,t_wall_total,unified_return_status
"0",48,21,0,67,24,0,23,21,23,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.000322,0.00014800000000000002,0.0,0.000141,0.00037499999999999995,0.00025499999999999996,0.010477,SOLVER_RET_SUCCESS
"900.0",48,20,0,62,21,0,22,20,22,1,0,True,0.0,0.002,0.001,0.0,0.001,0.001,0.0,0.012,0.0,0.0003310000000000004,0.00015,0.0,0.000158,0.00039900000000000016,0.00026599999999999996,0.011304,SOLVER_RET_SUCCESS
"1800.0",48,62,0,189,64,0,64,62,64,1,0,True,0.0,0.0,0.0,0.0,0.001,0.004,0.001,0.027,0.0,0.0008199999999999988,0.0003880000000000003,0.0,0.0003700000000000003,0.0010100000000000005,0.0006450000000000002,0.027123,SOLVER_RET_SUCCESS
"2700.0",48,27,0,84,29,0,29,27,29,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0004310000000000006,0.00020600000000000005,0.0,0.00018900000000000007,0.000522,0.0003360000000000001,0.014615,SOLVER_RET_SUCCESS
"3600.0",48,63,0,192,65,0,65,63,65,1,0,True,0.0,0.001,0.0,0.0,0.001,0.001,0.0,0.029,0.0,0.0012450000000000015,0.00039600000000000003,0.0,0.0006390000000000004,0.0011329999999999995,0.0006640000000000005,0.028635,SOLVER_RET_SUCCESS
"4500.0",48,63,0,192,65,0,65,63,65,1,0,True,0.0,0.003,0.001,0.0,0.0,0.001,0.0,0.028,0.0,0.0009240000000000002,0.00039299999999999996,0.0,0.0003850000000000001,0.0010439999999999991,0.0006700000000000009,0.028253,SOLVER_RET_SUCCESS
"5400.0",48,29,0,90,31,0,31,29,31,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.013,0.0,0.00038799999999999956,0.00019100000000000012,0.0,0.00020900000000000015,0.00048399999999999995,0.000347,0.013041,SOLVER_RET_SUCCESS
"6300.0",48,63,0,192,65,0,65,63,65,1,0,True,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.027,0.0,0.0008259999999999992,0.0003920000000000002,0.0,0.0003780000000000003,0.001012000000000001,0.0006280000000000001,0.027133,SOLVER_RET_SUCCESS
"7200.0",48,63,0,192,65,0,65,63,65,1,0,True,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.027,0.0,0.0008259999999999988,0.00037700000000000016,0.0,0.0003900000000000003,0.0010130000000000007,0.0006550000000000003,0.026518,SOLVER_RET_SUCCESS
"8100.0",48,56,0,171,58,0,58,56,58,1,0,True,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.023,0.0,0.0008139999999999992,0.00037000000000000027,0.0,0.0003460000000000002,0.0009870000000000002,0.0005590000000000001,0.023792,SOLVER_RET_SUCCESS
"9000.0",48,63,0,192,65,0,65,63,65,1,0,True,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.026,0.0,0.0008259999999999987,0.0003710000000000003,0.0,0.0003670000000000004,0.0010270000000000004,0.00073,0.026329,SOLVER_RET_SUCCESS
