,N,iter_count,n_call_callback_fun,n_call_nlp_f,n_call_nlp_g,n_call_nlp_grad,n_call_nlp_grad_f,n_call_nlp_hess_l,n_call_nlp_jac_g,n_call_total,return_status,success,t_proc_callback_fun,t_proc_nlp_f,t_proc_nlp_g,t_proc_nlp_grad,t_proc_nlp_grad_f,t_proc_nlp_hess_l,t_proc_nlp_jac_g,t_proc_total,t_wall_callback_fun,t_wall_nlp_f,t_wall_nlp_g,t_wall_nlp_grad,t_wall_nlp_grad_f,t_wall_nlp_hess_l,t_wall_nlp_jac_g,t_wall_total,unified_return_status
"0",48,22,0,70,25,0,24,22,24,1,0,True,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0003530000000000004,0.00016900000000000004,0.0,0.00016,0.00041600000000000003,0.00027899999999999995,0.012775,SOLVER_RET_SUCCESS
"900.0",48,21,0,65,22,0,23,21,23,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0003150000000000002,0.000146,0.0,0.000144,0.00044999999999999993,0.000262,0.010781,SOLVER_RET_SUCCESS
"1800.0",48,22,0,71,26,0,24,22,24,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0003790000000000003,0.00017700000000000005,0.0,0.00016300000000000003,0.0004459999999999999,0.000279,0.012058,SOLVER_RET_SUCCESS
"2700.0",48,32,0,101,36,0,34,32,34,1,0,True,0.0,0.001,0.0,0.0,0.0,0.0,0.002,0.013,0.0,0.00042199999999999936,0.00019500000000000016,0.0,0.00018700000000000015,0.0004940000000000001,0.00032300000000000004,0.013924,SOLVER_RET_SUCCESS
"3600.0",48,30,0,102,41,0,32,30,32,1,0,True,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.015,0.0,0.0004719999999999996,0.00024300000000000021,0.0,0.0001840000000000001,0.0005080000000000001,0.0003170000000000001,0.014499,SOLVER_RET_SUCCESS
"4500.0",48,67,0,206,71,0,69,67,69,1,0,True,0.0,0.002,0.0,0.0,0.0,0.0,0.001,0.028,0.0,0.0008779999999999985,0.0003830000000000005,0.0,0.0003750000000000004,0.0009970000000000007,0.0006289999999999997,0.027622,SOLVER_RET_SUCCESS
"5400.0",48,38,0,119,42,0,40,38,40,1,0,True,0.0,0.001,0.0,0.0,0.0,0.0,0.002,0.021,0.0,0.0006490000000000009,0.000311,0.0,0.00028600000000000007,0.0007700000000000005,0.00047800000000000023,0.021215,SOLVER_RET_SUCCESS
"6300.0",48,62,0,195,70,0,64,62,64,1,0,True,0.0,0.004,0.0,0.0,0.001,0.001,0.0,0.026,0.0,0.000830999999999999,0.0003930000000000004,0.0,0.00039400000000000025,0.0009930000000000004,0.0006059999999999998,0.026684,SOLVER_RET_SUCCESS
"7200.0",48,35,0,110,39,0,37,35,37,1,0,True,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.015,0.0,0.0005369999999999994,0.0002110000000000002,0.0,0.00021300000000000016,0.0005470000000000002,0.00033899999999999995,0.01502,SOLVER_RET_SUCCESS
"8100.0",48,40,0,125,44,0,42,40,42,1,0,True,0.0,0.001,0.001,0.0,0.001,0.0,0.001,0.019,0.0,0.0005619999999999993,0.00024900000000000025,0.0,0.00023400000000000027,0.0006370000000000003,0.0004009999999999999,0.017571,SOLVER_RET_SUCCESS
"9000.0",48,35,0,110,39,0,37,35,37,1,0,True,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.016,0.0,0.0004969999999999994,0.00047300000000000006,0.0,0.0002090000000000002,0.000588,0.00037500000000000006,0.015925,SOLVER_RET_SUCCESS
