,T_out,P_el
"(0, 0)",,
"(0, 10)",293.1001472460035,0.6475074914962774
"(0, 20)",293.0011861552636,0.642559435972007
"(0, 30)",292.85458706962123,0.6352294802273539
"(0, 40)",292.66250991234057,0.6256256204470814
"(0, 50)",292.4277512501609,0.613887684996047
"(0, 60)",292.15367657413566,0.600183948460501
"(0, 70)",291.8441400909633,0.5847071212138126
"(0, 80)",291.5033946951267,0.5676698480225655
"(0, 90)",291.1359950567619,0.5492998624389918
"(0, 100)",290.746696902204,0.5298349508272959
"(0, 110)",290.3403555812728,0.5095178807269035
"(0, 120)",289.92162146055557,0.48858117051357697
"(0, 130)",289.4954657267547,0.4672733795720208
"(0, 140)",289.0664726054466,0.4458237192268042
"(0, 150)",288.6389684986455,0.42444850962178626
"(0, 160)",288.2169561258601,0.40334788677234384
"(0, 170)",287.804061032335,0.3827031279768784
"(0, 180)",287.40349111086715,0.3626746279072287
"(0, 190)",287.01800929992226,0.3434005335142575
"(0, 200)",286.6499191679827,0.3249960232450579
"(0, 210)",286.3010626890569,0.3075531958184269
"(0, 220)",285.97282917045754,0.29114151661386645
"(0, 230)",285.6661740205616,0.2758087560597446
"(0, 240)",285.38164584638986,0.26158234451258777
"(0, 250)",285.1194202496223,0.24847106205813638
"(0, 260)",284.8793386423511,0.2364669792994236
"(0, 270)",284.66095042471795,0.22554756623903538
"(0, 280)",284.4635569471266,0.21567789039018495
"(0, 290)",284.28625580971897,0.20681283175097367
"(0, 300)",284.12798421994927,0.19889925068350567
"(0, 310)",283.9875603235707,0.19187805446364714
"(0, 320)",283.8637216337431,0.18568611873680455
"(0, 330)",283.7551598965416,0.18025803079366984
"(0, 340)",283.6605519394629,0.17552763199588556
"(0, 350)",283.5785862447457,0.17142934644230126
"(0, 360)",283.5079851651961,0.16789929176047255
"(0, 370)",283.44752285246466,0.16487617552070458
"(0, 380)",283.3960390936886,0.1623019870682805
"(0, 390)",283.35244935104976,0.16012249950146656
"(0, 400)",283.31575137055245,0.1582876001104863
"(0, 410)",283.28502877272155,0.15675146991243993
"(0, 420)",283.25945206133184,0.1554726340877921
"(0, 430)",283.2382774898628,0.1544139053030923
"(0, 440)",283.22084421246166,0.15354224125911478
"(0, 450)",283.2065701203064,0.15282853650895045
"(0, 460)",283.19494672895314,0.15224736682532722
"(0, 470)",283.18553344063025,0.15177670231526758
"(0, 480)",283.1779514604882,0.1513976032325239
"(0, 490)",283.1718775999589,0.1510939101454645
"(0, 500)",283.1670381556422,0.1508519378813497
"(0, 510)",283.1632030100633,0.15066018056414043
"(0, 520)",283.1601800623594,0.1505090331487935
"(0, 530)",283.1578100631562,0.1503905331649842
"(0, 540)",283.15596199589856,0.15029812978366625
"(0, 550)",283.15452849447814,0.15022645469834447
"(0, 560)",283.1534225827774,0.15017115910227624
"(0, 570)",283.15257398555565,0.15012872923271856
"(0, 580)",283.1519259232594,0.15009632611144333
"(0, 590)",283.15143396207253,0.15007172804719057
"(0, 600)",283.15106240915924,0.15005315039782113
"(0, 610)",283.1507831634681,0.15003918811047917
"(0, 620)",283.1505743941125,0.15002874964061422
"(0, 630)",283.15041913209666,0.15002098653827506
"(0, 640)",283.15030426769727,0.15001524331715793
"(0, 650)",283.1502197293343,0.15001101639816886
"(0, 660)",283.1501578422142,0.15000792204154556
"(0, 670)",283.1501127686986,0.15000566836531373
"(0, 680)",283.1500801138611,0.15000403562311407
"(0, 690)",283.1500565794012,0.15000285889988735
"(0, 700)",283.15003970469843,0.15000201516457815
"(0, 710)",283.15002766869776,0.15000141336442288
"(0, 720)",283.15001912843593,0.15000098635124473
"(0, 730)",283.1500130998522,0.15000068492199856
"(0, 740)",283.15000886624,0.15000047324134927
"(0, 750)",283.1500059084696,0.15000032535279798
"(0, 760)",283.1500038527127,0.15000022256493395
"(0, 770)",283.1500024312504,0.1500001514918058
