,T_out,P_el,_mDot_full
"(0, 0)",,,
"(0, 10)",293.10012474303664,0.6475063663495799,0.05000000997656391
"(0, 20)",293.001119250775,0.6425560907487643,0.05000000997656391
"(0, 30)",292.85445504916606,0.6352228792051137,0.05000000997656391
"(0, 40)",292.66229377696544,0.6256148136779719,0.05000000997656391
"(0, 50)",292.42743417801427,0.6138718313873224,0.05000000997656391
"(0, 60)",292.15324429393524,0.600162334447899,0.05000000997656391
"(0, 70)",291.843581152772,0.584679174300361,0.05000000997656391
"(0, 80)",291.5027006282456,0.5676351446732216,0.05000000997656391
"(0, 90)",291.13516040921445,0.5492581300548777,0.05000000997656391
"(0, 100)",290.7457191609821,0.5297860637579773,0.05000000997656391
"(0, 110)",290.3392349770205,0.5094618505045786,0.05000000997656391
"(0, 120)",289.9205661152713,0.488528403240244,0.05000000997656391
"(0, 130)",289.4944767970835,0.467223933079947,0.05000000997656391
"(0, 140)",289.0655505335908,0.4457776156260996,0.05000000997656391
"(0, 150)",288.6381130525443,0.42440573730941955,0.05000000997656391
"(0, 160)",288.21616644963643,0.4033084029544503,0.05000000997656391
"(0, 170)",287.8033357050785,0.3826668616079174,0.05000000997656391
"(0, 180)",287.40282821172093,0.36264148294435,0.05000000997656391
"(0, 190)",287.0174064774314,0.3433703923846929,0.05000000997656391
"(0, 200)",286.6493737116851,0.3249687504256719,0.05000000997656391
"(0, 210)",286.3005716014214,0.30752864143264086,0.05000000997656391
"(0, 220)",285.9723892374328,0.29111951995908014,0.05000000997656391
"(0, 230)",285.6657818791975,0.27578914898842616,0.05000000997656391
"(0, 240)",285.3812980482373,0.2615649546022442,0.05000000997656391
"(0, 250)",285.1191133188644,0.2484557155178971,0.05000000997656391
"(0, 260)",284.8790691278861,0.23645350357416836,0.05000000997656391
"(0, 270)",284.66071494566864,0.2255357922848712,0.05000000997656391
"(0, 280)",284.4633522315002,0.21566765460744655,0.05000000997656391
"(0, 290)",284.2860787261603,0.20680397757186889,0.05000000997656391
"(0, 300)",284.1278318027376,0.19889162982197475,0.05000000997656391
"(0, 310)",283.9874297911744,0.1918715278430871,0.05000000997656391
"(0, 320)",283.86361040138723,0.18568055711843062,0.05000000997656391
"(0, 330)",283.75506558333944,0.18025331513314008,0.05000000997656391
"(0, 340)",283.66047237074355,0.17552365355963048,0.05000000997656391
"(0, 350)",283.57851945023555,0.17142600671662309,0.05000000997656391
"(0, 360)",283.507929373738,0.16789650218750163,0.05000000997656391
"(0, 370)",283.4474764839516,0.16487385709506663,0.05000000997656391
"(0, 380)",283.39600074882907,0.16230006982538955,0.05000000997656391
"(0, 390)",283.3524177995742,0.1601209219278368,0.05000000997656391
"(0, 400)",283.3157255383913,0.15828630850263184,0.05000000997656391
"(0, 410)",283.28500772862355,0.1567504177077824,0.05000000997656391
"(0, 420)",283.2594350033186,0.15547178118740515,0.05000000997656391
"(0, 430)",283.23826373186955,0.1544132174037374,0.05000000997656391
"(0, 440)",283.220833171413,0.1535416892070138,0.05000000997656391
"(0, 450)",283.2065613038503,0.15282809568649625,0.05000000997656391
"(0, 460)",283.1949397239822,0.15224701657714682,0.05000000997656391
"(0, 470)",283.18552790270337,0.15177642541931127,0.05000000997656391
"(0, 480)",283.1779471041993,0.1513973854184735,0.05000000997656391
"(0, 490)",283.1718741902708,0.15109373966146408,0.05000000997656391
"(0, 500)",283.16703550017405,0.15085180510834853,0.05000000997656391
"(0, 510)",283.16320095229645,0.15066007767621664,0.05000000997656391
"(0, 520)",283.16017847571305,0.15050895381689453,0.05000000997656391
"(0, 530)",283.15780887763134,0.15039047388916646,0.05000000997656391
"(0, 540)",283.1559611636079,0.15029808816956067,0.05000000997656391
"(0, 550)",283.15452784387605,0.1502264221686674,0.05000000997656391
"(0, 560)",283.1534221464061,0.1501711372841379,0.05000000997656391
"(0, 570)",283.15257372017584,0.15012871596416197,0.05000000997656391
