,T_out,P_el
"(0, 0)",,
"(0, 10)",293.1001472459738,0.6475074917931402
"(0, 20)",293.0011861551749,0.6425594362636396
"(0, 30)",292.8545870694461,0.6352294805112892
"(0, 40)",292.6625099120542,0.6256256207210263
"(0, 50)",292.42775124974065,0.6138876852578901
"(0, 60)",292.1536765735624,0.6001839487083789
"(0, 70)",291.844140090222,0.5847071214461637
"(0, 80)",291.5033946942063,0.567669848238105
"(0, 90)",291.1359950556554,0.5492998626367644
"(0, 100)",290.74669690090894,0.5298349510066721
"(0, 110)",290.3403555797905,0.5095178808875593
"(0, 120)",289.92162145889205,0.4885811706555222
"(0, 130)",289.49546572491886,0.4672733796955363
"(0, 140)",289.0664726034508,0.44582371933243287
"(0, 150)",288.638968496504,0.4244485097102843
"(0, 160)",288.21695612358974,0.4033478868446791
"(0, 170)",287.8040610299553,0.38270312803422435
"(0, 180)",287.40349110839685,0.3626746279508216
"(0, 190)",287.0180092973814,0.34340053354544237
"(0, 200)",286.64991916539066,0.32499602326520466
"(0, 210)",286.30106268643283,0.30755319582893653
"(0, 220)",285.97282916781944,0.29114151661610926
"(0, 230)",285.6661740179265,0.2758087560550761
"(0, 240)",285.38164584377324,0.2615823445022879
"(0, 250)",285.1194202470379,0.24847106204340677
"(0, 260)",284.8793386398099,0.23646697928132018
"(0, 270)",284.6609504222297,0.22554756621854383
"(0, 280)",284.46355694469776,0.21567789036812163
"(0, 290)",284.28625580735536,0.20681283172808557
"(0, 300)",284.1279842176552,0.19889925066044442
"(0, 310)",283.98756032134776,0.191878054440912
"(0, 320)",283.8637216315919,0.18568611871480029
"(0, 330)",283.75515989446114,0.18025803077270305
"(0, 340)",283.66055193745234,0.17552763197623217
"(0, 350)",283.5785862428016,0.171429346424082
"(0, 360)",283.50798516331474,0.16789929174376744
"(0, 370)",283.4475228506423,0.16487617550555667
"(0, 380)",283.3960390919216,0.1623019870547119
"(0, 390)",283.3524493493322,0.16012249948936647
"(0, 400)",283.3157513688802,0.15828760009980877
"(0, 410)",283.28502877109,0.1567514699030896
"(0, 420)",283.2594520597367,0.15547263407966863
"(0, 430)",283.2382774883006,0.15441390529612953
"(0, 440)",283.2208442109274,0.1535422412531487
"(0, 450)",283.20657011879626,0.15282853650386063
"(0, 460)",283.1949467274645,0.15224736682104392
"(0, 470)",283.18553343916,0.15177670231169113
"(0, 480)",283.17795145903335,0.151397603229543
"(0, 490)",283.1718775985177,0.15109391014302578
"(0, 500)",283.1670381542127,0.15085193787938497
"(0, 510)",283.16320300864294,0.15066018056254496
"(0, 520)",283.16018006094674,0.1505090331475092
"(0, 530)",283.1578100617492,0.1503905331639324
"(0, 540)",283.15596199449664,0.15029812978282195
"(0, 550)",283.15452849307377,0.15022645469734786
"(0, 560)",283.1534225813778,0.15017115910148995
"(0, 570)",283.1525739841602,0.15012872923212306
"(0, 580)",283.1519259218671,0.1500963261109864
"(0, 590)",283.15143394280017,0.15007172715272046
"(0, 600)",283.15106239452035,0.15005314973501493
"(0, 610)",283.1507831523119,0.15003918762179888
"(0, 620)",283.15057438555874,0.15002874928205304
"(0, 630)",283.1504191254798,0.15002098627655502
"(0, 640)",283.1503042625131,0.15001524312707265
"(0, 650)",283.15021972789305,0.15001101639522546
"(0, 660)",283.15015784078963,0.15000792203943633
"(0, 670)",283.1501127672863,0.15000566836381743
"(0, 680)",283.15008011278564,0.1500040356384598
"(0, 690)",283.1500565780038,0.1500028588991316
"(0, 700)",283.1500397036325,0.1500020151803976
"(0, 710)",283.1500276675365,0.15000141337547573
"(0, 720)",283.1500191272069,0.15000098635891235
"(0, 730)",283.15001309852096,0.1500006849245529
"(0, 740)",283.1500088648933,0.15000047324313043
"(0, 750)",283.1500059071112,0.1500003253539936
"(0, 760)",283.15000385134636,0.15000022256572879
"(0, 770)",283.1500024298787,0.15000015149233625
"(0, 780)",283.1500014520607,0.15000010260142296
"(0, 790)",283.15000078288637,0.15000006914270042
"(0, 800)",283.15000032728915,0.15000004636283584
"(0, 810)",283.15000001869436,0.1500000309330922
"(0, 820)",283.1499998107443,0.15000002053558817
"(0, 830)",283.14999967133315,0.1500000135650301
"(0, 840)",283.14999957835084,0.1500000089159118
"(0, 850)",283.1499995166525,0.15000000583099476
"(0, 860)",283.1499994759215,0.1500000037944446
"(0, 870)",283.14999944916997,0.1500000024568681
"(0, 880)",283.14999943169033,0.1500000015828866
"(0, 890)",283.14999942032716,0.15000000101472744
"(0, 900)",283.1499994129789,0.1500000006473149
"(0, 910)",283.9319580340164,0.07122336473372763
"(0, 920)",284.59739332862506,0.08375511158769154
"(0, 930)",285.16253694374296,0.0943981249327483
"(0, 940)",285.64154613821984,0.10341901999879072
"(0, 950)",286.04673916970023,0.1110497792005367
"(0, 960)",286.38880855640383,0.1174917683697185
"(0, 970)",286.67701359610874,0.1229193623505017
"(0, 980)",286.91935354949123,0.12748320645825506
"(0, 990)",287.1227228963116,0.13131314032689315
"(0, 1000)",287.29305005473833,0.13452081032734545
"(0, 1010)",287.4354209198347,0.13720199609435124
"(0, 1020)",287.55418853011156,0.13943867581136882
"(0, 1030)",287.6530701139945,0.14130085382894672
"(0, 1040)",287.73523270366377,0.14284817297919877
"(0, 1050)",287.80336843416416,0.1441313326391363
"(0, 1060)",287.85976057305106,0.14519333222769096
"(0, 1070)",287.90634125165224,0.14607055842420621
"(0, 1080)",287.94474179484155,0.14679373299910758
"(0, 1090)",287.9763364730052,0.14738873676865002
"(0, 1100)",288.0022804288071,0.14787732384711524
"(0, 1110)",288.0235424628567,0.14827773907977415
"(0, 1120)",288.0409332972878,0.1486052503140524
"(0, 1130)",288.05512977105826,0.14887260405520725
"(0, 1140)",288.06669610912763,0.14909042601609082
"(0, 1150)",288.07610067066787,0.1492675365262326
"(0, 1160)",288.0837332110094,0.14941127561580012
"(0, 1170)",288.08991483534004,0.14952769046768002
"(0, 1180)",288.0949112025193,0.14962178407706217
"(0, 1190)",288.0989431361106,0.1496977150826879
"(0, 1200)",288.1021897739445,0.14975885708070003
"(0, 1210)",288.104798574915,0.14980798707668977
"(0, 1220)",288.10689094222016,0.14984739138482592
"(0, 1230)",288.10856602680303,0.14987893725580936
"(0, 1240)",288.1099044448699,0.14990414288667306
"(0, 1250)",288.11097178070634,0.149924243387229
"(0, 1260)",288.11182128405204,0.14994024157813712
"(0, 1270)",288.1124960982936,0.14995294995311767
"(0, 1280)",288.11303110692995,0.14996302545234239
"(0, 1290)",288.11345445300697,0.14997099807704672
"(0, 1300)",288.11378878514233,0.14997729435516602
