Time;PowerPrice
0;-5.27
60;-29.99
120;-56.65
180;-63.14
240;-64.62
300;-67
360;-72.54
420;-76.01
480;-71.45
540;-66.88
600;-62
660;-56.08
720;-49.96
780;-24.29
840;-5.59
900;0.23
960;11.02
1020;23.5
1080;22.91
1140;21.02
1200;21.05
1260;21.95
1320;23.52
1380;18.96
1440;18.12
1500;14.99
1560;13.63
1620;12.15
1680;11.83
1740;14.55
1800;22.58
1860;41.92
1920;47.95
1980;49.9
2040;50
2100;49.7
2160;48.16
2220;47.24
2280;46.1
2340;43.86
2400;43.64
2460;47.37
2520;46.08
2580;41.08
2640;34.94
2700;25.46
2760;21.3
2820;9.94
2880;7.93
2940;0.03
3000;0.02
3060;-5.99
3120;-9.21
3180;-4.64
3240;8.02
3300;11.03
3360;13.28
3420;13.18
3480;13.71
3540;15.42
3600;15.84
3660;16
3720;15.75
3780;15.14
3840;16
3900;15.11
3960;13.37
4020;11.06
4080;10.06
4140;9.3
4200;9.87
4260;4.97
4320;-0.36
4380;-5.57
4440;-7.85
4500;-5.29
4560;-1.75
4620;6.01
4680;19.96
4740;33.59
4800;40.45
4860;41.97
4920;44.91
4980;48.22
5040;46.04
5100;42
5160;41.08
5220;42.04
5280;42.53
5340;51.43
5400;49.96
5460;46.73
5520;41.57
5580;37.09
5640;33.92
5700;28.05
5760;5.96
5820;-0.94
5880;-0.03
5940;0.55
6000;-11.81
6060;8.92
6120;21.68
6180;30.44
6240;36.2
6300;36.3
6360;38.95
6420;39.4
6480;41.69
6540;43.69
6600;44.08
6660;47.1
6720;47.77
6780;56.35
6840;57.42
6900;53.99
6960;42.36
7020;39.9
7080;39.97
7140;36.27
7200;29.45
7260;28.55
7320;28.18
7380;27.33
7440;27.08
7500;28.7
7560;30
7620;31.36
7680;34.19
7740;41.11
7800;44
7860;43.74
7920;44.01
7980;42.9
8040;38.7
8100;37.4
8160;40.52
8220;45.46
8280;49.98
8340;45.9
8400;40.9
8460;33.69
8520;36.26
8580;29.03
8640;21.87
8700;15.98
8760;15.99
8820;14
8880;12.51
8940;13.21
9000;12.17
9060;13.02
9120;20.52
9180;23.22
9240;24.81
9300;28.95
9360;28.96
9420;27.08
9480;23.46
9540;23.7
9600;27.21
9660;30.88
9720;34.34
9780;32.33
9840;31.44
9900;28.94
9960;29.69
10020;27.01
10080;18.91
10140;15.15
10200;15.11
10260;13.42
10320;12.91
10380;17.1
10440;30.03
10500;42.93
10560;44.95
10620;42.57
10680;41.98
10740;41.54
10800;42.9
10860;42.9
10920;40.91
10980;40.97
11040;39.69
11100;40.26
11160;37.99
11220;31.92
11280;28.02
11340;22.35
11400;22.7
11460;4.89
11520;13.09
11580;12.62
11640;9.79
11700;4.99
11760;9.24
11820;14.66
11880;28.17
11940;32.36
12000;32.53
12060;32.38
12120;32.35
12180;34.04
12240;35.99
12300;39.58
12360;40.62
12420;40.98
12480;42.88
12540;44.06
12600;42.91
12660;40.98
12720;40.9
12780;38
12840;32.6
12900;30.61
12960;30
13020;28.3
13080;27.95
13140;26.91
13200;26.63
13260;30.91
13320;34.87
13380;45.09
13440;49.16
13500;48.94
13560;48.04
13620;47.78
13680;47.19
13740;45.24
13800;47.1
13860;47.98
13920;48.9
13980;51.9
14040;52.69
14100;49.1
14160;44
14220;36.99
14280;38.43
14340;37.9
14400;37.33
14460;36.3
14520;34.2
14580;33
14640;33.05
14700;37.09
14760;41.5
14820;53.07
14880;57.02
14940;55.91
15000;55.13
15060;55.91
15120;54.61
15180;54.83
15240;54.74
15300;54.01
15360;54.96
15420;57.04
15480;57.48
15540;54.9
15600;50
15660;43.13
15720;42.4
15780;37.92
15840;33.09
15900;33.45
15960;34
16020;33.08
16080;33.03
16140;35.1
16200;39.93
16260;48.5
16320;48.23
16380;45.99
16440;45.95
16500;46.91
16560;48.49
16620;48.45
16680;45.96
16740;45.92
16800;46.5
16860;50.52
16920;47
16980;44.91
17040;43.01
17100;38.79
17160;35.02
17220;33.24
17280;39.03
17340;30.97
17400;29.87
17460;28.93
17520;28.79
17580;28.98
17640;29.35
17700;31.43
17760;36.43
17820;39.92
17880;39.34
17940;40.96
18000;41.02
18060;38.81
18120;32.16
18180;31.88
18240;34.86
18300;38.9
18360;37.62
18420;32.86
18480;30.59
18540;29.8
18600;29.34
18660;28.8
18720;23.25
18780;22.82
18840;24.01
18900;22.37
18960;22.35
19020;21.66
19080;20.45
19140;22.02
19200;28.09
19260;29.41
19320;29.74
19380;30.13
19440;29.81
19500;29.44
19560;29.94
19620;32.09
19680;34.8
19740;37.99
19800;37.22
19860;34.72
19920;32.65
19980;30.42
20040;32.51
20100;29.53
20160;23.15
20220;24.02
20280;23.1
20340;20.29
20400;22.81
20460;25.17
20520;40.7
20580;49.91
20640;52.73
20700;43.7
20760;32.32
20820;30.3
20880;29.43
20940;29.29
21000;29.42
21060;28.08
21120;24.1
21180;30.01
21240;28.04
21300;18.08
21360;13.59
21420;10.69
21480;10.01
21540;-1.16
21600;-9.61
21660;-6.62
21720;-2.33
21780;-4.92
21840;-0.08
21900;10.59
21960;27.72
22020;38.92
22080;42.13
22140;39.27
22200;40.68
22260;37.99
22320;37.56
22380;36.92
22440;36.06
22500;34.61
22560;36.94
22620;43.21
22680;45.43
22740;43.45
22800;39.9
22860;30.72
22920;30.1
22980;24.62
23040;22.08
23100;14.82
23160;13.49
23220;12.35
23280;10.77
23340;21.09
23400;31.94
23460;40
23520;44.95
23580;42.49
23640;39.88
23700;38.99
23760;34.75
