Time;PowerPrice
0;26.25
60;18.46
120;20.08
180;16.99
240;15.92
300;7.99
360;0.47
420;4.01
480;1.08
540;8.01
600;8.85
660;18.82
720;21.6
780;18.82
840;17.79
900;18.89
960;23.46
1020;38.07
1080;40.58
1140;38.1
1200;36.96
1260;28.85
1320;40.01
1380;35.13
1440;38.71
1500;28.92
1560;24.07
1620;22.25
1680;19.31
1740;20.85
1800;20.48
1860;31.72
1920;33.88
1980;37.86
2040;40.74
2100;44.46
2160;46.54
2220;40.54
2280;39.65
2340;36.98
2400;38.57
2460;50.23
2520;59.72
2580;56.19
2640;44.52
2700;40.03
2760;44.25
2820;40.77
2880;33.56
2940;31.92
3000;29.05
3060;26.72
3120;21.58
3180;17.89
3240;6.89
3300;18.85
3360;20.86
3420;30.43
3480;34.07
3540;43.21
3600;46.37
3660;38.63
3720;31.34
3780;29.68
3840;31.07
3900;46.79
3960;54.13
4020;52.79
4080;45.9
4140;38.56
4200;42.72
4260;39.33
4320;39.14
4380;36.2
4440;34.29
4500;22.07
4560;17.98
4620;26.96
4680;35.39
4740;46.08
4800;44.97
4860;46.55
4920;44.09
4980;41.57
5040;42.12
5100;41.54
5160;40.03
5220;40.59
5280;45.04
5340;52.47
5400;52.85
5460;47.97
5520;41.52
5580;38.58
5640;41.71
5700;40.78
5760;36.6
5820;36.67
5880;34.14
5940;31.92
6000;31.03
6060;35.44
6120;37.74
6180;41.26
6240;44.52
6300;46.28
6360;48.28
6420;49.3
6480;49.91
6540;47.09
6600;45.9
6660;45.85
6720;51.1
6780;66.43
6840;60.83
6900;52.72
6960;41.42
7020;36.68
7080;36.61
7140;41.4
7200;40.57
7260;35.07
7320;34.28
7380;33.64
7440;32.86
7500;34.04
7560;37.71
7620;41.25
7680;41.46
7740;42.65
7800;48.97
7860;50.27
7920;48.94
7980;48.8
8040;42.83
8100;41.57
8160;49.95
8220;60.66
8280;60.04
8340;52.62
8400;47.98
8460;49.35
8520;50.87
8580;39.65
8640;37.3
8700;37.17
8760;36.34
8820;35.11
8880;34.33
8940;36.33
9000;35.81
9060;48.84
9120;54.03
9180;56.53
9240;56
9300;57.71
9360;60.06
9420;54.71
9480;53.51
9540;53.01
9600;66.85
9660;86.18
9720;70.47
9780;55.82
9840;50.43
9900;43.37
9960;48.94
10020;45.21
10080;42.9
10140;40.28
10200;37.95
10260;37.91
10320;35.03
10380;38.2
10440;44.45
10500;57.03
10560;65.22
10620;64.14
10680;62.4
10740;59.16
10800;50.94
10860;49.78
10920;45.33
10980;42.21
11040;41.64
11100;49.35
11160;48.84
11220;42.61
11280;40.19
11340;40.11
11400;41.56
11460;35.64
11520;43.79
11580;40.4
11640;32.75
11700;27.39
11760;22.5
11820;19.11
11880;2.73
11940;21.83
12000;33.47
12060;46.16
12120;47.07
12180;46.97
12240;44.18
12300;40.03
12360;33.43
12420;32.52
12480;37.88
12540;51.03
12600;48.73
12660;47.92
12720;40.74
12780;44.13
12840;47.95
12900;33.2
12960;45.93
13020;31.53
13080;24.8
13140;19.17
13200;18.52
13260;3.33
13320;-9.9
13380;-1.43
13440;10.54
13500;23.89
13560;42.56
13620;46
13680;44.56
13740;36.26
13800;32.05
13860;29.54
13920;41.4
13980;56.73
14040;60
14100;52.99
14160;42.57
14220;45.44
14280;49.95
14340;38.44
14400;39.6
14460;34.01
14520;28.23
14580;21.47
14640;21.47
14700;20.03
14760;20.06
14820;49.26
14880;50.59
14940;50.26
15000;51
15060;52.31
15120;51.68
15180;51.49
15240;50.02
15300;47.98
15360;51.38
15420;81.91
15480;88.07
15540;59.1
15600;50.02
15660;40.3
15720;42.17
15780;34.93
15840;39.32
15900;35.07
15960;37.46
16020;38.65
16080;37.73
16140;39.33
16200;43.54
16260;57.1
16320;71.93
16380;73.63
16440;82.61
16500;73.12
16560;65.09
16620;54.37
16680;53.18
16740;54.06
16800;64.62
16860;68.93
16920;67.55
16980;51.58
17040;47.51
17100;42.65
17160;42.25
17220;36.88
17280;39.59
17340;35.95
17400;35.02
17460;31.95
17520;28.28
17580;32.99
17640;42.19
17700;47.85
17760;48.4
17820;47.45
17880;48.18
17940;50.12
18000;50.01
18060;48.27
18120;44.79
18180;47.48
18240;50.1
18300;62.94
18360;55.24
18420;49.19
18480;42.19
18540;39.73
18600;43.17
18660;38.17
18720;35.78
18780;31.13
18840;31.91
18900;26.79
18960;27.18
19020;35.09
19080;39.1
19140;50.06
19200;51.99
19260;51.95
19320;52.65
19380;53.04
19440;53.11
19500;53.19
19560;52.26
19620;52.29
19680;62.32
19740;69.67
19800;71.07
19860;60.99
19920;49.07
19980;43.68
20040;48.51
20100;43.05
20160;39.1
20220;37.78
20280;37.53
20340;35.08
20400;34.03
20460;40.61
20520;42.15
20580;55.99
20640;65.23
20700;65.86
20760;67.45
20820;66.31
20880;61.09
20940;52.04
21000;51.49
21060;49.09
21120;51.4
21180;63.46
21240;62.45
21300;52
21360;43.2
21420;42.2
21480;42.82
21540;39.23
21600;43.2
21660;38.78
21720;35.08
21780;33.43
21840;33.22
21900;31.64
21960;30.51
22020;35.09
22080;41.31
22140;41.49
22200;40.8
22260;41.48
22320;40.82
22380;36.41
22440;34.94
22500;35.73
22560;37.67
22620;41.76
22680;41.97
22740;35.08
22800;30.57
22860;33.94
22920;36.94
22980;32
23040;28.82
23100;24.03
23160;23.23
23220;13.03
23280;12.9
23340;12.14
23400;12.79
23460;18.07
23520;23.17
23580;36.1
23640;38.28
23700;43.44
23760;43.98
23820;38.68
23880;32.87
23940;28.42
24000;27.26
24060;34.92
24120;46.86
24180;48.68
24240;47.64
24300;40.49
24360;44
24420;42.06
24480;32.83
24540;35.05
24600;32.09
24660;26.58
24720;26.99
24780;32.91
24840;59.93
24900;66
24960;58.12
25020;55.48
25080;53.72
25140;53.79
25200;53.08
25260;51.46
25320;49.79
25380;47.52
25440;50.47
25500;58.57
25560;53.95
25620;50.73
25680;44.78
25740;42.28
25800;48.24
25860;43.06
25920;37.74
25980;37.61
26040;35.28
26100;26.28
26160;28.54
26220;34.73
26280;42.35
26340;51.95
26400;53.78
26460;52.05
26520;51.96
26580;53.08
26640;53.03
26700;51.96
26760;50.91
26820;48.07
26880;48.09
26940;56.06
27000;61.21
27060;52.06
27120;45.83
27180;42.1
27240;47.03
27300;41.5
27360;37.77
27420;36.35
27480;34.51
27540;32.02
27600;27.5
27660;33.4
27720;43.27
27780;53.12
27840;52.02
27900;51.4
27960;51.13
28020;51.24
28080;50.01
28140;48.2
28200;46.58
28260;46.65
28320;46.76
28380;51.9
28440;50.97
28500;47.23
28560;42.21
28620;39.5
28680;41.38
28740;38.18
28800;36.79
28860;34.76
28920;32.03
28980;29.84
29040;31.44
29100;33.2
29160;40.56
29220;50.95
29280;51.77
29340;53.28
29400;53.56
29460;54.34
29520;51.49
29580;51.37
29640;49.97
29700;47.08
29760;50.02
29820;57.9
29880;60.87
29940;50.92
30000;42.57
30060;45.3
30120;45.05
30180;37.94
30240;39.08
30300;35.79
30360;34.54
30420;32.06
30480;30.64
30540;34.36
30600;40.77
30660;51.02
30720;51.97
30780;52.11
30840;51.22
30900;51.51
30960;50.74
31020;47.22
31080;42.37
31140;42.64
31200;42.86
31260;50.2
31320;51.25
31380;46.64
31440;46.2
31500;40.62
31560;41.21
31620;37.78
31680;41.31
31740;35.54
31800;32.99
31860;30.34
31920;28.47
31980;29.98
32040;30.54
32100;34.02
32160;36.43
32220;43.44
32280;45.99
32340;48.71
32400;46.92
32460;43.84
32520;41.22
32580;39.93
32640;41.81
32700;47.72
32760;54.58
32820;51.7
32880;42.99
32940;41.33
33000;43.65
33060;38.12
33120;39.25
33180;33.47
33240;32.15
33300;30.8
33360;26.62
33420;22.94
33480;12.64
33540;21.69
33600;29.09
33660;33.05
33720;39.68
33780;45.92
33840;45.92
33900;39.74
33960;36.02
34020;32.28
34080;35.59
34140;44.78
34200;50.41
34260;48.53
34320;44.63
34380;41.33
34440;43.96
34500;38.31
34560;38.4
34620;37.29
34680;32.61
34740;30.58
34800;27.81
34860;31.93
34920;42.34
34980;52.47
35040;55.65
35100;56.41
35160;58.06
35220;58.29
35280;60.21
35340;59.55
35400;55.17
35460;51.21
35520;51
35580;61.71
35640;61.89
35700;57.51
35760;46.24
35820;43.81
35880;43.82
35940;39.88
36000;40.51
36060;37.83
36120;34.59
36180;31.97
36240;31.99
36300;34.03
36360;43.16
36420;60.03
36480;65.35
36540;68.19
36600;69.69
36660;69.86
36720;64.17
36780;63.73
36840;63.79
36900;60.05
36960;57.05
37020;68.14
37080;76.81
37140;62.94
37200;53.06
37260;46.57
37320;49.84
37380;44.21
37440;45.41
37500;45.07
37560;43.25
37620;38.95
37680;37.51
37740;40.38
37800;47.57
37860;58.99
37920;67.48
37980;62.94
38040;55.67
38100;51.2
38160;48.52
38220;44.64
38280;42.15
38340;38.99
38400;39.02
38460;48.38
38520;48.91
38580;45.01
38640;40.41
38700;36.69
38760;39.45
38820;34.99
38880;28.29
38940;21.02
39000;20.06
39060;18.22
39120;23
39180;31.96
39240;40.99
39300;54.2
39360;53.07
39420;52.81
39480;56.19
39540;57.88
39600;47.31
39660;44.56
39720;40.93
39780;40.09
39840;41.75
39900;50.97
39960;49.96
40020;48.95
40080;44.33
40140;41.59
40200;43.03
40260;34.98
40320;34.77
40380;32.7
40440;32.55
40500;32.04
40560;31.71
40620;34.18
40680;38.17
40740;48.97
