,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,variable,upper,lower,variable,upper,lower,variable,variable,upper,upper,lower,lower,variable,variable,upper,upper,lower,lower
,load,T_upper,T_lower,T_in,_mDot_full,Time,in_provision,cp,C,s_T,r_mDot,prep_time,flex_event_duration,market_time,s_P,T,mDot,r_del_u_mDot,T,T,T,mDot,mDot,mDot,t_sim,T_slack,t_sim,T_slack,t_sim,T_slack,T_out,P_el,T_out,P_el,T_out,P_el
"(0, 0.0)",150.0,294.15,292.15,280.15,0.05000000997656391,0.0,0.0,1000.0,100000.0,250.0,1.0,900.0,7200.0,900.0,10.0,298.16,0.05000000997656391,0.0,298.16000000002015,303.15,288.15,0.050000009999457876,0.05,0.0,,,,,,,,,,,,
"(0, 190.19237886466843)",,,,,,,,,,,,,,,,,,,296.80665289398974,303.15,288.15,,,,0.0,2.656649952506494,inf,inf,-inf,-inf,296.80665289398974,0.8328328112569866,inf,inf,-inf,-inf
"(0, 709.8076211353316)",,,,,,,,,,,,,,,,,,,293.66647117962833,303.15,288.15,,,,0.0,7.391717461503305e-05,inf,inf,-inf,-inf,293.66647117962833,0.675823694138801,inf,inf,-inf,-inf
"(0, 900.0)",150.0,294.15,292.15,280.15,5.200459130471152e-06,900.0,0.0,,,,,,,,,,,,292.721045725747,303.15,288.15,0.018832404826578466,0.05,0.0,,,,,,,,,,,,
"(0, 1090.1923788646684)",,,,,,,,,,,,,,,,,,,292.55914816224407,303.15,288.15,,,,0.0,7.31825019605506e-05,inf,inf,-inf,-inf,292.55914816224407,0.23369410174437308,inf,inf,-inf,-inf
"(0, 1609.8076211353316)",,,,,,,,,,,,,,,,,,,292.14454649271386,303.15,288.15,,,,0.0,0.005450593940078821,inf,inf,-inf,-inf,292.14454649271386,0.2258861552620048,inf,inf,-inf,-inf
"(0, 1800.0)",150.0,294.15,292.15,280.15,0.010112276654335511,1800.0,0.0,,,,,,,,,,,,292.0029345692175,303.15,288.15,0.0023228984466774375,0.05,0.0,,,,,,,,,,,,
"(0, 1990.1923788646684)",,,,,,,,,,,,,,,,,,,292.2353395816465,303.15,288.15,,,,0.0,7.374085356873916e-05,inf,inf,-inf,-inf,292.2353395816465,0.028073016561371504,inf,inf,-inf,-inf
"(0, 2509.807621135332)",,,,,,,,,,,,,,,,,,,292.86509018467825,303.15,288.15,,,,0.0,7.39178525381914e-05,inf,inf,-inf,-inf,292.86509018467825,0.029535863313994756,inf,inf,-inf,-inf
"(0, 2700.0)",150.0,294.15,292.15,280.15,0.010726723380422,2700.0,0.0,,,,,,,,,,,,293.09369460976524,303.15,288.15,0.010540325429365111,0.05,0.0,,,,,,,,,,,,
"(0, 2890.1923788646686)",,,,,,,,,,,,,,,,,,,293.1192370276722,303.15,288.15,,,,0.0,7.392106682372929e-05,inf,inf,-inf,-inf,293.1192370276722,0.1366999787725298,inf,inf,-inf,-inf
"(0, 3409.807621135332)",,,,,,,,,,,,,,,,,,,293.18650389100793,303.15,288.15,,,,0.0,7.392145433857413e-05,inf,inf,-inf,-inf,293.18650389100793,0.13740899345752625,inf,inf,-inf,-inf
"(0, 3600.0)",150.0,294.15,292.15,280.15,0.010710763232699295,3600.0,0.0,,,,,,,,,,,,293.210204234728,303.15,288.15,0.011494766611260166,0.05,0.0,,,,,,,,,,,,
"(0, 3790.1923788646686)",,,,,,,,,,,,,,,,,,,293.2099710459071,303.15,288.15,,,,0.0,7.392138435536709e-05,inf,inf,-inf,-inf,293.2099710459071,0.15012131912274226,inf,inf,-inf,-inf
"(0, 4309.807621135332)",,,,,,,,,,,,,,,,,,,293.20935893354726,303.15,288.15,,,,0.0,7.392137880392574e-05,inf,inf,-inf,-inf,293.20935893354726,0.15011428303410845,inf,inf,-inf,-inf
"(0, 4500.0)",150.0,294.15,292.15,280.15,0.010716244633326452,4500.0,0.0,,,,,,,,,,,,293.2091440250205,303.15,288.15,0.011485968381508201,0.05,0.0,,,,,,,,,,,,
"(0, 4690.192378864668)",,,,,,,,,,,,,,,,,,,293.2091498259252,303.15,288.15,,,,0.0,7.392137721229051e-05,inf,inf,-inf,-inf,293.2091498259252,0.14999698199000935,inf,inf,-inf,-inf
"(0, 5209.807621135332)",,,,,,,,,,,,,,,,,,,293.2091650535504,303.15,288.15,,,,0.0,7.392137758760048e-05,inf,inf,-inf,-inf,293.2091650535504,0.1499971568940304,inf,inf,-inf,-inf
"(0, 5400.0)",150.0,294.15,292.15,280.15,0.010714882509496532,5400.0,0.0,,,,,,,,,,,,293.20917040004065,303.15,288.15,0.011487018589990985,0.05,0.0,,,,,,,,,,,,
"(0, 5590.192378864668)",,,,,,,,,,,,,,,,,,,293.20914983940867,303.15,288.15,,,,0.0,7.39213777446354e-05,inf,inf,-inf,-inf,293.20914983940867,0.1500106969748436,inf,inf,-inf,-inf
"(0, 6109.807621135332)",,,,,,,,,,,,,,,,,,,293.2090958670551,303.15,288.15,,,,0.0,7.392137787240201e-05,inf,inf,-inf,-inf,293.2090958670551,0.15001007699341595,inf,inf,-inf,-inf
"(0, 6300.0)",150.0,294.15,292.15,280.15,0.010715254549092243,6300.0,0.0,,,,,,,,,,,,293.20907691718173,303.15,288.15,0.011449780518181948,0.05,0.0,,,,,,,,,,,,
"(0, 6490.192378864668)",,,,,,,,,,,,,,,,,,,293.20997292428666,303.15,288.15,,,,0.0,7.392137457459099e-05,inf,inf,-inf,-inf,293.20997292428666,0.14953382355636757,inf,inf,-inf,-inf
"(0, 7009.807621135332)",,,,,,,,,,,,,,,,,,,293.2123252719114,303.15,288.15,,,,0.0,7.392136583746675e-05,inf,inf,-inf,-inf,293.2123252719114,0.14956075742039276,inf,inf,-inf,-inf
"(0, 7200.0)",150.0,294.15,292.15,280.15,0.010715155465966953,7200.0,0.0,,,,,,,,,,,,293.2131513027846,303.15,288.15,0.012593401396068763,0.05,0.0,,,,,,,,,,,,
"(0, 7390.192378864668)",,,,,,,,,,,,,,,,,,,293.1858956980624,303.15,288.15,,,,0.0,7.392142495709503e-05,inf,inf,-inf,-inf,293.1858956980624,0.16416626708274282,inf,inf,-inf,-inf
"(0, 7909.807621135332)",,,,,,,,,,,,,,,,,,,293.11461773149773,303.15,288.15,,,,0.0,7.392123448383503e-05,inf,inf,-inf,-inf,293.11461773149773,0.1632686350392634,inf,inf,-inf,-inf
"(0, 8100.0)",150.0,294.15,292.15,280.15,0.010715182035582646,8100.0,0.0,,,,,,,,,,,,293.089694243234,303.15,288.15,-9.624895587712975e-09,0.05,0.0,,,,,,,,,,,,
"(0, 8290.192378864669)",,,,,,,,,,,,,,,,,,,293.37498305101496,303.15,288.15,,,,0.0,7.392103466880719e-05,inf,inf,-inf,-inf,293.37498305101496,-1.2728908251286326e-07,inf,inf,-inf,-inf
"(0, 8809.807621135331)",,,,,,,,,,,,,,,,,,,294.1544065953201,303.15,288.15,,,,0.0,0.004403663912885458,inf,inf,-inf,-inf,294.1544065953201,-1.347909513062776e-07,inf,inf,-inf,-inf
"(0, 9000.0)",150.0,294.15,292.15,280.15,0.010715174923841478,9000.0,0.0,,,,,,,,,,,,294.43969542258543,303.15,288.15,0.021385306106730482,0.05,0.0,,,,,,,,,,,,
"(0, 9190.192378864669)",,,,,,,,,,,,,,,,,,,294.15008128422863,303.15,288.15,,,,0.0,8.136902628159169e-05,inf,inf,-inf,-inf,294.15008128422863,0.2993960238350075,inf,inf,-inf,-inf
"(0, 9709.807621135331)",,,,,,,,,,,,,,,,,,,293.4146574051765,303.15,288.15,,,,0.0,7.392174605401976e-05,inf,inf,-inf,-inf,293.4146574051765,0.2836687591909037,inf,inf,-inf,-inf
"(0, 9900.0)",150.0,294.15,292.15,280.15,0.010715176828334571,9900.0,0.0,,,,,,,,,,,,293.1659038989673,303.15,288.15,0.0030086611538524136,0.05,0.0,,,,,,,,,,,,
"(0, 10090.192378864669)",,,,,,,,,,,,,,,,,,,293.3761045221912,303.15,288.15,,,,0.0,7.392002660887202e-05,inf,inf,-inf,-inf,293.3761045221912,0.03979286727679559,inf,inf,-inf,-inf
"(0, 10609.807621135331)",,,,,,,,,,,,,,,,,,,293.9443160247979,303.15,288.15,,,,0.0,7.391766331953163e-05,inf,inf,-inf,-inf,293.9443160247979,0.04150242339775525,inf,inf,-inf,-inf
