,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,variable,upper,lower,variable,upper,lower,variable,variable,upper,upper,lower,lower,variable,variable,upper,upper,lower,lower
"(0, 10800.0)",150.0,294.15,292.15,280.15,0.01071517631838754,10800.0,0.0,,,,,,,,,,,,294.1500750909268,303.15,288.15,0.010714554683087548,0.05,0.0,,,,,,,,,,,,
"(0, 10990.192378864669)",,,,,,,,,,,,,,,,,,,294.1500664944627,303.15,288.15,,,,0.0,7.575421821414641e-05,inf,inf,-inf,-inf,294.1500664944627,0.15000447790394966,inf,inf,-inf,-inf
"(0, 11509.807621135331)",,,,,,,,,,,,,,,,,,,294.1500438224436,303.15,288.15,,,,0.0,7.456958396491537e-05,inf,inf,-inf,-inf,294.1500438224436,0.15000424856088532,inf,inf,-inf,-inf
"(0, 11700.0)",150.0,294.15,292.15,280.15,0.01071517645493635,11700.0,0.0,,,,,,,,,,,,294.1500358218375,303.15,288.15,0.010714129315581819,0.05,0.0,,,,,,,,,,,,
"(0, 11890.192378864669)",,,,,,,,,,,,,,,,,,,294.1500392379516,303.15,288.15,,,,0.0,7.451460551990646e-05,inf,inf,-inf,-inf,294.1500392379516,0.14999822233714877,inf,inf,-inf,-inf
"(0, 12409.807621135331)",,,,,,,,,,,,,,,,,,,294.15004821274596,303.15,288.15,,,,0.0,7.468597657175481e-05,inf,inf,-inf,-inf,294.15004821274596,0.1499983232653064,inf,inf,-inf,-inf
"(0, 12600.0)",150.0,294.15,292.15,280.15,0.01071517641837281,12600.0,0.0,,,,,,,,,,,,294.1500513666369,303.15,288.15,0.010714276041145214,0.05,0.0,,,,,,,,,,,,
"(0, 12790.192378864669)",,,,,,,,,,,,,,,,,,,294.150050584484,303.15,288.15,,,,0.0,7.474210833963022e-05,inf,inf,-inf,-inf,294.150050584484,0.15000040726319083,inf,inf,-inf,-inf
"(0, 13309.807621135331)",,,,,,,,,,,,,,,,,,,294.1500485247845,303.15,288.15,,,,0.0,7.468793978614535e-05,inf,inf,-inf,-inf,294.1500485247845,0.15000038551627884,inf,inf,-inf,-inf
"(0, 13500.0)",150.0,294.15,292.15,280.15,0.010715176428164256,13500.0,0.0,,,,,,,,,,,,294.1500477991324,303.15,288.15,0.010714241153370666,0.05,0.0,,,,,,,,,,,,
"(0, 13690.192378864669)",,,,,,,,,,,,,,,,,,,294.15004800962265,303.15,288.15,,,,0.0,7.467541219751278e-05,inf,inf,-inf,-inf,294.15004800962265,0.14999989041644918,inf,inf,-inf,-inf
"(0, 14209.807621135331)",,,,,,,,,,,,,,,,,,,294.15004856359144,303.15,288.15,,,,0.0,7.468932606097628e-05,inf,inf,-inf,-inf,294.15004856359144,0.1499998963620152,inf,inf,-inf,-inf
"(0, 14400.0)",150.0,294.15,292.15,280.15,0.010715176425541149,14400.0,0.0,,,,,,,,,,,,294.1500487586341,303.15,288.15,0.010714250434765593,0.05,0.0,,,,,,,,,,,,
"(0, 14590.192378864669)",,,,,,,,,,,,,,,,,,,294.15004870459217,303.15,288.15,,,,0.0,7.469288142924793e-05,inf,inf,-inf,-inf,294.15004870459217,0.15000002813698224,inf,inf,-inf,-inf
"(0, 15109.807621135331)",,,,,,,,,,,,,,,,,,,294.1500485623354,303.15,288.15,,,,0.0,7.468910268976914e-05,inf,inf,-inf,-inf,294.1500485623354,0.15000002661866527,inf,inf,-inf,-inf
"(0, 15300.0)",150.0,294.15,292.15,280.15,0.010715176426243441,15300.0,0.0,,,,,,,,,,,,294.15004851223784,303.15,288.15,0.010714248047468044,0.05,0.0,,,,,,,,,,,,
"(0, 15490.192378864669)",,,,,,,,,,,,,,,,,,,294.1500485262246,303.15,288.15,,,,0.0,7.468816274532903e-05,inf,inf,-inf,-inf,294.1500485262246,0.1499999927185205,inf,inf,-inf,-inf
"(0, 16009.807621135331)",,,,,,,,,,,,,,,,,,,294.15004856304074,303.15,288.15,,,,0.0,7.468917287931404e-05,inf,inf,-inf,-inf,294.15004856304074,0.14999999311200898,inf,inf,-inf,-inf
"(0, 16200.0)",150.0,294.15,292.15,280.15,0.010715176426055172,16200.0,0.0,,,,,,,,,,,,294.1500485760049,303.15,288.15,0.010714248664434727,0.05,0.0,,,,,,,,,,,,
"(0, 16390.192378864667)",,,,,,,,,,,,,,,,,,,294.1500485724038,303.15,288.15,,,,0.0,7.468942602094852e-05,inf,inf,-inf,-inf,294.1500485724038,0.1500000018753556,inf,inf,-inf,-inf
"(0, 16909.807621135333)",,,,,,,,,,,,,,,,,,,294.15004856292495,303.15,288.15,,,,0.0,7.468915491938498e-05,inf,inf,-inf,-inf,294.15004856292495,0.15000000177411987,inf,inf,-inf,-inf
"(0, 17100.0)",150.0,294.15,292.15,280.15,0.01071517642610555,17100.0,0.0,,,,,,,,,,,,294.1500485595866,303.15,288.15,0.010714248505675013,0.05,0.0,,,,,,,,,,,,
"(0, 17290.192378864667)",,,,,,,,,,,,,,,,,,,294.1500485605124,303.15,288.15,,,,0.0,7.468908710871182e-05,inf,inf,-inf,-inf,294.1500485605124,0.14999999951851997,inf,inf,-inf,-inf
"(0, 17809.807621135333)",,,,,,,,,,,,,,,,,,,294.1500485629494,303.15,288.15,,,,0.0,7.46891597757971e-05,inf,inf,-inf,-inf,294.1500485629494,0.14999999954454477,inf,inf,-inf,-inf
"(0, 18000.0)",150.0,294.15,292.15,280.15,0.010715176426092621,18000.0,0.0,,,,,,,,,,,,294.15004856380716,303.15,288.15,0.010714248546512518,0.05,0.0,,,,,,,,,,,,
"(0, 18190.192378864667)",,,,,,,,,,,,,,,,,,,294.1500485635683,303.15,288.15,,,,0.0,7.468917796195012e-05,inf,inf,-inf,-inf,294.1500485635683,0.15000000012488163,inf,inf,-inf,-inf
"(0, 18709.807621135333)",,,,,,,,,,,,,,,,,,,294.1500485629396,303.15,288.15,,,,0.0,7.468915848130267e-05,inf,inf,-inf,-inf,294.1500485629396,0.15000000011816988,inf,inf,-inf,-inf
"(0, 18900.0)",150.0,294.15,292.15,280.15,0.01071517642609646,18900.0,0.0,,,,,,,,,,,,294.15004856271787,303.15,288.15,0.010714248536023385,0.05,0.0,,,,,,,,,,,,
"(0, 19090.192378864667)",,,,,,,,,,,,,,,,,,,294.15004856277835,303.15,288.15,,,,0.0,7.468915360586119e-05,inf,inf,-inf,-inf,294.15004856277835,0.14999999996904348,inf,inf,-inf,-inf
"(0, 19609.807621135333)",,,,,,,,,,,,,,,,,,,294.1500485629375,303.15,288.15,,,,0.0,7.468915882767535e-05,inf,inf,-inf,-inf,294.1500485629375,0.1499999999707423,inf,inf,-inf,-inf
"(0, 19800.0)",150.0,294.15,292.15,280.15,0.010715176426095381,19800.0,0.0,,,,,,,,,,,,294.15004856299316,303.15,288.15,0.010714248538606166,0.05,0.0,,,,,,,,,,,,
"(0, 19990.192378864667)",,,,,,,,,,,,,,,,,,,294.15004856297975,303.15,288.15,,,,0.0,7.468916013416818e-05,inf,inf,-inf,-inf,294.15004856297975,0.15000000000750802,inf,inf,-inf,-inf
"(0, 20509.807621135333)",,,,,,,,,,,,,,,,,,,294.15004856294445,303.15,288.15,,,,0.0,7.46891587354951e-05,inf,inf,-inf,-inf,294.15004856294445,0.15000000000713154,inf,inf,-inf,-inf
"(0, 20700.0)",150.0,294.15,292.15,280.15,0.01071517642609505,20700.0,0.0,,,,,,,,,,,,294.1500485629316,303.15,288.15,0.010714248538082869,0.05,0.0,,,,,,,,,,,,
"(0, 20890.192378864667)",,,,,,,,,,,,,,,,,,,294.15004856293325,303.15,288.15,,,,0.0,7.468915838486137e-05,inf,inf,-inf,-inf,294.15004856293325,0.14999999999964053,inf,inf,-inf,-inf
"(0, 21409.807621135333)",,,,,,,,,,,,,,,,,,,294.15004856293774,303.15,288.15,,,,0.0,7.468915875983249e-05,inf,inf,-inf,-inf,294.15004856293774,0.14999999999968786,inf,inf,-inf,-inf
"(0, 21600.0)",150.0,294.15,292.15,280.15,0.010715176426094642,21600.0,0.0,,,,,,,,,,,,294.15004856293893,303.15,288.15,0.010714248538101729,0.05,0.0,,,,,,,,,,,,
"(0, 21790.192378864667)",,,,,,,,,,,,,,,,,,,294.15004856293996,303.15,288.15,,,,0.0,7.468915885334121e-05,inf,inf,-inf,-inf,294.15004856293996,0.1499999999999899,inf,inf,-inf,-inf
"(0, 22309.807621135333)",,,,,,,,,,,,,,,,,,,294.1500485629427,303.15,288.15,,,,0.0,7.46891587535076e-05,inf,inf,-inf,-inf,294.1500485629427,0.15000000000001934,inf,inf,-inf,-inf
"(0, 22500.0)",150.0,294.15,292.15,280.15,0.010715176426094753,22500.0,0.0,,,,,,,,,,,,294.15004856294325,303.15,288.15,0.010714248538167919,0.05,0.0,,,,,,,,,,,,
"(0, 22690.192378864667)",,,,,,,,,,,,,,,,,,,294.15004856294246,303.15,288.15,,,,0.0,7.468915872806563e-05,inf,inf,-inf,-inf,294.15004856294246,0.1500000000009387,inf,inf,-inf,-inf
"(0, 23209.807621135333)",,,,,,,,,,,,,,,,,,,294.1500485629404,303.15,288.15,,,,0.0,7.468915875501279e-05,inf,inf,-inf,-inf,294.1500485629404,0.15000000000091643,inf,inf,-inf,-inf
"(0, 23400.0)",150.0,294.15,292.15,280.15,0.010715176426094935,23400.0,0.0,,,,,,,,,,,,294.1500485629393,303.15,288.15,0.01071424853813214,0.05,0.0,,,,,,,,,,,,
"(0, 23590.192378864667)",,,,,,,,,,,,,,,,,,,294.1500485629395,303.15,288.15,,,,0.0,7.468915876136487e-05,inf,inf,-inf,-inf,294.1500485629395,0.15000000000040745,inf,inf,-inf,-inf
"(0, 24109.807621135333)",,,,,,,,,,,,,,,,,,,294.1500485629401,303.15,288.15,,,,0.0,7.468915875466904e-05,inf,inf,-inf,-inf,294.1500485629401,0.15000000000041447,inf,inf,-inf,-inf
"(0, 24300.0)",150.0,294.15,292.15,280.15,0.010715176426093884,24300.0,0.0,,,,,,,,,,,,294.15004856294,303.15,288.15,0.01071424853821019,0.05,0.0,,,,,,,,,,,,
"(0, 24490.192378864667)",,,,,,,,,,,,,,,,,,,294.15004856293814,303.15,288.15,,,,0.0,7.468915875284532e-05,inf,inf,-inf,-inf,294.15004856293814,0.15000000000148478,inf,inf,-inf,-inf
"(0, 25009.807621135333)",,,,,,,,,,,,,,,,,,,294.1500485629333,303.15,288.15,,,,0.0,7.468915875569051e-05,inf,inf,-inf,-inf,294.1500485629333,0.15000000000143285,inf,inf,-inf,-inf
"(0, 25200.0)",150.0,294.15,292.15,280.15,0.010715176426097947,25200.0,0.0,,,,,,,,,,,,294.1500485629312,303.15,288.15,0.01071424853809141,0.05,0.0,,,,,,,,,,,,
"(0, 25390.192378864667)",,,,,,,,,,,,,,,,,,,294.1500485629326,303.15,288.15,,,,0.0,7.46891587558977e-05,inf,inf,-inf,-inf,294.1500485629326,0.14999999999976402,inf,inf,-inf,-inf
"(0, 25909.807621135333)",,,,,,,,,,,,,,,,,,,294.1500485629365,303.15,288.15,,,,0.0,7.468915875533047e-05,inf,inf,-inf,-inf,294.1500485629365,0.14999999999980537,inf,inf,-inf,-inf
"(0, 26100.0)",150.0,294.15,292.15,280.15,0.010715176426083824,26100.0,0.0,,,,,,,,,,,,294.1500485629375,303.15,288.15,0.010714248538144372,0.05,0.0,,,,,,,,,,,,
"(0, 26290.192378864667)",,,,,,,,,,,,,,,,,,,294.1500485629374,303.15,288.15,,,,0.0,7.468915875457115e-05,inf,inf,-inf,-inf,294.1500485629374,0.15000000000055644,inf,inf,-inf,-inf
"(0, 26809.807621135333)",,,,,,,,,,,,,,,,,,,294.1500485629373,303.15,288.15,,,,0.0,7.468915875454447e-05,inf,inf,-inf,-inf,294.1500485629373,0.1500000000005548,inf,inf,-inf,-inf
"(0, 27000.0)",150.0,294.15,292.15,280.15,0.01071517642613808,27000.0,0.0,,,,,,,,,,,,294.15004856293683,303.15,288.15,0.01071424853811184,0.05,0.0,,,,,,,,,,,,
"(0, 27190.192378864667)",,,,,,,,,,,,,,,,,,,294.1500485629376,303.15,288.15,,,,0.0,7.46891587536681e-05,inf,inf,-inf,-inf,294.1500485629376,0.15000000000010397,inf,inf,-inf,-inf
"(0, 27709.807621135333)",,,,,,,,,,,,,,,,,,,294.1500485629398,303.15,288.15,,,,0.0,7.46891587529222e-05,inf,inf,-inf,-inf,294.1500485629398,0.15000000000012711,inf,inf,-inf,-inf
"(0, 27900.0)",150.0,294.15,292.15,280.15,0.010715176425934128,27900.0,0.0,,,,,,,,,,,,294.1500485629402,303.15,288.15,0.010714248538157719,0.05,0.0,,,,,,,,,,,,
"(0, 28090.192378864667)",,,,,,,,,,,,,,,,,,,294.15004856293973,303.15,288.15,,,,0.0,7.468915875464832e-05,inf,inf,-inf,-inf,294.15004856293973,0.1500000000007675,inf,inf,-inf,-inf
"(0, 28609.807621135333)",,,,,,,,,,,,,,,,,,,294.15004856293854,303.15,288.15,,,,0.0,7.468915876128609e-05,inf,inf,-inf,-inf,294.15004856293854,0.1500000000007546,inf,inf,-inf,-inf
"(0, 28800.0)",150.0,294.15,292.15,280.15,0.010715176426699018,28800.0,0.0,,,,,,,,,,,,294.15004856293774,303.15,288.15,0.010714248538143407,0.05,0.0,,,,,,,,,,,,
"(0, 28990.192378864667)",,,,,,,,,,,,,,,,,,,294.1500485629377,303.15,288.15,,,,0.0,7.468915875408933e-05,inf,inf,-inf,-inf,294.1500485629377,0.15000000000054683,inf,inf,-inf,-inf
"(0, 29509.807621135333)",,,,,,,,,,,,,,,,,,,294.1500485629376,303.15,288.15,,,,0.0,7.468915873051223e-05,inf,inf,-inf,-inf,294.1500485629376,0.1500000000005461,inf,inf,-inf,-inf
"(0, 29700.0)",150.0,294.15,292.15,280.15,0.010715176423842416,29700.0,0.0,,,,,,,,,,,,294.15004856293723,303.15,288.15,0.010714248538037095,0.05,0.0,,,,,,,,,,,,
"(0, 29890.192378864667)",,,,,,,,,,,,,,,,,,,294.15004856294,303.15,288.15,,,,0.0,7.468915875496863e-05,inf,inf,-inf,-inf,294.15004856294,0.14999999999908034,inf,inf,-inf,-inf
"(0, 30409.807621135333)",,,,,,,,,,,,,,,,,,,294.15004856294735,303.15,288.15,,,,0.0,7.46891588428769e-05,inf,inf,-inf,-inf,294.15004856294735,0.14999999999915892,inf,inf,-inf,-inf
"(0, 30600.0)",150.0,294.15,292.15,280.15,0.01071517643450862,30600.0,0.0,,,,,,,,,,,,294.15004856294956,303.15,288.15,0.010714248538319116,0.05,0.0,,,,,,,,,,,,
"(0, 30790.192378864667)",,,,,,,,,,,,,,,,,,,294.1500485629446,303.15,288.15,,,,0.0,7.468915875045308e-05,inf,inf,-inf,-inf,294.1500485629446,0.15000000000308736,inf,inf,-inf,-inf
"(0, 31309.807621135333)",,,,,,,,,,,,,,,,,,,294.1500485629317,303.15,288.15,,,,0.0,7.468915842733939e-05,inf,inf,-inf,-inf,294.1500485629317,0.15000000000294908,inf,inf,-inf,-inf
"(0, 31500.0)",150.0,294.15,292.15,280.15,0.010715176394675879,31500.0,0.0,,,,,,,,,,,,294.15004856292677,303.15,288.15,0.010714248537538107,0.05,0.0,,,,,,,,,,,,
"(0, 31690.192378864667)",,,,,,,,,,,,,,,,,,,294.1500485629429,303.15,288.15,,,,0.0,7.468915877150552e-05,inf,inf,-inf,-inf,294.1500485629429,0.14999999999210137,inf,inf,-inf,-inf
"(0, 32209.807621135333)",,,,,,,,,,,,,,,,,,,294.15004856298555,303.15,288.15,,,,0.0,7.468915997824374e-05,inf,inf,-inf,-inf,294.15004856298555,0.1499999999925564,inf,inf,-inf,-inf
"(0, 32400.0)",150.0,294.15,292.15,280.15,0.010715176543432781,32400.0,0.0,,,,,,,,,,,,294.15004856300015,303.15,288.15,0.010714248540457553,0.05,0.0,,,,,,,,,,,,
"(0, 32590.192378864667)",,,,,,,,,,,,,,,,,,,294.1500485629377,303.15,288.15,,,,0.0,7.468915869317587e-05,inf,inf,-inf,-inf,294.1500485629377,0.15000000003303648,inf,inf,-inf,-inf
"(0, 33109.80762113533)",,,,,,,,,,,,,,,,,,,294.1500485627733,303.15,288.15,,,,0.0,7.468915419450512e-05,inf,inf,-inf,-inf,294.1500485627733,0.15000000003128008,inf,inf,-inf,-inf
"(0, 33300.0)",150.0,294.15,292.15,280.15,0.010715175987894694,33300.0,0.0,,,,,,,,,,,,294.150048562715,303.15,288.15,0.01071424852910489,0.05,0.0,,,,,,,,,,,,
"(0, 33490.19237886467)",,,,,,,,,,,,,,,,,,,294.1500485629582,303.15,288.15,,,,0.0,7.46891589818853e-05,inf,inf,-inf,-inf,294.1500485629582,0.14999999987389787,inf,inf,-inf,-inf
"(0, 34009.80762113533)",,,,,,,,,,,,,,,,,,,294.15004856359843,303.15,288.15,,,,0.0,7.468917575214803e-05,inf,inf,-inf,-inf,294.15004856359843,0.14999999988074,inf,inf,-inf,-inf
"(0, 34200.0)",150.0,294.15,292.15,280.15,0.010715178062648675,34200.0,0.0,,,,,,,,,,,,294.15004856382353,303.15,288.15,0.01071424857278408,0.05,0.0,,,,,,,,,,,,
"(0, 34390.19237886467)",,,,,,,,,,,,,,,,,,,294.1500485628907,303.15,288.15,,,,0.0,7.468915791003679e-05,inf,inf,-inf,-inf,294.1500485628907,0.1500000004861796,inf,inf,-inf,-inf
"(0, 34909.80762113533)",,,,,,,,,,,,,,,,,,,294.1500485604353,303.15,288.15,,,,0.0,7.46890954189557e-05,inf,inf,-inf,-inf,294.1500485604353,0.15000000045993409,inf,inf,-inf,-inf
"(0, 35100.0)",150.0,294.15,292.15,280.15,0.010715170315108045,35100.0,0.0,,,,,,,,,,,,294.15004855957034,303.15,288.15,0.010714248405748476,0.05,0.0,,,,,,,,,,,,
"(0, 35290.19237886467)",,,,,,,,,,,,,,,,,,,294.1500485631343,303.15,288.15,,,,0.0,7.468916188422948e-05,inf,inf,-inf,-inf,294.1500485631343,0.14999999814498516,inf,inf,-inf,-inf
"(0, 35809.80762113533)",,,,,,,,,,,,,,,,,,,294.15004857251546,303.15,288.15,,,,0.0,7.468939479235295e-05,inf,inf,-inf,-inf,294.15004857251546,0.14999999824528593,inf,inf,-inf,-inf
"(0, 36000.0)",150.0,294.15,292.15,280.15,0.010715199259890309,36000.0,0.0,,,,,,,,,,,,294.1500485758185,303.15,288.15,0.010714249043533233,0.05,0.0,,,,,,,,,,,,
"(0, 36190.19237886467)",,,,,,,,,,,,,,,,,,,294.1500485622151,303.15,288.15,,,,0.0,7.468914694503085e-05,inf,inf,-inf,-inf,294.1500485622151,0.150000007082893,inf,inf,-inf,-inf
"(0, 36709.80762113533)",,,,,,,,,,,,,,,,,,,294.15004852640857,303.15,288.15,,,,0.0,7.468827981875614e-05,inf,inf,-inf,-inf,294.15004852640857,0.1500000067000942,inf,inf,-inf,-inf
"(0, 36900.0)",150.0,294.15,292.15,280.15,0.010715091318875013,36900.0,0.0,,,,,,,,,,,,294.15004851379933,303.15,288.15,0.010714246618282955,0.05,0.0,,,,,,,,,,,,
"(0, 37090.19237886467)",,,,,,,,,,,,,,,,,,,294.1500485654719,303.15,288.15,,,,0.0,7.468920058450277e-05,inf,inf,-inf,-inf,294.1500485654719,0.1499999730982935,inf,inf,-inf,-inf
