,N,iter_count,n_call_callback_fun,n_call_nlp_f,n_call_nlp_g,n_call_nlp_grad,n_call_nlp_grad_f,n_call_nlp_hess_l,n_call_nlp_jac_g,n_call_total,return_status,success,t_proc_callback_fun,t_proc_nlp_f,t_proc_nlp_g,t_proc_nlp_grad,t_proc_nlp_grad_f,t_proc_nlp_hess_l,t_proc_nlp_jac_g,t_proc_total,t_wall_callback_fun,t_wall_nlp_f,t_wall_nlp_g,t_wall_nlp_grad,t_wall_nlp_grad_f,t_wall_nlp_hess_l,t_wall_nlp_jac_g,t_wall_total,unified_return_status
"0",48,16,0,50,17,0,18,16,18,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.00023800000000000012,0.00010499999999999996,0.0,0.00011299999999999995,0.00029,0.000189,0.00823,SOLVER_RET_SUCCESS
"900.0",48,16,0,50,17,0,18,16,18,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.00025900000000000017,0.00012199999999999997,0.0,0.00013199999999999998,0.00036399999999999996,0.000236,0.008724,SOLVER_RET_SUCCESS
"1800.0",48,12,0,38,13,0,14,12,14,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.00019900000000000007,0.000104,0.0,0.00011399999999999998,0.000256,0.000173,0.007742,SOLVER_RET_SUCCESS
"2700.0",48,13,0,41,14,0,15,13,15,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.007,0.0,0.00020300000000000008,0.000103,0.0,0.00010499999999999996,0.00024900000000000004,0.00017199999999999998,0.006931,SOLVER_RET_SUCCESS
"3600.0",48,13,0,41,14,0,15,13,15,1,0,True,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.00022400000000000005,0.00016800000000000007,0.0,0.00013199999999999998,0.00032799999999999995,0.00020300000000000003,0.008226,SOLVER_RET_SUCCESS
"4500.0",48,15,0,47,16,0,17,15,17,1,0,True,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.007,0.0,0.00021299999999999984,9.299999999999998e-05,0.0,0.00010499999999999998,0.00026100000000000006,0.000176,0.007047,SOLVER_RET_SUCCESS
"5400.0",48,14,0,44,15,0,16,14,16,1,0,True,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.014,0.0,0.0005120000000000003,0.000248,0.0,0.000287,0.0007899999999999999,0.00042999999999999994,0.014223,SOLVER_RET_SUCCESS
"6300.0",48,15,0,47,16,0,17,15,17,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.009,0.0,0.00030400000000000007,0.00012099999999999999,0.0,0.000126,0.000402,0.00027399999999999994,0.00822,SOLVER_RET_SUCCESS
"7200.0",48,13,0,41,14,0,15,13,15,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.00022400000000000016,0.00011599999999999997,0.0,0.00010799999999999998,0.000298,0.00017799999999999996,0.00799,SOLVER_RET_SUCCESS
"8100.0",48,13,0,41,14,0,15,13,15,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.00016799999999999994,7.8e-05,0.0,8.9e-05,0.00020600000000000005,0.00014000000000000004,0.005693,SOLVER_RET_SUCCESS
"9000.0",48,13,0,41,14,0,15,13,15,1,0,True,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0002100000000000001,9.2e-05,0.0,0.000106,0.00023200000000000006,0.000167,0.006816,SOLVER_RET_SUCCESS
"9900.0",48,27,0,83,28,0,29,27,29,1,0,True,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.012,0.0,0.00040500000000000047,0.00017900000000000004,0.0,0.000191,0.0004889999999999999,0.00029900000000000006,0.012281,SOLVER_RET_SUCCESS
"10800.0",48,23,0,71,24,0,25,23,25,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.00031600000000000004,0.00013399999999999998,0.0,0.00014800000000000005,0.0003960000000000001,0.00025299999999999997,0.010474,SOLVER_RET_SUCCESS
"11700.0",48,20,0,62,21,0,22,20,22,1,0,True,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.011,0.0,0.0002920000000000001,0.000137,0.0,0.000169,0.00035000000000000005,0.000246,0.010024,SOLVER_RET_SUCCESS
"12600.0",48,20,0,62,21,0,22,20,22,1,0,True,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.011,0.0,0.0003790000000000003,0.00013299999999999998,0.0,0.000149,0.00036400000000000007,0.00026299999999999994,0.010073,SOLVER_RET_SUCCESS
"13500.0",48,20,0,62,21,0,22,20,22,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.00030000000000000035,0.00013099999999999996,0.0,0.00014,0.00036999999999999994,0.000245,0.00969,SOLVER_RET_SUCCESS
"14400.0",48,20,0,62,21,0,22,20,22,1,0,True,0.0,0.0,0.001,0.0,0.0,0.004,0.001,0.011,0.0,0.00032600000000000033,0.00017100000000000004,0.0,0.00016,0.0004930000000000001,0.00029699999999999996,0.010899,SOLVER_RET_SUCCESS
