,N,iter_count,n_call_callback_fun,n_call_nlp_f,n_call_nlp_g,n_call_nlp_grad,n_call_nlp_grad_f,n_call_nlp_hess_l,n_call_nlp_jac_g,n_call_total,return_status,success,t_proc_callback_fun,t_proc_nlp_f,t_proc_nlp_g,t_proc_nlp_grad,t_proc_nlp_grad_f,t_proc_nlp_hess_l,t_proc_nlp_jac_g,t_proc_total,t_wall_callback_fun,t_wall_nlp_f,t_wall_nlp_g,t_wall_nlp_grad,t_wall_nlp_grad_f,t_wall_nlp_hess_l,t_wall_nlp_jac_g,t_wall_total,unified_return_status
"0",48,22,0,70,25,0,24,22,24,1,0,True,0.0,0.0,0.001,0.0,0.0,0.001,0.002,0.019,0.0,0.0006050000000000003,0.0003379999999999999,0.0,0.00030199999999999997,0.0007950000000000001,0.0004810000000000001,0.018676,SOLVER_RET_SUCCESS
"900.0",48,21,0,65,22,0,23,21,23,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.00028999999999999995,0.000134,0.0,0.00012499999999999998,0.00032900000000000003,0.00023100000000000003,0.009786,SOLVER_RET_SUCCESS
"1800.0",48,22,0,71,26,0,24,22,24,1,0,True,0.0,0.0,0.001,0.0,0.0,0.001,0.002,0.012,0.0,0.00038700000000000014,0.00018600000000000008,0.0,0.0001810000000000001,0.000494,0.000322,0.012306,SOLVER_RET_SUCCESS
"2700.0",48,32,0,101,36,0,34,32,34,1,0,True,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.013,0.0,0.0004969999999999996,0.0001880000000000001,0.0,0.0001780000000000001,0.00046999999999999993,0.0003039999999999999,0.013217,SOLVER_RET_SUCCESS
"3600.0",48,30,0,102,41,0,32,30,32,1,0,True,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.015,0.0,0.0004469999999999999,0.0002350000000000002,0.0,0.00019500000000000008,0.000522,0.00033999999999999997,0.014592,SOLVER_RET_SUCCESS
"4500.0",48,67,0,206,71,0,69,67,69,1,0,True,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.028,0.0,0.0008439999999999983,0.00042000000000000034,0.0,0.0003650000000000002,0.0010299999999999999,0.0006099999999999995,0.027912,SOLVER_RET_SUCCESS
"5400.0",48,38,0,119,42,0,40,38,40,1,0,True,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0005589999999999999,0.00027200000000000016,0.0,0.00023600000000000018,0.0006559999999999998,0.0004460000000000001,0.01761,SOLVER_RET_SUCCESS
"6300.0",48,62,0,195,70,0,64,62,64,1,0,True,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.025,0.0,0.0007569999999999982,0.00035800000000000035,0.0,0.00032200000000000024,0.0008929999999999997,0.0005479999999999997,0.023879,SOLVER_RET_SUCCESS
"7200.0",48,35,0,110,39,0,37,35,37,1,0,True,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.015,0.0,0.0004229999999999997,0.0001990000000000001,0.0,0.00018300000000000003,0.00047599999999999986,0.000312,0.014029,SOLVER_RET_SUCCESS
"8100.0",48,40,0,125,44,0,42,40,42,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0006339999999999998,0.00029400000000000015,0.0,0.00027900000000000017,0.0007069999999999997,0.0004380000000000001,0.020192,SOLVER_RET_SUCCESS
"9000.0",48,35,0,110,39,0,37,35,37,1,0,True,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0004979999999999997,0.0002340000000000002,0.0,0.00020900000000000017,0.000579,0.00036500000000000014,0.016259,SOLVER_RET_SUCCESS
