,T_out,P_el
"(0, 0)",,
"(0, 100)",292.6622968886291,0.6256149692593791
"(0, 200)",292.1983798658511,0.6024191134922494
"(0, 300)",291.75708888952346,0.5803545602733631
"(0, 400)",291.33732029425903,0.5593661263223567
"(0, 500)",290.9380242619121,0.5394013207214637
"(0, 600)",290.55820226763075,0.5204102172181323
"(0, 700)",290.19691179213413,0.5023456898389125
"(0, 800)",289.853242261173,0.485162209862271
"(0, 900)",289.52633426040313,0.46881680656240093
"(0, 1000)",289.67633432099365,-6.091397825270608e-08
"(0, 1100)",289.8263343825433,-6.187311953194955e-08
"(0, 1200)",289.97633444505203,-6.28322608173259e-08
"(0, 1300)",290.12633450836375,-6.379140210783731e-08
"(0, 1400)",290.27633457279086,-6.475054340547984e-08
"(0, 1500)",290.4263346381771,-6.570968470925554e-08
"(0, 1600)",290.5763347043664,-6.666882601816625e-08
"(0, 1700)",290.7263347716709,-6.762796733420815e-08
"(0, 1800)",290.87633483993443,-6.858710865638207e-08
"(0, 1900)",290.8170108427449,0.20877101291992195
"(0, 2000)",290.7588366547125,0.20763244801731243
"(0, 2100)",290.7017899919434,0.20651595064559336
"(0, 2200)",290.6458490031676,0.2054210931393411
"(0, 2300)",290.5909922614209,0.20434745613748787
"(0, 2400)",290.53719875589263,0.20329462842378065
"(0, 2500)",290.48444788394113,0.2022622067705095
"(0, 2600)",290.43271951212347,0.20124979713295837
"(0, 2700)",290.3819937760151,0.20025701073153987
"(0, 2800)",290.4266382267225,0.10556841087379724
"(0, 2900)",290.47082628562174,0.10602233978076787
"(0, 3000)",290.51456261844913,0.10647162825937034
"(0, 3100)",290.55785184269234,0.10691632374348745
"(0, 3200)",290.60069852807356,0.10735647317631804
"(0, 3300)",290.64310719702763,0.1077921230153006
"(0, 3400)",290.68508232517786,0.10822331923699104
"(0, 3500)",290.7266283418071,0.10865010734190655
"(0, 3600)",290.76774963032835,0.10907253235935865
"(0, 3700)",290.79556876722353,0.12234051804074314
"(0, 3800)",290.8230700310697,0.1226565668061293
"(0, 3900)",290.85025705401637,0.12296900426663648
"(0, 4000)",290.8771334267112,0.1232778716865403
"(0, 4100)",290.9037026987734,0.12358320985861254
"(0, 4200)",290.9299683792628,0.12388505910950984
"(0, 4300)",290.95593393714296,0.12418345930509771
"(0, 4400)",290.9816028017402,0.12447844985572158
"(0, 4500)",291.0069783631956,0.12477006972140484
"(0, 4600)",291.03213078653494,0.12499184968085784
"(0, 4700)",291.0569959615282,0.1252774503849856
"(0, 4800)",291.0815771686391,0.12555978944196367
"(0, 4900)",291.1058776508675,0.1258389041007975
"(0, 5000)",291.12990061417725,0.1261148311850971
"(0, 5100)",291.1536492279191,0.1263876070979375
"(0, 5200)",291.17712662524866,0.12665726782665676
"(0, 5300)",291.20033590354,0.12692384894760667
"(0, 5400)",291.2232801247944,0.12718738563084755
"(0, 5500)",291.2459264997751,0.1274835601815255
"(0, 5600)",291.26831417349115,0.1277407771295257
"(0, 5700)",291.2904461012211,0.12799505575517733
"(0, 5800)",291.3123252044836,0.1282464296244566
"(0, 5900)",291.3339543714236,0.12849493191989989
"(0, 6000)",291.3553364571929,0.1287405954449811
"(0, 6100)",291.37647428432786,0.12898345262844552
"(0, 6200)",291.3973706431211,0.1292235355285848
"(0, 6300)",291.41802829199065,0.1294608758374736
"(0, 6400)",291.44003456100626,0.1281184425223421
"(0, 6500)",291.4617925152109,0.12836535011063271
"(0, 6600)",291.4833049565446,0.1286094716377749
"(0, 6700)",291.5045746553306,0.12885083854118579
"(0, 6800)",291.5256043506328,0.12908948190354833
"(0, 6900)",291.5463967506073,0.12932543245681238
"(0, 7000)",291.5669545328523,0.12955872058615414
"(0, 7100)",291.5872803447524,0.1297893763338904
"(0, 7200)",291.60737680381953,0.13001742940334615
"(0, 7300)",291.67974234663075,0.0778418855310585
"(0, 7400)",291.751621191418,0.07832716825809763
"(0, 7500)",291.8230161397959,0.07880918400763054
"(0, 7600)",291.8939307832387,0.07928795702713058
"(0, 7700)",291.96436831690244,0.07976350888836878
