,N,iter_count,n_call_callback_fun,n_call_nlp_f,n_call_nlp_g,n_call_nlp_grad,n_call_nlp_grad_f,n_call_nlp_hess_l,n_call_nlp_jac_g,n_call_total,return_status,success,t_proc_callback_fun,t_proc_nlp_f,t_proc_nlp_g,t_proc_nlp_grad,t_proc_nlp_grad_f,t_proc_nlp_hess_l,t_proc_nlp_jac_g,t_proc_total,t_wall_callback_fun,t_wall_nlp_f,t_wall_nlp_g,t_wall_nlp_grad,t_wall_nlp_grad_f,t_wall_nlp_hess_l,t_wall_nlp_jac_g,t_wall_total,unified_return_status
"0",48,21,0,67,24,0,23,21,23,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.00031300000000000007,0.000143,0.0,0.00013299999999999998,0.00035200000000000005,0.00024,0.010042,SOLVER_RET_SUCCESS
"900.0",48,20,0,62,21,0,22,20,22,1,0,True,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.01,0.0,0.00029600000000000015,0.000138,0.0,0.000139,0.000365,0.00022999999999999998,0.01021,SOLVER_RET_SUCCESS
"1800.0",48,62,0,189,64,0,64,62,64,1,0,True,0.0,0.002,0.001,0.0,0.0,0.001,0.0,0.032,0.0,0.0012430000000000021,0.0005369999999999998,0.0,0.000495,0.0013280000000000002,0.0008980000000000006,0.032888,SOLVER_RET_SUCCESS
"2700.0",48,27,0,84,29,0,29,27,29,1,0,True,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0003939999999999999,0.00019400000000000005,0.0,0.00017500000000000008,0.000449,0.000284,0.012571,SOLVER_RET_SUCCESS
"3600.0",48,63,0,192,65,0,65,63,65,1,0,True,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.03,0.0,0.0010160000000000006,0.00044499999999999987,0.0,0.00041299999999999996,0.0011379999999999997,0.0008100000000000009,0.030151,SOLVER_RET_SUCCESS
"4500.0",48,63,0,192,65,0,65,63,65,1,0,True,0.0,0.001,0.001,0.0,0.0,0.0,0.003,0.03,0.0,0.0008679999999999997,0.0004560000000000001,0.0,0.00042400000000000006,0.0011369999999999993,0.0006570000000000004,0.0289,SOLVER_RET_SUCCESS
"5400.0",48,29,0,90,31,0,31,29,31,1,0,True,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.013,0.0,0.0004249999999999998,0.00018200000000000006,0.0,0.00018700000000000013,0.00048400000000000006,0.00032,0.013563,SOLVER_RET_SUCCESS
"6300.0",48,63,0,192,65,0,65,63,65,1,0,True,0.0,0.0,0.0,0.0,0.001,0.003,0.001,0.025,0.0,0.0008179999999999986,0.0003490000000000003,0.0,0.0003620000000000002,0.0010119999999999997,0.0006279999999999995,0.025219,SOLVER_RET_SUCCESS
"7200.0",48,63,0,192,65,0,65,63,65,1,0,True,0.0,0.001,0.001,0.0,0.0,0.002,0.0,0.027,0.0,0.0008749999999999997,0.00041400000000000014,0.0,0.0003820000000000001,0.0010589999999999996,0.0006450000000000005,0.027883,SOLVER_RET_SUCCESS
"8100.0",48,56,0,171,58,0,58,56,58,1,0,True,0.0,0.001,0.0,0.0,0.002,0.001,0.001,0.022,0.0,0.000729999999999999,0.00033600000000000025,0.0,0.0003170000000000003,0.0009080000000000002,0.0005989999999999998,0.022734,SOLVER_RET_SUCCESS
"9000.0",48,63,0,192,65,0,65,63,65,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0008099999999999995,0.0003640000000000001,0.0,0.00035900000000000005,0.000965,0.0005869999999999998,0.025604,SOLVER_RET_SUCCESS
