,T_out,P_el
"(0, 0)",,
"(0, 100)",292.66229688834255,0.625614969533316
"(0, 200)",292.1983798653028,0.602419113742408
"(0, 300)",291.7570888887363,0.580354560501412
"(0, 400)",291.33732029325427,0.5593661265298524
"(0, 500)",290.93802426070954,0.5394013209098723
"(0, 600)",290.55820226624877,0.5204102173888202
"(0, 700)",290.19691179058964,0.5023456899931514
"(0, 800)",289.8532422594818,0.4851622100012536
"(0, 900)",289.52633425858005,0.46881680668726117
"(0, 1000)",289.5000037643037,0.17608305601939916
"(0, 1100)",289.47416450178207,0.17559644056717266
"(0, 1200)",289.44880730640807,0.17511890359862287
"(0, 1300)",289.42392318455296,0.17465027574209355
"(0, 1400)",289.39950331037653,0.1741903907857889
"(0, 1500)",289.3755390226969,0.17373908561882548
"(0, 1600)",289.35202182191824,0.1732962001733739
"(0, 1700)",289.32894336701673,0.17286157736789678
"(0, 1800)",289.3062954725819,0.17243506305142917
"(0, 1900)",289.4348556308079,0.021567776722427965
"(0, 2000)",289.5631173432651,0.02186571565506306
"(0, 2100)",289.6910813021366,0.022162962936356303
"(0, 2200)",289.8187481980531,0.022459520170572823
"(0, 2300)",289.94611872010046,0.022755388958389182
"(0, 2400)",290.0731935558251,0.023050570896905792
"(0, 2500)",290.19997339124166,0.02334506757966488
"(0, 2600)",290.32645891083865,0.02363888059666402
"(0, 2700)",290.4526510470862,0.023932012113936245
"(0, 2800)",290.4938234913856,0.10902726578311658
"(0, 2900)",290.5345641192598,0.10945668525910676
"(0, 3000)",290.57487745602845,0.10988160094779222
"(0, 3100)",290.6147679789196,0.1103020600406122
"(0, 3200)",290.65424011757744,0.11071810922745917
"(0, 3300)",290.6933158410458,0.11112998006920323
"(0, 3400)",290.73198185533766,0.11153753244289637
"(0, 3500)",290.770242456256,0.11194081162769816
"(0, 3600)",290.8081018945624,0.11233986242802081
"(0, 3700)",290.83543223023713,0.12282654962701324
"(0, 3800)",290.86245020752654,0.1231371149702636
"(0, 3900)",290.8891593963745,0.12344413086244645
"(0, 4000)",290.9155633259238,0.1237476378702362
