,T_out,P_el,_mDot_full
"(0, 0)",,,
"(0, 100)",292.6622997428325,0.6256151119713871,0.05000000997656391
"(0, 200)",292.198384886272,0.602419364515082,0.05000000997656391
"(0, 300)",291.7570952825635,0.5803548799271039,0.05000000997656391
"(0, 400)",291.3373290626095,0.5593665647415803,0.05000000997656391
"(0, 500)",290.93804208240897,0.5394022117480419,0.05000000997656391
"(0, 600)",290.55822975178637,0.5204115914276899,0.05000000997656391
"(0, 700)",290.1969427155282,0.5023472360103777,0.05000000997656391
"(0, 800)",289.8532770109435,0.4851639473525387,0.05000000997656391
"(0, 900)",289.526373052109,0.4688187461494373,0.05000000997656391
"(0, 1000)",289.6763239007501,4.954125810948139e-05,5.200459130471152e-06
"(0, 1100)",289.82627396957986,5.032106731404215e-05,5.200459130471152e-06
"(0, 1200)",289.9762232586025,5.110087246324754e-05,5.200459130471152e-06
"(0, 1300)",290.1261717678219,5.188067355711825e-05,5.200459130471152e-06
"(0, 1400)",290.27611949724235,5.2660470595675866e-05,5.200459130471152e-06
"(0, 1500)",290.4260664468678,5.344026357894226e-05,5.200459130471152e-06
"(0, 1600)",290.57601261670226,5.4220052506936623e-05,5.200459130471152e-06
"(0, 1700)",290.7259580067498,5.4999837379681756e-05,5.200459130471152e-06
"(0, 1800)",290.87590261701456,5.577961819719803e-05,5.200459130471152e-06
"(0, 1900)",290.91723013882336,0.10888120996468133,0.010112276654335511
"(0, 2000)",290.95814184996755,0.10929492050617319,0.010112276654335511
"(0, 2100)",290.99864193406313,0.10970446856107229,0.010112276654335511
"(0, 2200)",291.03873453263446,0.11010989600961715,0.010112276654335511
"(0, 2300)",291.0784237455358,0.11051124431066806,0.010112276654335511
"(0, 2400)",291.11771363137177,0.11090855450595823,0.010112276654335511
"(0, 2500)",291.1566082079117,0.11130186722428326,0.010112276654335511
"(0, 2600)",291.1951114525008,0.1116912226856574,0.010112276654335511
"(0, 2700)",291.2332273024667,0.11207666070542782,0.010112276654335511
"(0, 2800)",291.2641744183121,0.11921867458699657,0.010726723380422
"(0, 2900)",291.29479134595385,0.11954709390056842,0.010726723380422
"(0, 3000)",291.32508160831316,0.11987200916601735,0.010726723380422
"(0, 3100)",291.35504869072355,0.12019345776955173,0.010726723380422
"(0, 3200)",291.3846960413323,0.12051147669849353,0.010726723380422
"(0, 3300)",291.4140270714965,0.12082610254552772,0.010726723380422
"(0, 3400)",291.4430451561763,0.12113737151291804,0.010726723380422
"(0, 3500)",291.4717536343228,0.12144531941666785,0.010726723380422
"(0, 3600)",291.50015580926237,0.12174998169064745,0.010726723380422
"(0, 3700)",291.52843535672554,0.12187172706446224,0.010710763232699295
"(0, 3800)",291.5564136239678,0.1221713956605541,0.010710763232699295
"(0, 3900)",291.5840938207211,0.12246787169421373,0.010710763232699295
"(0, 4000)",291.6114791225223,0.12276118917786313,0.010710763232699295
"(0, 4100)",291.63857267107704,0.12305138176156609,0.010710763232699295
"(0, 4200)",291.66537757462055,0.12333848273689574,0.010710763232699295
"(0, 4300)",291.6918969082738,0.12362252504074511,0.010710763232699295
"(0, 4400)",291.71813371439686,0.12390354125911111,0.010710763232699295
"(0, 4500)",291.7440910029371,0.12418156363082915,0.010710763232699295
"(0, 4600)",291.7697084688405,0.12451963852003024,0.010716244633326452
