,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,variable,upper,lower,variable,upper,lower,variable,upper,lower,variable,variable,upper,upper,lower,lower
"(4500.0, 34200.0)",298.5833333333333,290.4166666666667,279.7571618924774,34200.0,0.0,0.0,0.0,0.0,,,,,,,,,290.4655139304543,303.15,288.15,52.39170152783571,200.0,0.0,,,,,,,,,
"(4500.0, 34390.19237886467)",,,,,,,,,,,,,,,,,290.44477538006777,303.15,288.15,,,,0.00012735181233052494,inf,-inf,52.39170152783571,52.39170152783571,inf,inf,-inf,-inf
"(4500.0, 34909.80762113533)",,,,,,,,,,,,,,,,,290.3966555604158,303.15,288.15,,,,0.02000826211335257,inf,-inf,52.39170152783571,52.39170152783571,inf,inf,-inf,-inf
"(4500.0, 35100.0)",298.6666666666667,290.3333333333333,279.44406720508766,35100.0,0.0,0.0,0.0,0.0,,,,,,,,,290.3821679579656,303.15,288.15,53.54144849751594,200.0,0.0,,,,,,,,,
"(4500.0, 35290.19237886467)",,,,,,,,,,,,,,,,,290.3614475014051,303.15,288.15,,,,0.0001273961736835521,inf,-inf,53.54144849751594,53.54144849751594,inf,inf,-inf,-inf
"(4500.0, 35809.80762113533)",,,,,,,,,,,,,,,,,290.3133696649984,303.15,288.15,,,,0.01996082517336556,inf,-inf,53.54144849751594,53.54144849751594,inf,inf,-inf,-inf
"(4500.0, 36000.0)",298.75,290.25,279.1254311232568,36000.0,0.0,0.0,0.0,0.0,,,,,,,,,290.29889470259076,303.15,288.15,54.71349357958765,200.0,0.0,,,,,,,,,
"(4500.0, 36190.19237886467)",,,,,,,,,,,,,,,,,290.2780882476449,303.15,288.15,,,,0.0001274454967791318,inf,-inf,54.71349357958765,54.71349357958765,inf,inf,-inf,-inf
"(4500.0, 36709.80762113533)",,,,,,,,,,,,,,,,,290.22981086851604,303.15,288.15,,,,0.0201862884836508,inf,-inf,54.71349357958765,54.71349357958765,inf,inf,-inf,-inf
"(4500.0, 36900.0)",298.8333333333333,290.1666666666667,278.8026180956053,36900.0,0.0,0.0,0.0,0.0,,,,,,,,,290.2152758290829,303.15,288.15,55.93213123417139,200.0,0.0,,,,,,,,,
"(4500.0, 37090.19237886467)",,,,,,,,,,,,,,,,,290.19487811703743,303.15,288.15,,,,0.00012749880909323586,inf,-inf,55.93213123417139,55.93213123417139,inf,inf,-inf,-inf
"(4500.0, 37609.80762113533)",,,,,,,,,,,,,,,,,290.1475491472373,303.15,288.15,,,,0.019114680598061467,inf,-inf,55.93213123417139,55.93213123417139,inf,inf,-inf,-inf
"(4500.0, 37800.0)",298.9166666666667,290.0833333333333,278.47701045707663,37800.0,0.0,0.0,0.0,0.0,,,,,,,,,290.13329964871883,303.15,288.15,57.04255478643882,200.0,0.0,,,,,,,,,
"(4500.0, 37990.19237886467)",,,,,,,,,,,,,,,,,290.11095921701997,303.15,288.15,,,,0.0001275588813930323,inf,-inf,57.04255478643882,57.04255478643882,inf,inf,-inf,-inf
"(4500.0, 38509.80762113533)",,,,,,,,,,,,,,,,,290.05912253970826,303.15,288.15,,,,0.024207942406739836,inf,-inf,57.04255478643882,57.04255478643882,inf,inf,-inf,-inf
"(4500.0, 38700.0)",299.0,290.0,278.15000250956723,38700.0,0.0,0.0,0.0,0.0,,,,,,,,,290.0435158899189,303.15,288.15,59.28709484915671,200.0,0.0,,,,,,,,,
"(4500.0, 38890.19237886467)",,,,,,,,,,,,,,,,,290.04026150918196,303.15,288.15,,,,0.00012777190218376123,inf,-inf,59.28709484915671,59.28709484915671,inf,inf,-inf,-inf
"(4500.0, 39409.80762113533)",,,,,,,,,,,,,,,,,290.0327103442633,303.15,288.15,,,,0.0001276640827467663,inf,-inf,59.28709484915671,59.28709484915671,inf,inf,-inf,-inf
"(4500.0, 39600.0)",298.9166666666667,290.0833333333333,277.8229945513114,39600.0,0.0,0.0,0.0,0.0,,,,,,,,,290.03043688862306,303.15,288.15,62.493942899115005,200.0,0.0,,,,,,,,,
"(4500.0, 39790.19237886467)",,,,,,,,,,,,,,,,,290.05670554312593,303.15,288.15,,,,0.02662493448500354,inf,-inf,62.493942899115005,62.493942899115005,inf,inf,-inf,-inf
"(4500.0, 40309.80762113533)",,,,,,,,,,,,,,,,,290.11765690634184,303.15,288.15,,,,0.0001276074215152833,inf,-inf,62.493942899115005,62.493942899115005,inf,inf,-inf,-inf
"(4500.0, 40500.0)",298.8333333333333,290.1666666666667,277.4973868805898,40500.0,0.0,0.0,0.0,0.0,,,,,,,,,290.1360077465033,303.15,288.15,63.90573355579728,200.0,0.0,,,,,,,,,
"(4500.0, 40690.19237886467)",,,,,,,,,,,,,,,,,290.14885830587286,303.15,288.15,,,,0.01780552658255705,inf,-inf,63.90573355579728,63.90573355579728,inf,inf,-inf,-inf
"(4500.0, 41209.80762113533)",,,,,,,,,,,,,,,,,290.1786755586591,303.15,288.15,,,,0.00012369505032258383,inf,-inf,63.90573355579728,63.90573355579728,inf,inf,-inf,-inf
"(4500.0, 41400.0)",298.75,290.25,277.17457379943636,41400.0,0.0,0.0,0.0,0.0,,,,,,,,,290.18765274327086,303.15,288.15,67.37329969541743,200.0,0.0,,,,,,,,,
"(4500.0, 41590.19237886467)",,,,,,,,,,,,,,,,,290.22927027567744,303.15,288.15,,,,0.02072687977041548,inf,-inf,67.37329969541743,67.37329969541743,inf,inf,-inf,-inf
"(4500.0, 42109.80762113533)",,,,,,,,,,,,,,,,,290.3258357595926,303.15,288.15,,,,0.00012723918230516493,inf,-inf,67.37329969541743,67.37329969541743,inf,inf,-inf,-inf
"(4500.0, 42300.0)",298.6666666666667,290.3333333333333,276.85593764302394,42300.0,0.0,0.0,0.0,0.0,,,,,,,,,290.3549090676691,303.15,288.15,66.0419037299596,200.0,0.0,,,,,,,,,
"(4500.0, 42490.19237886467)",,,,,,,,,,,,,,,,,290.3287085370789,303.15,288.15,,,,0.004622152787521812,inf,-inf,66.0419037299596,66.0419037299596,inf,inf,-inf,-inf
"(4500.0, 43009.80762113533)",,,,,,,,,,,,,,,,,290.2679152423071,303.15,288.15,,,,0.06541520605370953,inf,-inf,66.0419037299596,66.0419037299596,inf,inf,-inf,-inf
"(4500.0, 43200.0)",,,,,,,,,,,,,,,,,290.24961199236446,303.15,288.15,,,,,,,,,,,,
"(5400.0, 0.0)",298.5,290.5,280.06336982883215,0.0,0.0,0.0,0.0,0.0,10000.0,5.0,250.0,1.0,100.0,290.5114692147911,53.6094369775961,0.0,290.5114692147911,303.15,288.15,52.533296247570604,200.0,0.0,,,,,,,,,
"(5400.0, 190.19237886466843)",,,,,,,,,,,,,,,,,290.51674914841993,303.15,288.15,,,,8.74820971873903e-05,inf,-inf,52.533296247570604,52.533296247570604,inf,inf,-inf,-inf
"(5400.0, 709.8076211353316)",,,,,,,,,,,,,,,,,290.5290002194573,303.15,288.15,,,,8.748362515768147e-05,inf,-inf,52.533296247570604,52.533296247570604,inf,inf,-inf,-inf
"(5400.0, 900.0)",298.4166666666667,290.5833333333333,280.36138917460346,900.0,0.0,0.0,0.0,0.0,,,,,,,,,290.53268869227463,303.15,288.15,52.18835561758825,200.0,0.0,,,,,,,,,
"(5400.0, 1090.1923788646684)",,,,,,,,,,,,,,,,,290.55670555833416,303.15,288.15,,,,0.026624914493900486,inf,-inf,52.18835561758825,52.18835561758825,inf,inf,-inf,-inf
"(5400.0, 1609.8076211353316)",,,,,,,,,,,,,,,,,290.6124320793232,303.15,288.15,,,,8.740992941225758e-05,inf,-inf,52.18835561758825,52.18835561758825,inf,inf,-inf,-inf
"(5400.0, 1800.0)",298.3333333333333,290.6666666666667,280.64993901243054,1800.0,0.0,0.0,0.0,0.0,,,,,,,,,290.62920985795625,303.15,288.15,50.985960136100246,200.0,0.0,,,,,,,,,
"(5400.0, 1990.1923788646684)",,,,,,,,,,,,,,,,,290.6488582878843,303.15,288.15,,,,0.017805539895668916,inf,-inf,50.985960136100246,50.985960136100246,inf,inf,-inf,-inf
"(5400.0, 2509.807621135332)",,,,,,,,,,,,,,,,,290.69444869256375,303.15,288.15,,,,8.7105320187795e-05,inf,-inf,50.985960136100246,50.985960136100246,inf,inf,-inf,-inf
"(5400.0, 2700.0)",298.25,290.75,280.92778372760876,2700.0,0.0,0.0,0.0,0.0,,,,,,,,,290.7081747551983,303.15,288.15,50.071806492055785,200.0,0.0,,,,,,,,,
"(5400.0, 2890.1923788646686)",,,,,,,,,,,,,,,,,290.72927021932776,303.15,288.15,,,,0.020726931398796025,inf,-inf,50.071806492055785,50.071806492055785,inf,inf,-inf,-inf
"(5400.0, 3409.807621135332)",,,,,,,,,,,,,,,,,290.7782181887118,303.15,288.15,,,,8.681212338023113e-05,inf,-inf,50.071806492055785,50.071806492055785,inf,inf,-inf,-inf
"(5400.0, 3600.0)",298.1666666666667,290.8333333333333,281.19373354641226,3600.0,0.0,0.0,0.0,0.0,,,,,,,,,290.79295512509833,303.15,288.15,49.13937786865259,200.0,0.0,,,,,,,,,
"(5400.0, 3790.1923788646686)",,,,,,,,,,,,,,,,,290.8135712577958,303.15,288.15,,,,0.01975922828238658,inf,-inf,49.13937786865259,49.13937786865259,inf,inf,-inf,-inf
"(5400.0, 4309.807621135332)",,,,,,,,,,,,,,,,,290.86140703073255,303.15,288.15,,,,8.669365721043312e-05,inf,-inf,49.13937786865259,49.13937786865259,inf,inf,-inf,-inf
"(5400.0, 4500.0)",298.0833333333333,290.9166666666667,281.4466496308875,4500.0,0.0,0.0,0.0,0.0,,,,,,,,,290.87580911424374,303.15,288.15,48.29787329577344,200.0,0.0,,,,,,,,,
"(5400.0, 4690.192378864668)",,,,,,,,,,,,,,,,,290.8965840403011,303.15,288.15,,,,0.02007977730213525,inf,-inf,48.29787329577344,48.29787329577344,inf,inf,-inf,-inf
"(5400.0, 5209.807621135332)",,,,,,,,,,,,,,,,,290.94478826270506,303.15,288.15,,,,8.663456170602037e-05,inf,-inf,48.29787329577344,48.29787329577344,inf,inf,-inf,-inf
"(5400.0, 5400.0)",298.0,291.0,281.6854489555324,5400.0,0.0,0.0,0.0,0.0,,,,,,,,,290.9593012765864,303.15,288.15,47.518417850085704,200.0,0.0,,,,,,,,,
"(5400.0, 5590.192378864668)",,,,,,,,,,,,,,,,,290.980023554042,303.15,288.15,,,,0.019973596380695725,inf,-inf,47.518417850085704,47.518417850085704,inf,inf,-inf,-inf
"(5400.0, 6109.807621135332)",,,,,,,,,,,,,,,,,291.02810561548614,303.15,288.15,,,,8.659011221097496e-05,inf,-inf,47.518417850085704,47.518417850085704,inf,inf,-inf,-inf
"(5400.0, 6300.0)",297.9166666666667,291.0833333333333,281.90910894497785,6300.0,0.0,0.0,0.0,0.0,,,,,,,,,291.0425818499399,303.15,288.15,46.817496050115544,200.0,0.0,,,,,,,,,
"(5400.0, 6490.192378864668)",,,,,,,,,,,,,,,,,291.0633217142406,303.15,288.15,,,,0.020008768575815874,inf,-inf,46.817496050115544,46.817496050115544,inf,inf,-inf,-inf
"(5400.0, 7009.807621135332)",,,,,,,,,,,,,,,,,291.11144458257826,303.15,288.15,,,,8.655595075692557e-05,inf,-inf,46.817496050115544,46.817496050115544,inf,inf,-inf,-inf
"(5400.0, 7200.0)",297.8333333333333,291.1666666666667,282.1166718528119,7200.0,0.0,0.0,0.0,0.0,,,,,,,,,291.1259331029062,303.15,288.15,46.19609008355109,200.0,0.0,,,,,,,,,
"(5400.0, 7390.192378864668)",,,,,,,,,,,,,,,,,291.1466666974113,303.15,288.15,,,,0.01999711794029206,inf,-inf,46.19609008355109,46.19609008355109,inf,inf,-inf,-inf
"(5400.0, 7909.807621135332)",,,,,,,,,,,,,,,,,291.19477501789345,303.15,288.15,,,,8.652594701930145e-05,inf,-inf,46.19609008355109,46.19609008355109,inf,inf,-inf,-inf
"(5400.0, 8100.0)",297.75,291.25,282.3072488627977,8100.0,0.0,0.0,0.0,0.0,,,,,,,,,291.20925915824756,303.15,288.15,45.66002484764315,200.0,0.0,,,,,,,,,
"(5400.0, 8290.192378864669)",,,,,,,,,,,,,,,,,291.2299961706037,303.15,288.15,,,,0.020000977236242397,inf,-inf,45.66002484764315,45.66002484764315,inf,inf,-inf,-inf
"(5400.0, 8809.807621135331)",,,,,,,,,,,,,,,,,291.2781124215521,303.15,288.15,,,,8.649940750667249e-05,inf,-inf,45.66002484764315,45.66002484764315,inf,inf,-inf,-inf
"(5400.0, 9000.0)",297.6666666666667,291.3333333333333,282.4800238949205,9000.0,0.0,0.0,0.0,0.0,,,,,,,,,291.29259894955953,303.15,288.15,45.21256135924761,200.0,0.0,,,,,,,,,
"(5400.0, 9190.192378864669)",,,,,,,,,,,,,,,,,291.31333078143143,303.15,288.15,,,,0.01999969891236645,inf,-inf,45.21256135924761,45.21256135924761,inf,inf,-inf,-inf
"(5400.0, 9709.807621135331)",,,,,,,,,,,,,,,,,291.3614350120619,303.15,288.15,,,,8.647520014733703e-05,inf,-inf,45.21256135924761,45.21256135924761,inf,inf,-inf,-inf
"(5400.0, 9900.0)",297.5833333333333,291.4166666666667,282.63425709996795,9900.0,0.0,0.0,0.0,0.0,,,,,,,,,291.37591792107014,303.15,288.15,44.85876309712544,200.0,0.0,,,,,,,,,
"(5400.0, 10090.192378864669)",,,,,,,,,,,,,,,,,291.39666369044056,303.15,288.15,,,,0.020000122401994763,inf,-inf,44.85876309712544,44.85876309712544,inf,inf,-inf,-inf
"(5400.0, 10609.807621135331)",,,,,,,,,,,,,,,,,291.4448002603572,303.15,288.15,,,,8.645309697404311e-05,inf,-inf,44.85876309712544,44.85876309712544,inf,inf,-inf,-inf
"(5400.0, 10800.0)",297.5,291.5,282.7692880276776,10800.0,0.0,0.0,0.0,0.0,,,,,,,,,291.4592929058674,303.15,288.15,44.598181324829355,200.0,0.0,,,,,,,,,
"(5400.0, 10990.192378864669)",,,,,,,,,,,,,,,,,291.47999716314644,303.15,288.15,,,,0.019999982196534063,inf,-inf,44.598181324829355,44.598181324829355,inf,inf,-inf,-inf
"(5400.0, 11509.807621135331)",,,,,,,,,,,,,,,,,291.5280374122347,303.15,288.15,,,,8.643142636769995e-05,inf,-inf,44.598181324829355,44.598181324829355,inf,inf,-inf,-inf
"(5400.0, 11700.0)",297.4166666666667,291.5833333333333,282.8845384548868,11700.0,0.0,0.0,0.0,0.0,,,,,,,,,291.5425010580962,303.15,288.15,44.4449092607994,200.0,0.0,,,,,,,,,
"(5400.0, 11890.192378864669)",,,,,,,,,,,,,,,,,291.5633304492079,303.15,288.15,,,,0.02000002863495949,inf,-inf,44.4449092607994,44.4449092607994,inf,inf,-inf,-inf
"(5400.0, 12409.807621135331)",,,,,,,,,,,,,,,,,291.61166104730074,303.15,288.15,,,,8.641434826934272e-05,inf,-inf,44.4449092607994,44.4449092607994,inf,inf,-inf,-inf
"(5400.0, 12600.0)",297.3333333333333,291.6666666666667,282.9795148615725,12600.0,0.0,0.0,0.0,0.0,,,,,,,,,291.62621210955285,303.15,288.15,44.367636877602976,200.0,0.0,,,,,,,,,
"(5400.0, 12790.192378864669)",,,,,,,,,,,,,,,,,291.64666379686423,303.15,288.15,,,,0.020000013478628006,inf,-inf,44.367636877602976,44.367636877602976,inf,inf,-inf,-inf
"(5400.0, 13309.807621135331)",,,,,,,,,,,,,,,,,291.69411800589353,303.15,288.15,,,,8.638374552544992e-05,inf,-inf,44.367636877602976,44.367636877602976,inf,inf,-inf,-inf
"(5400.0, 13500.0)",297.25,291.75,283.0538105441804,13500.0,0.0,0.0,0.0,0.0,,,,,,,,,291.7084052106242,303.15,288.15,44.47035538469872,200.0,0.0,,,,,,,,,
"(5400.0, 13690.192378864669)",,,,,,,,,,,,,,,,,291.7299971248863,303.15,288.15,,,,0.020000017956513263,inf,-inf,44.47035538469872,44.47035538469872,inf,inf,-inf,-inf
"(5400.0, 14209.807621135331)",,,,,,,,,,,,,,,,,291.7800970113719,303.15,288.15,,,,8.640239688158011e-05,inf,-inf,44.47035538469872,44.47035538469872,inf,inf,-inf,-inf
"(5400.0, 14400.0)",297.1666666666667,291.8333333333333,283.10710735719147,14400.0,0.0,0.0,0.0,0.0,,,,,,,,,291.7951807594702,303.15,288.15,44.44686059525439,200.0,0.0,,,,,,,,,
"(5400.0, 14590.192378864669)",,,,,,,,,,,,,,,,,291.81333045790865,303.15,288.15,,,,0.02000001743416304,inf,-inf,44.44686059525439,44.44686059525439,inf,inf,-inf,-inf
"(5400.0, 15109.807621135331)",,,,,,,,,,,,,,,,,291.8554433442639,303.15,288.15,,,,8.623867178879344e-05,inf,-inf,44.44686059525439,44.44686059525439,inf,inf,-inf,-inf
"(5400.0, 15300.0)",297.0833333333333,291.9166666666667,283.13917707547006,15300.0,0.0,0.0,0.0,0.0,,,,,,,,,291.86812241829045,303.15,288.15,45.227492241915165,200.0,0.0,,,,,,,,,
"(5400.0, 15490.192378864669)",,,,,,,,,,,,,,,,,291.89666379946686,303.15,288.15,,,,0.020000008376079716,inf,-inf,45.227492241915165,45.227492241915165,inf,inf,-inf,-inf
"(5400.0, 16009.807621135331)",,,,,,,,,,,,,,,,,291.9628885880482,303.15,288.15,,,,8.663068562774997e-05,inf,-inf,45.227492241915165,45.227492241915165,inf,inf,-inf,-inf
"(5400.0, 16200.0)",297.0,292.0,283.14988237155904,16200.0,0.0,0.0,0.0,0.0,,,,,,,,,291.9828271168335,303.15,288.15,44.20057372235871,200.0,0.0,,,,,,,,,
"(5400.0, 16390.192378864667)",,,,,,,,,,,,,,,,,291.9834735855509,303.15,288.15,,,,0.016523567487820374,inf,-inf,44.20057372235871,44.20057372235871,inf,inf,-inf,-inf
"(5400.0, 16909.807621135333)",,,,,,,,,,,,,,,,,291.9849735919406,303.15,288.15,,,,0.015023568390596256,inf,-inf,44.20057372235871,44.20057372235871,inf,inf,-inf,-inf
"(5400.0, 17100.0)",297.0833333333333,291.9166666666667,283.13917740373716,17100.0,0.0,0.0,0.0,0.0,,,,,,,,,291.98542520411183,303.15,288.15,42.7487637075419,200.0,0.0,,,,,,,,,
"(5400.0, 17290.192378864667)",,,,,,,,,,,,,,,,,291.95869231682286,303.15,288.15,,,,8.650989417227844e-05,inf,-inf,42.7487637075419,42.7487637075419,inf,inf,-inf,-inf
"(5400.0, 17809.807621135333)",,,,,,,,,,,,,,,,,291.89666379066506,303.15,288.15,,,,0.02000001717779605,inf,-inf,42.7487637075419,42.7487637075419,inf,inf,-inf,-inf
"(5400.0, 18000.0)",297.1666666666667,291.8333333333333,283.10710801231994,18000.0,0.0,0.0,0.0,0.0,,,,,,,,,291.87798864528753,303.15,288.15,42.7744951242717,200.0,0.0,,,,,,,,,
"(5400.0, 18190.192378864667)",,,,,,,,,,,,,,,,,291.8585150931539,303.15,288.15,,,,8.628546063944586e-05,inf,-inf,42.7744951242717,42.7744951242717,inf,inf,-inf,-inf
"(5400.0, 18709.807621135333)",,,,,,,,,,,,,,,,,291.8133304587804,303.15,288.15,,,,0.020000016562438917,inf,-inf,42.7744951242717,42.7744951242717,inf,inf,-inf,-inf
"(5400.0, 18900.0)",297.25,291.75,283.05381152336497,18900.0,0.0,0.0,0.0,0.0,,,,,,,,,291.7997265628307,303.15,288.15,42.56496814518709,200.0,0.0,,,,,,,,,
"(5400.0, 19090.192378864667)",,,,,,,,,,,,,,,,,291.77872566711267,303.15,288.15,,,,8.64213301666079e-05,inf,-inf,42.56496814518709,42.56496814518709,inf,inf,-inf,-inf
"(5400.0, 19609.807621135333)",,,,,,,,,,,,,,,,,291.7299971255488,303.15,288.15,,,,0.020000017294027353,inf,-inf,42.56496814518709,42.56496814518709,inf,inf,-inf,-inf
"(5400.0, 19800.0)",297.3333333333333,291.6666666666667,282.9795161606201,19800.0,0.0,0.0,0.0,0.0,,,,,,,,,291.71532625306304,303.15,288.15,42.53226385288999,200.0,0.0,,,,,,,,,
"(5400.0, 19990.192378864667)",,,,,,,,,,,,,,,,,291.69464670630174,303.15,288.15,,,,8.640781146023221e-05,inf,-inf,42.53226385288999,42.53226385288999,inf,inf,-inf,-inf
"(5400.0, 20509.807621135333)",,,,,,,,,,,,,,,,,291.64666379321994,303.15,288.15,,,,0.02000001712291232,inf,-inf,42.53226385288999,42.53226385288999,inf,inf,-inf,-inf
"(5400.0, 20700.0)",297.4166666666667,291.5833333333333,282.8845400682346,20700.0,0.0,0.0,0.0,0.0,,,,,,,,,291.6322174097098,303.15,288.15,42.587850725747394,200.0,0.0,,,,,,,,,
"(5400.0, 20890.192378864667)",,,,,,,,,,,,,,,,,291.6114702520092,303.15,288.15,,,,8.643961591007724e-05,inf,-inf,42.587850725747394,42.587850725747394,inf,inf,-inf,-inf
"(5400.0, 21409.807621135333)",,,,,,,,,,,,,,,,,291.56333046073934,303.15,288.15,,,,0.020000017103537434,inf,-inf,42.587850725747394,42.587850725747394,inf,inf,-inf,-inf
"(5400.0, 21600.0)",297.5,291.5,282.7692899484172,21600.0,0.0,0.0,0.0,0.0,,,,,,,,,291.54883684536424,303.15,288.15,42.74798736076587,200.0,0.0,,,,,,,,,
"(5400.0, 21790.192378864667)",,,,,,,,,,,,,,,,,291.52810391282,303.15,288.15,,,,8.64593238633884e-05,inf,-inf,42.74798736076587,42.74798736076587,inf,inf,-inf,-inf
"(5400.0, 22309.807621135333)",,,,,,,,,,,,,,,,,291.4799971282911,303.15,288.15,,,,0.020000017051791358,inf,-inf,42.74798736076587,42.74798736076587,inf,inf,-inf,-inf
"(5400.0, 22500.0)",297.5833333333333,291.4166666666667,282.63425931987433,22500.0,0.0,0.0,0.0,0.0,,,,,,,,,291.465513450371,303.15,288.15,43.00635755500809,200.0,0.0,,,,,,,,,
"(5400.0, 22690.192378864667)",,,,,,,,,,,,,,,,,291.4447775248926,303.15,288.15,,,,8.64831305095248e-05,inf,-inf,43.00635755500809,43.00635755500809,inf,inf,-inf,-inf
"(5400.0, 23209.807621135333)",,,,,,,,,,,,,,,,,291.3966637958351,303.15,288.15,,,,0.020000017007795252,inf,-inf,43.00635755500809,43.00635755500809,inf,inf,-inf,-inf
"(5400.0, 23400.0)",297.6666666666667,291.3333333333333,282.4800264044878,23400.0,0.0,0.0,0.0,0.0,,,,,,,,,291.3821780271015,303.15,288.15,43.36087993596311,200.0,0.0,,,,,,,,,
"(5400.0, 23590.192378864667)",,,,,,,,,,,,,,,,,291.3614427313281,303.15,288.15,,,,8.650640996800928e-05,inf,-inf,43.36087993596311,43.36087993596311,inf,inf,-inf,-inf
"(5400.0, 24109.807621135333)",,,,,,,,,,,,,,,,,291.3133304633804,303.15,288.15,,,,0.020000016962418658,inf,-inf,43.36087993596311,43.36087993596311,inf,inf,-inf,-inf
"(5400.0, 24300.0)",297.75,291.25,282.3072516512794,24300.0,0.0,0.0,0.0,0.0,,,,,,,,,291.2988451345483,303.15,288.15,43.808081892050275,200.0,0.0,,,,,,,,,
"(5400.0, 24490.192378864667)",,,,,,,,,,,,,,,,,291.27810970628605,303.15,288.15,,,,8.653081713912007e-05,inf,-inf,43.808081892050275,43.808081892050275,inf,inf,-inf,-inf
"(5400.0, 25009.807621135333)",,,,,,,,,,,,,,,,,291.2299971309232,303.15,288.15,,,,0.020000016919675987,inf,-inf,43.808081892050275,43.808081892050275,inf,inf,-inf,-inf
"(5400.0, 25200.0)",297.8333333333333,291.1666666666667,282.1166749082674,25200.0,0.0,0.0,0.0,0.0,,,,,,,,,291.2155117095365,303.15,288.15,44.34430002804144,200.0,0.0,,,,,,,,,
"(5400.0, 25390.192378864667)",,,,,,,,,,,,,,,,,291.1947763091525,303.15,288.15,,,,8.655638636593492e-05,inf,-inf,44.34430002804144,44.34430002804144,inf,inf,-inf,-inf
"(5400.0, 25909.807621135333)",,,,,,,,,,,,,,,,,291.14666379847574,303.15,288.15,,,,0.020000016867119115,inf,-inf,44.34430002804144,44.34430002804144,inf,inf,-inf,-inf
"(5400.0, 26100.0)",297.9166666666667,291.0833333333333,281.90911225432313,26100.0,0.0,0.0,0.0,0.0,,,,,,,,,291.1321783965643,303.15,288.15,44.96544640685927,200.0,0.0,,,,,,,,,
"(5400.0, 26290.192378864667)",,,,,,,,,,,,,,,,,291.1114429903009,303.15,288.15,,,,8.658375838945053e-05,inf,-inf,44.96544640685927,44.96544640685927,inf,inf,-inf,-inf
"(5400.0, 26809.807621135333)",,,,,,,,,,,,,,,,,291.0633304659821,303.15,288.15,,,,0.02000001686068901,inf,-inf,44.96544640685927,44.96544640685927,inf,inf,-inf,-inf
"(5400.0, 27000.0)",298.0,291.0,281.6854525045965,27000.0,0.0,0.0,0.0,0.0,,,,,,,,,291.0488450599634,303.15,288.15,45.667078544780864,200.0,0.0,,,,,,,,,
"(5400.0, 27190.192378864667)",,,,,,,,,,,,,,,,,291.0281096550036,303.15,288.15,,,,8.661353516848657e-05,inf,-inf,45.667078544780864,45.667078544780864,inf,inf,-inf,-inf
"(5400.0, 27709.807621135333)",,,,,,,,,,,,,,,,,290.9799971337097,303.15,288.15,,,,0.020000016633196335,inf,-inf,45.667078544780864,45.667078544780864,inf,inf,-inf,-inf
"(5400.0, 27900.0)",298.0833333333333,290.9166666666667,281.4466534044726,27900.0,0.0,0.0,0.0,0.0,,,,,,,,,290.96551172860165,303.15,288.15,46.444407355893205,200.0,0.0,,,,,,,,,
"(5400.0, 28090.192378864667)",,,,,,,,,,,,,,,,,290.9447763230523,303.15,288.15,,,,8.664643532905797e-05,inf,-inf,46.444407355893205,46.444407355893205,inf,inf,-inf,-inf
"(5400.0, 28609.807621135333)",,,,,,,,,,,,,,,,,290.8966638003902,303.15,288.15,,,,0.02000001745270542,inf,-inf,46.444407355893205,46.444407355893205,inf,inf,-inf,-inf
"(5400.0, 28800.0)",298.1666666666667,290.8333333333333,281.19373752835935,28800.0,0.0,0.0,0.0,0.0,,,,,,,,,290.88217839487027,303.15,288.15,47.2923201578891,200.0,0.0,,,,,,,,,
"(5400.0, 28990.192378864667)",,,,,,,,,,,,,,,,,290.86144299094536,303.15,288.15,,,,8.668322478236697e-05,inf,-inf,47.2923201578891,47.2923201578891,inf,inf,-inf,-inf
"(5400.0, 29509.807621135333)",,,,,,,,,,,,,,,,,290.81333047205254,303.15,288.15,,,,0.020000013290319064,inf,-inf,47.2923201578891,47.2923201578891,inf,inf,-inf,-inf
"(5400.0, 29700.0)",298.25,290.75,280.9277879008665,29700.0,0.0,0.0,0.0,0.0,,,,,,,,,290.7988450676674,303.15,288.15,48.205401245039916,200.0,0.0,,,,,,,,,
"(5400.0, 29890.192378864667)",,,,,,,,,,,,,,,,,290.77810965627157,303.15,288.15,,,,8.672469431976982e-05,inf,-inf,48.205401245039916,48.205401245039916,inf,inf,-inf,-inf
"(5400.0, 30409.807621135333)",,,,,,,,,,,,,,,,,290.729997120044,303.15,288.15,,,,0.020000032798820892,inf,-inf,48.205401245039916,48.205401245039916,inf,inf,-inf,-inf
"(5400.0, 30600.0)",298.3333333333333,290.6666666666667,280.6499433591285,30600.0,0.0,0.0,0.0,0.0,,,,,,,,,290.71551171043984,303.15,288.15,49.1779591339751,200.0,0.0,,,,,,,,,
"(5400.0, 30790.192378864667)",,,,,,,,,,,,,,,,,290.69477633450305,303.15,288.15,,,,8.677158943560955e-05,inf,-inf,49.1779591339751,49.1779591339751,inf,inf,-inf,-inf
"(5400.0, 31309.807621135333)",,,,,,,,,,,,,,,,,290.6466638805513,303.15,288.15,,,,0.019999939791832157,inf,-inf,49.1779591339751,49.1779591339751,inf,inf,-inf,-inf
"(5400.0, 31500.0)",298.4166666666667,290.5833333333333,280.36139367612833,31500.0,0.0,0.0,0.0,0.0,,,,,,,,,290.6321784957182,303.15,288.15,50.20403213009245,200.0,0.0,,,,,,,,,
