,iter_count,n_call_callback_fun,n_call_nlp_f,n_call_nlp_g,n_call_nlp_grad,n_call_nlp_grad_f,n_call_nlp_hess_l,n_call_nlp_jac_g,n_call_total,return_status,success,t_proc_callback_fun,t_proc_nlp_f,t_proc_nlp_g,t_proc_nlp_grad,t_proc_nlp_grad_f,t_proc_nlp_hess_l,t_proc_nlp_jac_g,t_proc_total,t_wall_callback_fun,t_wall_nlp_f,t_wall_nlp_g,t_wall_nlp_grad,t_wall_nlp_grad_f,t_wall_nlp_hess_l,t_wall_nlp_jac_g,t_wall_total,unified_return_status,obj
"0",18,0,19,19,0,21,18,20,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.186,0.0,0.0004720000000000001,0.0005319999999999998,0.0,0.0009370000000000003,0.000394,0.0008070000000000004,0.186444,SOLVER_RET_SUCCESS,4490500.7452831045
"900.0",19,0,20,20,0,22,19,21,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.198,0.0,0.000504,0.0005569999999999999,0.0,0.0009680000000000004,0.0004230000000000001,0.000833,0.197939,SOLVER_RET_SUCCESS,4875492.705401483
"1800.0",19,0,20,20,0,22,19,21,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.004,0.001,0.002,0.179,0.0,0.000529,0.000548,0.0,0.0009579999999999998,0.00041600000000000003,0.0008200000000000001,0.178788,SOLVER_RET_SUCCESS,4814712.028629165
"2700.0",20,0,21,21,0,23,20,22,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.222,0.0,0.000696,0.0007100000000000001,0.0,0.001279,0.000516,0.0010330000000000003,0.222473,SOLVER_RET_SUCCESS,4770725.242140969
"3600.0",19,0,20,20,0,22,19,21,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.002,0.0,0.002,0.0,0.001,0.164,0.0,0.00043200000000000004,0.0005200000000000001,0.0,0.0008370000000000001,0.00036100000000000005,0.0007279999999999999,0.164547,SOLVER_RET_SUCCESS,4731103.337542919
"4500.0",19,0,20,20,0,22,19,21,1,Solved_To_Acceptable_Level,True,0.0,0.001,0.0,0.0,0.001,0.0,0.002,0.192,0.0,0.0005510000000000001,0.0006029999999999999,0.0,0.001033,0.00045000000000000015,0.0008950000000000002,0.191719,SOLVER_RET_SUCCESS,4697446.858866666
"5400.0",18,0,19,19,0,21,18,20,1,Solved_To_Acceptable_Level,True,0.0,0.001,0.001,0.0,0.001,0.0,0.0,0.168,0.0,0.000459,0.000509,0.0,0.0008920000000000003,0.0003760000000000001,0.0007600000000000002,0.16825,SOLVER_RET_SUCCESS,4671204.622177398
"6300.0",18,0,19,19,0,21,18,20,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.001,0.002,0.0,0.173,0.0,0.00047799999999999996,0.000538,0.0,0.0009360000000000005,0.000403,0.0008060000000000002,0.172814,SOLVER_RET_SUCCESS,4652173.39822347
"7200.0",18,0,19,19,0,21,18,20,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.002,0.0,0.001,0.0,0.0,0.191,0.0,0.0005279999999999999,0.000621,0.0,0.00102,0.00043500000000000006,0.000822,0.190986,SOLVER_RET_SUCCESS,4640725.731958482
"8100.0",17,0,18,18,0,20,17,19,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.584,0.0,0.0005560000000000001,0.00063,0.0,0.001023,0.00045000000000000004,0.0014449999999999997,0.58448,SOLVER_RET_SUCCESS,4636989.9751617415
"9000.0",17,0,18,18,0,20,17,19,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.229,0.0,0.00044399999999999995,0.0005319999999999999,0.0,0.000853,0.000366,0.0007300000000000002,0.229009,SOLVER_RET_SUCCESS,4640778.271035536
"9900.0",17,0,18,18,0,20,17,19,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.143,0.0,0.0004060000000000001,0.000483,0.0,0.000807,0.00034500000000000004,0.0006859999999999999,0.142739,SOLVER_RET_SUCCESS,4653022.83432115
"10800.0",17,0,18,18,0,20,17,19,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.182,0.0,0.000521,0.0005700000000000001,0.0,0.001018,0.00041200000000000004,0.0008329999999999999,0.182039,SOLVER_RET_SUCCESS,4672554.3800268
"11700.0",17,0,18,18,0,20,17,19,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.001,0.0,0.002,0.0,0.0,0.161,0.0,0.00043699999999999994,0.0004969999999999999,0.0,0.0008770000000000001,0.000363,0.0007489999999999999,0.161179,SOLVER_RET_SUCCESS,4700384.893965653
"12600.0",17,0,18,18,0,20,17,19,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.16,0.0,0.00047200000000000003,0.00052,0.0,0.0009980000000000002,0.00035400000000000004,0.0007850000000000001,0.159483,SOLVER_RET_SUCCESS,4736535.64731033
"13500.0",16,0,17,17,0,19,16,18,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.004,0.001,0.002,0.154,0.0,0.0005070000000000001,0.0005200000000000001,0.0,0.000993,0.00037000000000000005,0.000744,0.153591,SOLVER_RET_SUCCESS,4779374.154762826
"14400.0",17,0,18,18,0,20,17,19,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.17,0.0,0.00042599999999999995,0.00047999999999999985,0.0,0.0008380000000000001,0.00035900000000000005,0.0007230000000000002,0.169308,SOLVER_RET_SUCCESS,4806579.909027078
"15300.0",16,0,17,17,0,19,16,18,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.151,0.0,0.00042199999999999996,0.0004669999999999999,0.0,0.0008770000000000001,0.000346,0.0007409999999999999,0.151917,SOLVER_RET_SUCCESS,4839176.572852085
"16200.0",16,0,17,17,0,19,16,18,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.138,0.0,0.0003880000000000001,0.00044199999999999996,0.0,0.0007530000000000001,0.00031800000000000003,0.0006419999999999999,0.138615,SOLVER_RET_SUCCESS,4872517.827387248
"17100.0",16,0,17,17,0,19,16,18,1,Solved_To_Acceptable_Level,True,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.152,0.0,0.000402,0.0004539999999999999,0.0,0.0008050000000000003,0.00032800000000000006,0.000675,0.151526,SOLVER_RET_SUCCESS,4905851.9049215205
"18000.0",16,0,17,17,0,19,16,18,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.152,0.0,0.000409,0.00044899999999999996,0.0,0.0007970000000000003,0.00033000000000000005,0.0006810000000000001,0.151451,SOLVER_RET_SUCCESS,4941355.3829593975
"18900.0",16,0,17,17,0,19,16,18,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.211,0.0,0.0005549999999999999,0.0005380000000000002,0.0,0.0010449999999999997,0.00039100000000000007,0.0007759999999999999,0.210377,SOLVER_RET_SUCCESS,4973938.8703076225
"19800.0",16,0,17,17,0,19,16,18,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.0,0.000433,0.0004630000000000001,0.0,0.0008460000000000003,0.000357,0.0007360000000000003,0.157542,SOLVER_RET_SUCCESS,5012831.482046049
"20700.0",17,0,18,18,0,20,17,19,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.001,0.0,0.001,0.002,0.0,0.244,0.0,0.00043799999999999997,0.000495,0.0,0.0008690000000000002,0.00038500000000000003,0.000729,0.244165,SOLVER_RET_SUCCESS,5060501.142010365
"21600.0",17,0,18,18,0,20,17,19,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.004,0.001,0.001,0.183,0.0,0.0005629999999999999,0.000575,0.0,0.001061,0.00044500000000000003,0.0008339999999999998,0.182857,SOLVER_RET_SUCCESS,5104782.988772763
"22500.0",17,0,18,18,0,20,17,19,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.187,0.0,0.0005570000000000001,0.0006019999999999999,0.0,0.0010710000000000001,0.00044700000000000013,0.0008960000000000003,0.187246,SOLVER_RET_SUCCESS,5156490.656697352
"23400.0",17,0,18,18,0,20,17,19,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.23,0.0,0.0004539999999999999,0.000511,0.0,0.0008900000000000003,0.00037300000000000007,0.0007610000000000002,0.230241,SOLVER_RET_SUCCESS,5214469.461802506
"24300.0",17,0,18,18,0,20,17,19,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.159,0.0,0.000428,0.00048399999999999995,0.0,0.0008400000000000003,0.00034800000000000006,0.000719,0.158964,SOLVER_RET_SUCCESS,5277843.917512837
"25200.0",18,0,19,19,0,21,18,20,1,Solved_To_Acceptable_Level,True,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.186,0.0,0.0005029999999999999,0.0005149999999999999,0.0,0.0008990000000000003,0.0004,0.0007630000000000002,0.185636,SOLVER_RET_SUCCESS,5346986.319254499
"26100.0",18,0,19,19,0,21,18,20,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.001,0.0,0.0,0.002,0.001,0.224,0.0,0.00044899999999999996,0.0005089999999999999,0.0,0.0008850000000000004,0.0003800000000000001,0.000755,0.223736,SOLVER_RET_SUCCESS,5420611.854050966
