,iter_count,n_call_callback_fun,n_call_nlp_f,n_call_nlp_g,n_call_nlp_grad,n_call_nlp_grad_f,n_call_nlp_hess_l,n_call_nlp_jac_g,n_call_total,return_status,success,t_proc_callback_fun,t_proc_nlp_f,t_proc_nlp_g,t_proc_nlp_grad,t_proc_nlp_grad_f,t_proc_nlp_hess_l,t_proc_nlp_jac_g,t_proc_total,t_wall_callback_fun,t_wall_nlp_f,t_wall_nlp_g,t_wall_nlp_grad,t_wall_nlp_grad_f,t_wall_nlp_hess_l,t_wall_nlp_jac_g,t_wall_total,unified_return_status,obj
"0",23,0,24,24,0,26,23,25,1,Solved_To_Acceptable_Level,True,0.0,0.002,0.002,0.0,0.002,0.002,0.0,0.242,0.0,0.0007899999999999999,0.0008069999999999999,0.0,0.0014119999999999998,0.00062,0.001124,0.242043,SOLVER_RET_SUCCESS,-6270311.7776954565
"900.0",20,0,21,21,0,23,20,22,1,Solved_To_Acceptable_Level,True,0.0,0.001,0.0,0.0,0.0,0.0,0.002,0.258,0.0,0.0005909999999999999,0.0005989999999999998,0.0,0.001102,0.0004420000000000001,0.0008810000000000003,0.257955,SOLVER_RET_SUCCESS,-5635873.28550012
"1800.0",20,0,22,22,0,23,20,22,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.198,0.0,0.000592,0.0006010000000000001,0.0,0.001143,0.0004820000000000001,0.0009789999999999998,0.197788,SOLVER_RET_SUCCESS,-5472774.704728375
"2700.0",19,0,20,20,0,22,19,21,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.192,0.0,0.000564,0.000598,0.0,0.0010159999999999998,0.0004370000000000001,0.0008760000000000005,0.192559,SOLVER_RET_SUCCESS,-5312276.573748217
"3600.0",19,0,20,20,0,22,19,21,1,Solved_To_Acceptable_Level,True,0.0,0.001,0.001,0.0,0.001,0.001,0.001,0.205,0.0,0.000572,0.0005989999999999999,0.0,0.001064,0.00044600000000000016,0.00088,0.205275,SOLVER_RET_SUCCESS,-5155592.555031046
"4500.0",19,0,20,20,0,22,19,21,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.183,0.0,0.0005680000000000001,0.000603,0.0,0.0010899999999999998,0.0004190000000000001,0.0008850000000000002,0.182457,SOLVER_RET_SUCCESS,-5001245.172125105
"5400.0",19,0,20,20,0,22,19,21,1,Solved_To_Acceptable_Level,True,0.0,0.001,0.0,0.0,0.002,0.0,0.0,0.196,0.0,0.000539,0.000561,0.0,0.0010249999999999999,0.00042100000000000004,0.0008340000000000002,0.196034,SOLVER_RET_SUCCESS,-4849237.553271494
"6300.0",18,0,19,19,0,21,18,20,1,Solved_To_Acceptable_Level,True,0.0,0.001,0.0,0.0,0.001,0.0,0.003,0.214,0.0,0.0006719999999999997,0.000613,0.0,0.001204,0.0005150000000000002,0.000979,0.214568,SOLVER_RET_SUCCESS,-4700273.170309312
"7200.0",18,0,19,19,0,21,18,20,1,Solved_To_Acceptable_Level,True,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.000503,0.000516,0.0,0.0009559999999999998,0.00038200000000000007,0.000766,0.170102,SOLVER_RET_SUCCESS,-4554664.053699122
"8100.0",19,0,21,21,0,22,19,21,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181,0.0,0.000545,0.000572,0.0,0.000985,0.00040400000000000006,0.0008129999999999999,0.180927,SOLVER_RET_SUCCESS,-4413068.078259853
"9000.0",19,0,21,21,0,22,19,21,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.172,0.0,0.0006540000000000001,0.0006560000000000001,0.0,0.001057,0.0004199999999999999,0.0008470000000000001,0.171472,SOLVER_RET_SUCCESS,-4275816.865120344
"9900.0",18,0,19,19,0,21,18,20,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.001,0.0,0.001,0.0,0.001,0.184,0.0,0.0005280000000000001,0.000545,0.0,0.0010299999999999999,0.00039300000000000007,0.0008550000000000002,0.183603,SOLVER_RET_SUCCESS,-4143440.7044685096
"10800.0",18,0,19,19,0,21,18,20,1,Solved_To_Acceptable_Level,True,0.0,0.001,0.0,0.0,0.001,0.0,0.001,0.166,0.0,0.0006539999999999999,0.000622,0.0,0.0012079999999999999,0.0004660000000000001,0.0008979999999999999,0.166111,SOLVER_RET_SUCCESS,-4016003.668973938
"11700.0",18,0,19,19,0,21,18,20,1,Solved_To_Acceptable_Level,True,0.0,0.001,0.0,0.0,0.002,0.001,0.0,0.173,0.0,0.0004820000000000001,0.000508,0.0,0.0009369999999999998,0.00037300000000000007,0.0007540000000000002,0.172483,SOLVER_RET_SUCCESS,-3894646.506184544
"12600.0",18,0,19,19,0,21,18,20,1,Solved_To_Acceptable_Level,True,0.0,0.002,0.0,0.0,0.002,0.001,0.003,0.173,0.0,0.000519,0.000526,0.0,0.0009959999999999997,0.000393,0.0007980000000000001,0.172561,SOLVER_RET_SUCCESS,-3778385.4922150876
"13500.0",18,0,19,19,0,21,18,20,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.156,0.0,0.000422,0.0004410000000000001,0.0,0.000813,0.000344,0.0006850000000000002,0.15599,SOLVER_RET_SUCCESS,-3667574.733793103
"14400.0",18,0,19,19,0,21,18,20,1,Solved_To_Acceptable_Level,True,0.0,0.001,0.001,0.0,0.002,0.0,0.0,0.167,0.0,0.00048800000000000004,0.0005049999999999999,0.0,0.0009269999999999999,0.0003740000000000001,0.0007580000000000001,0.166926,SOLVER_RET_SUCCESS,-3590448.9766979734
"15300.0",18,0,19,19,0,21,18,20,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.185,0.0,0.000549,0.00058,0.0,0.0010859999999999997,0.0004150000000000001,0.0008550000000000002,0.185238,SOLVER_RET_SUCCESS,-3522620.887633071
"16200.0",18,0,19,19,0,21,18,20,1,Solved_To_Acceptable_Level,True,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.168,0.0,0.000535,0.0005760000000000001,0.0,0.000983,0.000401,0.0008060000000000001,0.168489,SOLVER_RET_SUCCESS,-3470225.5503360117
"17100.0",18,0,19,19,0,21,18,20,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.003,0.0,0.001,0.002,0.002,0.196,0.0,0.0006029999999999999,0.0006279999999999999,0.0,0.001137,0.00046700000000000013,0.0009220000000000002,0.195654,SOLVER_RET_SUCCESS,-3431120.4822968473
"18000.0",18,0,19,19,0,21,18,20,1,Solved_To_Acceptable_Level,True,0.0,0.001,0.001,0.0,0.001,0.001,0.003,0.17,0.0,0.0005149999999999999,0.0005449999999999998,0.0,0.0009619999999999999,0.000435,0.0008060000000000001,0.169929,SOLVER_RET_SUCCESS,-3406543.952683184
"18900.0",18,0,19,19,0,21,18,20,1,Solved_To_Acceptable_Level,True,0.0,0.001,0.0,0.0,0.0,0.0,0.002,0.246,0.0,0.000653,0.00063,0.0,0.0011989999999999998,0.00046100000000000015,0.000899,0.24645,SOLVER_RET_SUCCESS,-3395307.823579305
"19800.0",18,0,19,19,0,21,18,20,1,Solved_To_Acceptable_Level,True,0.0,0.001,0.0,0.0,0.007,0.0,0.001,0.169,0.0,0.00049,0.0005120000000000001,0.0,0.0009379999999999998,0.00037700000000000006,0.0007690000000000003,0.168201,SOLVER_RET_SUCCESS,-3402798.1850103554
"20700.0",19,0,20,20,0,22,19,21,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.001,0.0,0.003,0.268,0.0,0.000573,0.0005989999999999999,0.0,0.0010849999999999998,0.00044300000000000003,0.0008930000000000001,0.267467,SOLVER_RET_SUCCESS,-3418880.1657233923
"21600.0",18,0,19,19,0,21,18,20,1,Solved_To_Acceptable_Level,True,0.0,0.003,0.002,0.0,0.0,0.0,0.0,0.163,0.0,0.00049,0.000507,0.0,0.0009179999999999998,0.00036800000000000005,0.0007510000000000001,0.16387,SOLVER_RET_SUCCESS,-3459805.6545475833
"22500.0",18,0,19,19,0,21,18,20,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.181,0.0,0.0005149999999999999,0.0005299999999999999,0.0,0.0009319999999999998,0.0004010000000000001,0.0007490000000000002,0.181359,SOLVER_RET_SUCCESS,-3503395.140800298
"23400.0",18,0,19,19,0,21,18,20,1,Solved_To_Acceptable_Level,True,0.0,0.001,0.0,0.0,0.002,0.0,0.001,0.235,0.0,0.0004910000000000001,0.000499,0.0,0.0009269999999999999,0.00038399999999999996,0.0007310000000000001,0.234435,SOLVER_RET_SUCCESS,-3555279.5522339
