,T_out,P_el
"(0, 0)",,
"(0, 10)",293.1001472459738,0.6475074917931402
"(0, 20)",293.05054304403507,0.6450272812001911
"(0, 30)",293.0011861551749,0.6425594362636396
"(0, 40)",292.9520753465612,0.6401038953418728
"(0, 50)",292.90320939150826,0.637660597100594
"(0, 60)",292.8545870694461,0.6352294805112892
"(0, 70)",292.80620716589004,0.6328104848497166
"(0, 80)",292.75806847241034,0.630403549694365
"(0, 90)",292.71016978660185,0.6280086149249825
"(0, 100)",292.6625099120542,0.6256256207210263
"(0, 110)",292.6150876583217,0.6232545075602064
"(0, 120)",292.5679018408941,0.6208952162169914
"(0, 130)",292.5209512811662,0.6185476877611181
"(0, 140)",292.47423480640913,0.6162118635561216
"(0, 150)",292.42775124974065,0.6138876852578901
"(0, 160)",292.38149945009604,0.6115750948131696
"(0, 170)",292.33547825219944,0.6092740344581494
"(0, 180)",292.2896865065346,0.606984446717016
"(0, 190)",292.2441230693164,0.6047062744004925
"(0, 200)",292.1987868024618,0.6024394606044285
"(0, 210)",292.1536765735624,0.6001839487083789
"(0, 220)",292.10879125585507,0.5979396823741839
"(0, 230)",292.06412972819453,0.5957066055445659
"(0, 240)",292.01969087502505,0.5934846624417275
"(0, 250)",291.9754735863525,0.5912737975659514
"(0, 260)",291.93147675771706,0.5890739556942349
"(0, 270)",291.88769929016513,0.5868850818788871
"(0, 280)",291.844140090222,0.5847071214461637
"(0, 290)",291.80079806986515,0.5825400199949202
"(0, 300)",291.75767214649574,0.5803837233952137
"(0, 310)",291.7147612429128,0.578238177786984
"(0, 320)",291.67206428728616,0.5761033295787057
"(0, 330)",291.62958021312903,0.5739791254460316
"(0, 340)",291.58730795927187,0.5718655123304764
"(0, 350)",291.5452464698359,0.5697624374380825
"(0, 360)",291.5033946942063,0.567669848238105
"(0, 370)",291.4617515870063,0.5655876924616993
"(0, 380)",291.4203161080712,0.5635159181006111
"(0, 390)",291.37908722242213,0.5614544734058924
"(0, 400)",291.33806390024034,0.559403306886592
"(0, 410)",291.2972451168414,0.5573623673084817
"(0, 420)",291.2566298526494,0.5553316036927447
"(0, 430)",291.21621709317185,0.5533109653147652
"(0, 440)",291.1760058289745,0.5513004017028096
"(0, 450)",291.1359950556554,0.5492998626367644
"(0, 460)",291.0961837738203,0.5473092981469203
"(0, 470)",291.05657098905766,0.5453286585126825
"(0, 480)",291.0171557119141,0.5433578942613699
"(0, 490)",290.97793695786874,0.5413969561669366
"(0, 500)",290.9389137473095,0.539445795248766
"(0, 510)",290.90008510550854,0.5375043627704528
"(0, 520)",290.8614500625975,0.5355726102385695
"(0, 530)",290.82300765354364,0.533650489401475
"(0, 540)",290.7847569181254,0.531737952248076
"(0, 550)",290.74669690090894,0.5298349510066721
"(0, 560)",290.7088266512233,0.5279414381437111
"(0, 570)",290.6711452231382,0.5260573663626567
"(0, 580)",290.6336516754387,0.5241826886027702
"(0, 590)",290.59634507160285,0.5223173580379316
"(0, 600)",290.5592244797781,0.5204613280755062
"(0, 610)",290.52228897275756,0.5186145523551451
"(0, 620)",290.4855376279572,0.5167769847476342
"(0, 630)",290.448969527393,0.5149485793537626
"(0, 640)",290.41258375765744,0.5131292905031478
"(0, 650)",290.3763794098972,0.5113190727531124
"(0, 660)",290.3403555797905,0.5095178808875593
"(0, 670)",290.3044934957085,0.5077247763248567
"(0, 680)",290.2688102746817,0.5059406149167043
"(0, 690)",290.23330502462613,0.5041653520588916
"(0, 700)",290.197976857907,0.5023989433696747
"(0, 710)",290.16282489131686,0.5006413446886633
"(0, 720)",290.12784824605285,0.4988925120757159
"(0, 730)",290.09304604769545,0.49715240180984466
"(0, 740)",290.0584174261864,0.49542097038812466
"(0, 750)",290.0239615158067,0.4936981745245997
"(0, 760)",289.9896774551552,0.4919839711491991
"(0, 770)",289.955564387127,0.490278317406678
"(0, 780)",289.92162145889205,0.4885811706555222
"(0, 790)",289.88784782187383,0.486892488466895
"(0, 800)",289.8542426317282,0.4852122286235788
"(0, 810)",289.8208050483219,0.4835403491189044
"(0, 820)",289.7875342357122,0.4818768081557302
"(0, 830)",289.7544293621255,0.4802215641453623
"(0, 840)",289.72148959993666,0.47857457570653966
"(0, 850)",289.68871412564835,0.4769358016643858
"(0, 860)",289.6561021198704,0.47530520104939106
"(0, 870)",289.6236527672999,0.47368273309638614
"(0, 880)",289.59136525669925,0.4720683572434999
"(0, 890)",289.55923878087805,0.4704620331311921
"(0, 900)",289.5272725366711,0.4688637206011969
"(0, 910)",289.52461537998767,0.1765465519293962
"(0, 920)",289.5219632226605,0.1764966054289468
"(0, 930)",289.5193160552839,0.1764467529012689
"(0, 940)",289.5166738684693,0.17639699416954835
"(0, 950)",289.5140366528458,0.17634732905731137
"(0, 960)",289.51140439906044,0.17629775738841924
"(0, 970)",289.5087770977775,0.17624827898705756
"(0, 980)",289.50615473967906,0.17619889367774816
"(0, 990)",289.5035373154649,0.1761496012853436
"(0, 1000)",289.50092481585176,0.17610040163501867
"(0, 1010)",289.4983172315742,0.17605129455228533
"(0, 1020)",289.49571455338423,0.17600227986297887
"(0, 1030)",289.4931167720513,0.17595335739326537
"(0, 1040)",289.4905238783619,0.1759045269696342
"(0, 1050)",289.48793586312024,0.1758557884189066
"(0, 1060)",289.48535271714775,0.1758071415682248
"(0, 1070)",289.48277443128296,0.17575858624506105
"(0, 1080)",289.48020099638154,0.17571012227720417
"(0, 1090)",289.4776324033169,0.17566174949277505
"(0, 1100)",289.4750686429791,0.17561346772021552
"(0, 1110)",289.4725097062755,0.17556527678828876
"(0, 1120)",289.46995558413073,0.17551717652608112
"(0, 1130)",289.46740626748624,0.17546916676300015
"(0, 1140)",289.4648617473005,0.17542124732877348
"(0, 1150)",289.4623220145493,0.175373418053452
"(0, 1160)",289.4597870602254,0.17532567876740568
"(0, 1170)",289.457256875338,0.17527802930132114
"(0, 1180)",289.45473145091364,0.17523046948620327
"(0, 1190)",289.45221077799573,0.1751829991533779
"(0, 1200)",289.4496948476444,0.1751356181344866
"(0, 1210)",289.44718365093667,0.17508832626148693
"(0, 1220)",289.44467717896646,0.17504112336665745
"(0, 1230)",289.4421754228443,0.17499400928258732
"(0, 1240)",289.43967837369735,0.17494698384217908
"(0, 1250)",289.43718602266966,0.1749000468786567
"(0, 1260)",289.4346983609219,0.17485319822555132
"(0, 1270)",289.4322153796313,0.17480643771670976
"(0, 1280)",289.4297370699916,0.17475976518628936
"(0, 1290)",289.42726342321333,0.17471318046876327
"(0, 1300)",289.4247944305236,0.17466668339891614
