,T_out,P_el,_mDot_full
"(0, 0)",,,
"(0, 10)",293.10012474303664,0.6475063663495799,0.05000000997656391
"(0, 20)",293.0504982401842,0.6450250407118542,0.05000000997656391
"(0, 30)",293.001119250775,0.6425560907487643,0.05000000997656391
"(0, 40)",292.9519865403296,0.6400994547363178,0.05000000997656391
"(0, 50)",292.90309888052536,0.6376550712583748,0.05000000997656391
"(0, 60)",292.85445504916606,0.6352228792051137,0.05000000997656391
"(0, 70)",292.80605383015114,0.6328028177714894,0.05000000997656391
"(0, 80)",292.7578940134453,0.6303948264557262,0.05000000997656391
"(0, 90)",292.7099743950484,0.6279988450578095,0.05000000997656391
"(0, 100)",292.66229377696544,0.6256148136779719,0.05000000997656391
"(0, 110)",292.6148509671761,0.6232426727151892,0.05000000997656391
"(0, 120)",292.56764477960553,0.6208823628657035,0.05000000997656391
"(0, 130)",292.52067403409444,0.6185338251215411,0.05000000997656391
"(0, 140)",292.4739375563696,0.6161970007690325,0.05000000997656391
"(0, 150)",292.42743417801427,0.6138718313873224,0.05000000997656391
"(0, 160)",292.3811627364396,0.6115582588469559,0.05000000997656391
"(0, 170)",292.335122074855,0.6092562253084013,0.05000000997656391
"(0, 180)",292.2893110422394,0.6069656732205825,0.05000000997656391
"(0, 190)",292.2437284933124,0.6046865453194791,0.05000000997656391
"(0, 200)",292.1983732885058,0.6024187846266583,0.05000000997656391
"(0, 210)",292.15324429393524,0.600162334447899,0.05000000997656391
"(0, 220)",292.10834038137136,0.5979171383717156,0.05000000997656391
"(0, 230)",292.06366042821173,0.5956831402679841,0.05000000997656391
"(0, 240)",292.01920331745316,0.5934602842865256,0.05000000997656391
"(0, 250)",291.9749679376639,0.5912485148557421,0.05000000997656391
"(0, 260)",291.93095318295457,0.5890477766811646,0.05000000997656391
"(0, 270)",291.8871579529523,0.5868580147441229,0.05000000997656391
"(0, 280)",291.843581152772,0.584679174300361,0.05000000997656391
"(0, 290)",291.8002216929892,0.5825112008786447,0.05000000997656391
"(0, 300)",291.7570784896135,0.5803540402794375,0.05000000997656391
"(0, 310)",291.71415046406037,0.5782076385735042,0.05000000997656391
"(0, 320)",291.67143654312486,0.5760719421005908,0.05000000997656391
"(0, 330)",291.62893565895484,0.5739468974680784,0.05000000997656391
"(0, 340)",291.5866467490241,0.5718324515496427,0.05000000997656391
"(0, 350)",291.54456875610555,0.5697285514839238,0.05000000997656391
"(0, 360)",291.5027006282456,0.5676351446732216,0.05000000997656391
"(0, 370)",291.4610413187365,0.5655521787821514,0.05000000997656391
"(0, 380)",291.4195897860917,0.5634796017363704,0.05000000997656391
"(0, 390)",291.3783449940188,0.5614173617212418,0.05000000997656391
"(0, 400)",291.3373059113939,0.5593654071805707,0.05000000997656391
"(0, 410)",291.2964715122359,0.5573236868152796,0.05000000997656391
"(0, 420)",291.2558407756807,0.5552921495821678,0.05000000997656391
"(0, 430)",291.2154126859561,0.5532707446926033,0.05000000997656391
"(0, 440)",291.17518623235566,0.5512594216112591,0.05000000997656391
"(0, 450)",291.13516040921445,0.5492581300548777,0.05000000997656391
"(0, 460)",291.0953342158826,0.5472668199909552,0.05000000997656391
"(0, 470)",291.05570665670143,0.545285441636553,0.05000000997656391
"(0, 480)",291.0162767409783,0.5433139454570188,0.05000000997656391
"(0, 490)",290.9770434829611,0.541352282164748,0.05000000997656391
"(0, 500)",290.9380059018148,0.5394004027179714,0.05000000997656391
"(0, 510)",290.8991630215959,0.5374582583195069,0.05000000997656391
"(0, 520)",290.8605138712286,0.5355258004155556,0.05000000997656391
"(0, 530)",290.82205748448035,0.5336029806944826,0.05000000997656391
"(0, 540)",290.7837928999376,0.531689751085596,0.05000000997656391
"(0, 550)",290.7457191609821,0.5297860637579773,0.05000000997656391
"(0, 560)",290.70783531576683,0.5278918711192607,0.05000000997656391
"(0, 570)",290.6701404171916,0.5260071258144349,0.05000000997656391
