,T_out,P_el
"(0, 0)",,
"(0, 10)",293.1001472460035,0.6475074914962774
"(0, 20)",293.05054304409447,0.6450272809059548
"(0, 30)",293.0011861552636,0.642559435972007
"(0, 40)",292.95207534667895,0.6401038950528241
"(0, 50)",292.9032093916548,0.6376605968141118
"(0, 60)",292.85458706962123,0.6352294802273539
"(0, 70)",292.8062071660934,0.6328104845683028
"(0, 80)",292.7580684726415,0.6304035494154587
"(0, 90)",292.7101697868608,0.6280086146485638
"(0, 100)",292.66250991234057,0.6256256204470814
"(0, 110)",292.61508765863545,0.6232545072887181
"(0, 120)",292.56790184123474,0.6208952159479375
"(0, 130)",292.5209512815337,0.6185476874944874
"(0, 140)",292.47423480680317,0.6162118632918973
"(0, 150)",292.4277512501609,0.613887684996047
"(0, 160)",292.3814994505425,0.6115750945536964
"(0, 170)",292.33547825267186,0.6092740342010354
"(0, 180)",292.2896865070326,0.6069844464622388
"(0, 190)",292.24412306983976,0.6047062741480327
"(0, 200)",292.19878680301025,0.6024394603542663
"(0, 210)",292.15367657413566,0.600183948460501
"(0, 220)",292.108791256453,0.5979396821285705
"(0, 230)",292.0641297288169,0.5957066053012038
"(0, 240)",292.01969087567164,0.5934846622005997
"(0, 250)",291.97547358702303,0.591273797327042
"(0, 260)",291.93147675841135,0.5890739554575241
"(0, 270)",291.88769929088295,0.5868850816443618
"(0, 280)",291.8441400909633,0.5847071212138126
"(0, 290)",291.8007980706295,0.5825400197647275
"(0, 300)",291.7576721472831,0.5803837231671627
"(0, 310)",291.714761243723,0.5782381775610612
"(0, 320)",291.672064288119,0.5761033293548977
"(0, 330)",291.6295802139841,0.5739791252243165
"(0, 340)",291.58730796014913,0.5718655121108411
"(0, 350)",291.5452464707348,0.5697624372205017
"(0, 360)",291.5033946951267,0.5676698480225655
"(0, 370)",291.4617515879482,0.5655876922481906
"(0, 380)",291.42031610903433,0.5635159178891231
"(0, 390)",291.3790872234064,0.5614544731964054
"(0, 400)",291.3380639012454,0.5594033066790907
"(0, 410)",291.297245117867,0.557362367102944
"(0, 420)",291.2566298536956,0.5553316034891801
"(0, 430)",291.21621709423846,0.5533109651131493
"(0, 440)",291.1760058300612,0.5513004015031203
"(0, 450)",291.1359950567619,0.5492998624389918
"(0, 460)",291.0961837749465,0.5473092979510482
"(0, 470)",291.05657099020345,0.5453286583187035
"(0, 480)",291.0171557130792,0.5433578940692682
"(0, 490)",290.9779369590529,0.5413969559766869
"(0, 500)",290.93891374851256,0.539445795060359
"(0, 510)",290.90008510673044,0.5375043625838838
"(0, 520)",290.861450063838,0.5355726100538206
"(0, 530)",290.8230076548025,0.5336504892185272
"(0, 540)",290.7847569194025,0.531737952066924
"(0, 550)",290.746696902204,0.5298349508272959
"(0, 560)",290.7088266525364,0.527941437966105
"(0, 570)",290.67114522446883,0.5260573661868025
"(0, 580)",290.6336516767868,0.5241826884286525
"(0, 590)",290.5963450729683,0.5223173578655369
"(0, 600)",290.55922448116064,0.5204613279048255
"(0, 610)",290.5222889741571,0.5186145521861621
"(0, 620)",290.4855376293736,0.5167769845803424
"(0, 630)",290.448969528826,0.5149485791881432
"(0, 640)",290.4125837591071,0.5131292903391995
"(0, 650)",290.37637941136336,0.5113190725908221
"(0, 660)",290.3403555812728,0.5095178807269035
"(0, 670)",290.30449349720664,0.5077247761658227
"(0, 680)",290.2688102761957,0.5059406147592825
"(0, 690)",290.2333050261558,0.5041653519030724
"(0, 700)",290.1979768594522,0.5023989432154427
"(0, 710)",290.1628248928773,0.5006413445360084
"(0, 720)",290.1278482476285,0.4988925119246255
"(0, 730)",290.0930460492862,0.4971524016603121
"(0, 740)",290.05841742779205,0.49542097024013454
"(0, 750)",290.0239615174271,0.49369817437813673
"(0, 760)",289.9896774567901,0.4919839710042565
"(0, 770)",289.95556438877634,0.4902783172632402
