,N,iter_count,n_call_callback_fun,n_call_nlp_f,n_call_nlp_g,n_call_nlp_grad,n_call_nlp_grad_f,n_call_nlp_hess_l,n_call_nlp_jac_g,n_call_total,return_status,success,t_proc_callback_fun,t_proc_nlp_f,t_proc_nlp_g,t_proc_nlp_grad,t_proc_nlp_grad_f,t_proc_nlp_hess_l,t_proc_nlp_jac_g,t_proc_total,t_wall_callback_fun,t_wall_nlp_f,t_wall_nlp_g,t_wall_nlp_grad,t_wall_nlp_grad_f,t_wall_nlp_hess_l,t_wall_nlp_jac_g,t_wall_total,unified_return_status
"0",48,16,0,50,17,0,18,16,18,1,0,True,0.0,0.0,0.001,0.0,0.001,0.002,0.002,0.022,0.0,0.0013339999999999992,0.0006570000000000002,0.0,0.000612,0.0016789999999999995,0.001062,0.022109,SOLVER_RET_SUCCESS
"900.0",48,16,0,50,17,0,18,16,18,1,0,True,0.0,0.002,0.001,0.0,0.0,0.003,0.001,0.022,0.0,0.0013770000000000002,0.000673,0.0,0.0006400000000000002,0.0017229999999999997,0.001058,0.021934,SOLVER_RET_SUCCESS
"1800.0",48,12,0,38,13,0,14,12,14,1,0,True,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.015,0.0,0.0009300000000000004,0.0004930000000000001,0.0,0.00041400000000000003,0.0011070000000000001,0.0007440000000000002,0.015105,SOLVER_RET_SUCCESS
"2700.0",48,13,0,41,14,0,15,13,15,1,0,True,0.0,0.0,0.001,0.0,0.001,0.001,0.001,0.016,0.0,0.0010030000000000006,0.0004880000000000001,0.0,0.0004580000000000001,0.0012289999999999998,0.0007969999999999999,0.016309,SOLVER_RET_SUCCESS
"3600.0",48,13,0,41,14,0,15,13,15,1,0,True,0.0,0.002,0.0,0.0,0.0,0.003,0.0,0.018,0.0,0.0011139999999999995,0.0005369999999999999,0.0,0.000509,0.0013830000000000001,0.0008860000000000001,0.018048,SOLVER_RET_SUCCESS
"4500.0",48,15,0,47,16,0,17,15,17,1,0,True,0.0,0.001,0.001,0.0,0.0,0.002,0.002,0.02,0.0,0.0012499999999999994,0.0006140000000000002,0.0,0.0005750000000000001,0.001591,0.001,0.020314,SOLVER_RET_SUCCESS
"5400.0",48,14,0,44,15,0,16,14,16,1,0,True,0.0,0.001,0.001,0.0,0.0,0.0,0.002,0.019,0.0,0.0011689999999999997,0.0005790000000000001,0.0,0.000537,0.001466,0.0009390000000000001,0.019157,SOLVER_RET_SUCCESS
"6300.0",48,15,0,47,16,0,17,15,17,1,0,True,0.0,0.001,0.002,0.0,0.0,0.002,0.002,0.02,0.0,0.0012549999999999994,0.0006280000000000001,0.0,0.000574,0.0015789999999999999,0.000996,0.020317,SOLVER_RET_SUCCESS
"7200.0",48,13,0,41,14,0,15,13,15,1,0,True,0.0,0.003,0.001,0.0,0.001,0.001,0.002,0.022,0.0,0.0011579999999999995,0.0005850000000000002,0.0,0.0005830000000000001,0.001485,0.001022,0.020918,SOLVER_RET_SUCCESS
"8100.0",48,13,0,41,14,0,15,13,15,1,0,True,0.0,0.002,0.0,0.0,0.001,0.001,0.001,0.019,0.0,0.0011319999999999998,0.000567,0.0,0.000548,0.00149,0.0008780000000000001,0.018474,SOLVER_RET_SUCCESS
"9000.0",48,13,0,41,14,0,15,13,15,1,0,True,0.0,0.002,0.0,0.0,0.0,0.001,0.0,0.021,0.0,0.0012300000000000004,0.00061,0.0,0.0005710000000000001,0.0015690000000000003,0.0009919999999999998,0.020224,SOLVER_RET_SUCCESS
"9900.0",48,27,0,83,28,0,29,27,29,1,0,True,0.0,0.004,0.003,0.0,0.004,0.003,0.001,0.045,0.0,0.0028579999999999986,0.001389000000000001,0.0,0.0012810000000000005,0.003465000000000001,0.0021689999999999986,0.044379,SOLVER_RET_SUCCESS
"10800.0",48,23,0,71,24,0,25,23,25,1,0,True,0.0,0.002,0.0,0.0,0.001,0.002,0.002,0.031,0.0,0.001988999999999998,0.0009160000000000006,0.0,0.0008690000000000004,0.0024290000000000006,0.001458999999999999,0.030583,SOLVER_RET_SUCCESS
"11700.0",48,20,0,62,21,0,22,20,22,1,0,True,0.0,0.002,0.001,0.0,0.002,0.003,0.0,0.031,0.0,0.0020449999999999995,0.0009230000000000002,0.0,0.0008620000000000001,0.0025040000000000006,0.0015089999999999995,0.030973,SOLVER_RET_SUCCESS
"12600.0",48,20,0,62,21,0,22,20,22,1,0,True,0.0,0.002,0.001,0.0,0.0,0.002,0.001,0.026,0.0,0.0017109999999999992,0.0008040000000000005,0.0,0.0007270000000000002,0.0021150000000000006,0.0012849999999999997,0.026565,SOLVER_RET_SUCCESS
"13500.0",48,20,0,62,21,0,22,20,22,1,0,True,0.0,0.001,0.002,0.0,0.0,0.002,0.002,0.028,0.0,0.0017459999999999993,0.0008150000000000004,0.0,0.0007340000000000002,0.0021130000000000003,0.0012959999999999998,0.026606,SOLVER_RET_SUCCESS
"14400.0",48,20,0,62,21,0,22,20,22,1,0,True,0.0,0.004,0.001,0.0,0.0,0.003,0.002,0.037,0.0,0.002319,0.0011810000000000002,0.0,0.0009930000000000002,0.0027640000000000004,0.0017489999999999997,0.036559,SOLVER_RET_SUCCESS
"15300.0",48,19,0,59,20,0,21,19,21,1,0,True,0.0,0.002,0.0,0.0,0.001,0.005,0.001,0.035,0.0,0.0024129999999999993,0.0010020000000000005,0.0,0.0010030000000000002,0.0023640000000000006,0.001931,0.03493,SOLVER_RET_SUCCESS
"16200.0",48,20,0,62,21,0,22,20,22,1,0,True,0.0,0.003,0.0,0.0,0.0,0.004,0.001,0.031,0.0,0.0021009999999999996,0.0009930000000000002,0.0,0.0008410000000000001,0.002616,0.0015719999999999996,0.032409,SOLVER_RET_SUCCESS
"17100.0",48,19,0,59,20,0,21,19,21,1,0,True,0.0,0.004,0.001,0.0,0.001,0.003,0.001,0.032,0.0,0.0023750000000000004,0.001099,0.0,0.0009319999999999999,0.0024920000000000007,0.001665,0.032305,SOLVER_RET_SUCCESS
"18000.0",48,19,0,59,20,0,21,19,21,1,0,True,0.0,0.002,0.001,0.0,0.0,0.001,0.002,0.027,0.0,0.0019110000000000002,0.0008520000000000003,0.0,0.0007460000000000001,0.0020990000000000006,0.0013250000000000002,0.02689,SOLVER_RET_SUCCESS
"18900.0",48,13,0,41,14,0,15,13,15,1,0,True,0.0,0.003,0.002,0.0,0.001,0.003,0.001,0.038,0.0,0.002369,0.001124,0.0,0.0010460000000000003,0.0029820000000000003,0.00183,0.037698,SOLVER_RET_SUCCESS
"19800.0",48,14,0,44,15,0,16,14,16,1,0,True,0.0,0.002,0.001,0.0,0.001,0.001,0.0,0.02,0.0,0.001217,0.000575,0.0,0.000535,0.0014770000000000002,0.0009350000000000001,0.019444,SOLVER_RET_SUCCESS
"20700.0",48,13,0,41,14,0,15,13,15,1,0,True,0.0,0.001,0.0,0.0,0.0,0.002,0.001,0.019,0.0,0.001136,0.000539,0.0,0.000522,0.0013760000000000005,0.000879,0.018323,SOLVER_RET_SUCCESS
