,N,iter_count,n_call_callback_fun,n_call_nlp_f,n_call_nlp_g,n_call_nlp_grad,n_call_nlp_grad_f,n_call_nlp_hess_l,n_call_nlp_jac_g,n_call_total,return_status,success,t_proc_callback_fun,t_proc_nlp_f,t_proc_nlp_g,t_proc_nlp_grad,t_proc_nlp_grad_f,t_proc_nlp_hess_l,t_proc_nlp_jac_g,t_proc_total,t_wall_callback_fun,t_wall_nlp_f,t_wall_nlp_g,t_wall_nlp_grad,t_wall_nlp_grad_f,t_wall_nlp_hess_l,t_wall_nlp_jac_g,t_wall_total,unified_return_status
"0",48,21,0,67,24,0,23,21,23,1,0,True,0.0,0.001,0.002,0.0,0.003,0.005,0.002,0.044,0.0,0.0029039999999999977,0.0013179999999999997,0.0,0.0009659999999999998,0.002944,0.001895,0.04346,SOLVER_RET_SUCCESS
"900.0",48,20,0,62,21,0,22,20,22,1,0,True,0.0,0.002,0.002,0.0,0.0,0.003,0.0,0.027,0.0,0.0017640000000000004,0.0007730000000000001,0.0,0.0006329999999999999,0.0018399999999999994,0.0012419999999999998,0.026815,SOLVER_RET_SUCCESS
"1800.0",48,62,0,189,64,0,64,62,64,1,0,True,0.0,0.008,0.001,0.0,0.0,0.006,0.002,0.072,0.0,0.004933999999999988,0.0021399999999999987,0.0,0.001699,0.005313999999999996,0.0032830000000000003,0.070902,SOLVER_RET_SUCCESS
"2700.0",48,27,0,84,29,0,29,27,29,1,0,True,0.0,0.002,0.003,0.0,0.001,0.002,0.0,0.032,0.0,0.002126,0.0009330000000000002,0.0,0.0007389999999999997,0.0022510000000000004,0.0014859999999999995,0.03207,SOLVER_RET_SUCCESS
"3600.0",48,63,0,192,65,0,65,63,65,1,0,True,0.0,0.007,0.004,0.0,0.002,0.002,0.001,0.079,0.0,0.005492000000000005,0.00236,0.0,0.0018709999999999996,0.005768999999999999,0.0036490000000000016,0.078927,SOLVER_RET_SUCCESS
"4500.0",48,63,0,192,65,0,65,63,65,1,0,True,0.0,0.003,0.003,0.0,0.002,0.011000000000000003,0.005,0.099,0.0,0.007329000000000016,0.0031410000000000014,0.0,0.002548999999999999,0.007773000000000006,0.004780999999999995,0.09892,SOLVER_RET_SUCCESS
"5400.0",48,29,0,90,31,0,31,29,31,1,0,True,0.0,0.004,0.001,0.0,0.001,0.001,0.003,0.039,0.0,0.002555999999999997,0.0011310000000000003,0.0,0.0008909999999999996,0.0026639999999999993,0.0017560000000000002,0.03789,SOLVER_RET_SUCCESS
"6300.0",48,63,0,192,65,0,65,63,65,1,0,True,0.0,0.006,0.003,0.0,0.003,0.004,0.004,0.08,0.0,0.005451000000000005,0.0023610000000000007,0.0,0.001881999999999999,0.005846,0.003661000000000002,0.079134,SOLVER_RET_SUCCESS
"7200.0",48,63,0,192,65,0,65,63,65,1,0,True,0.0,0.013000000000000005,0.002,0.0,0.0,0.004,0.003,0.086,0.0,0.005820000000000007,0.002527000000000001,0.0,0.0020269999999999993,0.006155999999999999,0.004005000000000001,0.085498,SOLVER_RET_SUCCESS
"8100.0",48,56,0,171,58,0,58,56,58,1,0,True,0.0,0.007,0.003,0.0,0.002,0.004,0.002,0.071,0.0,0.004849000000000001,0.0021140000000000004,0.0,0.0016779999999999996,0.005164999999999998,0.003277000000000002,0.070843,SOLVER_RET_SUCCESS
"9000.0",48,63,0,192,65,0,65,63,65,1,0,True,0.0,0.006,0.002,0.0,0.002,0.006,0.004,0.104,0.0,0.007019000000000013,0.003184,0.0,0.0024839999999999992,0.007804000000000002,0.004561999999999998,0.105449,SOLVER_RET_SUCCESS
