,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,variable,upper,lower,variable,upper,lower,variable,variable,upper,upper,lower,lower,variable,variable,variable,upper,upper,upper,lower,lower,lower
,load,T_upper,T_lower,T_in,Time,_P_external,in_provision,rel_start,rel_end,cp,C,s_T,r_mDot,profile_deviation_weight,T,mDot,r_del_u_mDot,T,T,T,mDot,mDot,mDot,t_sim,T_slack,t_sim,T_slack,t_sim,T_slack,T_out,P_el,_mDot_full,T_out,P_el,_mDot_full,T_out,P_el,_mDot_full
"(4500.0, 5209.807621135332)",,,,,,,,,,,,,,,,,,294.1499834667703,303.15,288.15,,,,0.0,9.56386055784637e-06,inf,inf,-inf,-inf,294.1499834667703,0.15000002735458856,0.010714300321184245,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 5400.0)",150.0,294.15,292.15,280.15,5400.0,0.0,0.0,0.0,0.0,,,,,,,,,294.149983415289,303.15,288.15,0.010714297840719948,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 5590.192378864668)",,,,,,,,,,,,,,,,,,294.1499834302013,303.15,288.15,,,,0.0,9.562847177073076e-06,inf,inf,-inf,-inf,294.1499834302013,0.14999999223635122,0.010714297840719948,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 6109.807621135332)",,,,,,,,,,,,,,,,,,294.1499834694501,303.15,288.15,,,,0.0,9.563934941817484e-06,inf,inf,-inf,-inf,294.1499834694501,0.1499999926568751,0.010714297840719948,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 6300.0)",150.0,294.15,292.15,280.15,6300.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1499834832695,303.15,288.15,0.010714298506099085,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 6490.192378864668)",,,,,,,,,,,,,,,,,,294.1499834792792,303.15,288.15,,,,0.0,9.564207907544119e-06,inf,inf,-inf,-inf,294.1499834792792,0.15000000207747485,0.010714298506099085,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 7009.807621135332)",,,,,,,,,,,,,,,,,,294.1499834687769,303.15,288.15,,,,0.0,9.563916257872068e-06,inf,inf,-inf,-inf,294.1499834687769,0.1500000019649502,0.010714298506099085,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 7200.0)",150.0,294.15,292.15,280.15,7200.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14998346507866,303.15,288.15,0.010714298328016467,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 7390.192378864668)",,,,,,,,,,,,,,,,,,294.1499834661474,303.15,288.15,,,,0.0,9.563843275390832e-06,inf,inf,-inf,-inf,294.1499834661474,0.14999999944362544,0.010714298328016467,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 7909.807621135332)",,,,,,,,,,,,,,,,,,294.1499834689604,303.15,288.15,,,,0.0,9.56392134957733e-06,inf,inf,-inf,-inf,294.1499834689604,0.1499999994737646,0.010714298328016467,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 8100.0)",150.0,294.15,292.15,280.15,8100.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1499834699505,303.15,288.15,0.010714298375707509,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 8290.192378864669)",,,,,,,,,,,,,,,,,,294.1499834696644,303.15,288.15,,,,0.0,9.563940892424309e-06,inf,inf,-inf,-inf,294.1499834696644,0.15000000014898074,0.010714298375707509,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 8809.807621135331)",,,,,,,,,,,,,,,,,,294.1499834689115,303.15,288.15,,,,0.0,9.563919992512337e-06,inf,inf,-inf,-inf,294.1499834689115,0.15000000014091378,0.010714298375707509,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 9000.0)",150.0,294.15,292.15,280.15,9000.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14998346864604,303.15,288.15,0.010714298362937686,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 9190.192378864669)",,,,,,,,,,,,,,,,,,294.1499834687227,303.15,288.15,,,,0.0,9.563914752492503e-06,inf,inf,-inf,-inf,294.1499834687227,0.149999999960114,0.010714298362937686,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 9709.807621135331)",,,,,,,,,,,,,,,,,,294.1499834689246,303.15,288.15,,,,0.0,9.563920355723815e-06,inf,inf,-inf,-inf,294.1499834689246,0.14999999996227695,0.010714298362937686,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 9900.0)",150.0,294.15,292.15,280.15,9900.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1499834689953,303.15,288.15,0.010714298366356094,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 10090.192378864669)",,,,,,,,,,,,,,,,,,294.1499834689748,303.15,288.15,,,,0.0,9.56392175219315e-06,inf,inf,-inf,-inf,294.1499834689748,0.15000000001067318,0.010714298366356094,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 10609.807621135331)",,,,,,,,,,,,,,,,,,294.14998346892105,303.15,288.15,,,,0.0,9.563920259376963e-06,inf,inf,-inf,-inf,294.14998346892105,0.15000000001009708,0.010714298366356094,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 10800.0)",150.0,294.15,292.15,280.15,10800.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1499834689018,303.15,288.15,0.010714298365441329,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 10990.192378864669)",,,,,,,,,,,,,,,,,,294.1499834689073,303.15,288.15,,,,0.0,9.56391987704142e-06,inf,inf,-inf,-inf,294.1499834689073,0.14999999999714278,0.010714298365441329,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 11509.807621135331)",,,,,,,,,,,,,,,,,,294.149983468922,303.15,288.15,,,,0.0,9.563920284598032e-06,inf,inf,-inf,-inf,294.149983468922,0.1499999999973005,0.010714298365441329,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 11700.0)",150.0,294.15,292.15,280.15,11700.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14998346892685,303.15,288.15,0.010714298365685986,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 11890.192378864669)",,,,,,,,,,,,,,,,,,294.1499834689254,303.15,288.15,,,,0.0,9.563920380105074e-06,inf,inf,-inf,-inf,294.1499834689254,0.1500000000007621,0.010714298365685986,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 12409.807621135331)",,,,,,,,,,,,,,,,,,294.1499834689218,303.15,288.15,,,,0.0,9.56392027735464e-06,inf,inf,-inf,-inf,294.1499834689218,0.15000000000072294,0.010714298365685986,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 12600.0)",150.0,294.15,292.15,280.15,12600.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1499834689201,303.15,288.15,0.010714298365620295,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 12790.192378864669)",,,,,,,,,,,,,,,,,,294.1499834689206,303.15,288.15,,,,0.0,9.563920245476507e-06,inf,inf,-inf,-inf,294.1499834689206,0.1499999999997906,0.010714298365620295,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 13309.807621135331)",,,,,,,,,,,,,,,,,,294.14998346892185,303.15,288.15,,,,0.0,9.563920279889037e-06,inf,inf,-inf,-inf,294.14998346892185,0.14999999999980426,0.010714298365620295,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 13500.0)",150.0,294.15,292.15,280.15,13500.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1499834689219,303.15,288.15,0.010714298365638324,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 13690.192378864669)",,,,,,,,,,,,,,,,,,294.1499834689219,303.15,288.15,,,,0.0,9.563920280901116e-06,inf,inf,-inf,-inf,294.1499834689219,0.1500000000000569,0.010714298365638324,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 14209.807621135331)",,,,,,,,,,,,,,,,,,294.14998346892185,303.15,288.15,,,,0.0,9.563920279196008e-06,inf,inf,-inf,-inf,294.14998346892185,0.15000000000005637,0.010714298365638324,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 14400.0)",150.0,294.15,292.15,280.15,14400.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14998346892145,303.15,288.15,0.010714298365632787,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 14590.192378864669)",,,,,,,,,,,,,,,,,,294.14998346892156,303.15,288.15,,,,0.0,9.56392027137533e-06,inf,inf,-inf,-inf,294.14998346892156,0.14999999999997576,0.010714298365632787,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 15109.807621135331)",,,,,,,,,,,,,,,,,,294.14998346892185,303.15,288.15,,,,0.0,9.563920280266492e-06,inf,inf,-inf,-inf,294.14998346892185,0.14999999999997926,0.010714298365632787,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 15300.0)",150.0,294.15,292.15,280.15,15300.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14998346892156,303.15,288.15,0.010714298365634494,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 15490.192378864669)",,,,,,,,,,,,,,,,,,294.1499834689216,303.15,288.15,,,,0.0,9.56392027315846e-06,inf,inf,-inf,-inf,294.1499834689216,0.15000000000000036,0.010714298365634494,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 16009.807621135331)",,,,,,,,,,,,,,,,,,294.14998346892185,303.15,288.15,,,,0.0,9.563920279502255e-06,inf,inf,-inf,-inf,294.14998346892185,0.15000000000000285,0.010714298365634494,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 16200.0)",150.0,294.15,292.15,280.15,16200.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14998346892156,303.15,288.15,0.010714298365634619,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 16390.192378864667)",,,,,,,,,,,,,,,,,,294.1499834689216,303.15,288.15,,,,0.0,9.563920273426775e-06,inf,inf,-inf,-inf,294.1499834689216,0.15000000000000224,0.010714298365634619,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 16909.807621135333)",,,,,,,,,,,,,,,,,,294.14998346892185,303.15,288.15,,,,0.0,9.563920279543549e-06,inf,inf,-inf,-inf,294.14998346892185,0.15000000000000466,0.010714298365634619,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 17100.0)",150.0,294.15,292.15,280.15,17100.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14998346892156,303.15,288.15,0.010714298365634452,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 17290.192378864667)",,,,,,,,,,,,,,,,,,294.1499834689216,303.15,288.15,,,,0.0,9.56392027331351e-06,inf,inf,-inf,-inf,294.1499834689216,0.14999999999999986,0.010714298365634452,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 17809.807621135333)",,,,,,,,,,,,,,,,,,294.14998346892185,303.15,288.15,,,,0.0,9.563920279527008e-06,inf,inf,-inf,-inf,294.14998346892185,0.15000000000000233,0.010714298365634452,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 18000.0)",150.0,294.15,292.15,280.15,18000.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14998346892156,303.15,288.15,0.010714298365634728,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 18190.192378864667)",,,,,,,,,,,,,,,,,,294.1499834689216,303.15,288.15,,,,0.0,9.563920273415501e-06,inf,inf,-inf,-inf,294.1499834689216,0.15000000000000374,0.010714298365634728,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 18709.807621135333)",,,,,,,,,,,,,,,,,,294.14998346892185,303.15,288.15,,,,0.0,9.563920279322409e-06,inf,inf,-inf,-inf,294.14998346892185,0.1500000000000061,0.010714298365634728,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 18900.0)",150.0,294.15,292.15,280.15,18900.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14998346892156,303.15,288.15,0.01071429836563373,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 19090.192378864667)",,,,,,,,,,,,,,,,,,294.1499834689216,303.15,288.15,,,,0.0,9.56392027347531e-06,inf,inf,-inf,-inf,294.1499834689216,0.1499999999999898,0.01071429836563373,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 19609.807621135333)",,,,,,,,,,,,,,,,,,294.14998346892185,303.15,288.15,,,,0.0,9.563920279784442e-06,inf,inf,-inf,-inf,294.14998346892185,0.1499999999999923,0.01071429836563373,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 19800.0)",150.0,294.15,292.15,280.15,19800.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1499834689215,303.15,288.15,0.010714298365634468,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 19990.192378864667)",,,,,,,,,,,,,,,,,,294.1499834689216,303.15,288.15,,,,0.0,9.563920273066126e-06,inf,inf,-inf,-inf,294.1499834689216,0.14999999999999997,0.010714298365634468,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 20509.807621135333)",,,,,,,,,,,,,,,,,,294.14998346892185,303.15,288.15,,,,0.0,9.563920279480169e-06,inf,inf,-inf,-inf,294.14998346892185,0.15000000000000252,0.010714298365634468,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 20700.0)",150.0,294.15,292.15,280.15,20700.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14998346892156,303.15,288.15,0.010714298365634568,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 20890.192378864667)",,,,,,,,,,,,,,,,,,294.1499834689216,303.15,288.15,,,,0.0,9.56392027344749e-06,inf,inf,-inf,-inf,294.1499834689216,0.15000000000000155,0.010714298365634568,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 21409.807621135333)",,,,,,,,,,,,,,,,,,294.14998346892185,303.15,288.15,,,,0.0,9.563920279650196e-06,inf,inf,-inf,-inf,294.14998346892185,0.150000000000004,0.010714298365634568,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 21600.0)",150.0,294.15,292.15,280.15,21600.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14998346892156,303.15,288.15,0.010714298365634872,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 21790.192378864667)",,,,,,,,,,,,,,,,,,294.1499834689216,303.15,288.15,,,,0.0,9.563920273256828e-06,inf,inf,-inf,-inf,294.1499834689216,0.1500000000000057,0.010714298365634872,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 22309.807621135333)",,,,,,,,,,,,,,,,,,294.14998346892185,303.15,288.15,,,,0.0,9.5639202793045e-06,inf,inf,-inf,-inf,294.14998346892185,0.15000000000000813,0.010714298365634872,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 22500.0)",150.0,294.15,292.15,280.15,22500.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14998346892156,303.15,288.15,0.01071429836563477,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 22690.192378864667)",,,,,,,,,,,,,,,,,,294.1499834689216,303.15,288.15,,,,0.0,9.563920273628442e-06,inf,inf,-inf,-inf,294.1499834689216,0.15000000000000444,0.01071429836563477,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 23209.807621135333)",,,,,,,,,,,,,,,,,,294.14998346892185,303.15,288.15,,,,0.0,9.563920279438236e-06,inf,inf,-inf,-inf,294.14998346892185,0.1500000000000067,0.01071429836563477,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 23400.0)",150.0,294.15,292.15,280.15,23400.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14998346892156,303.15,288.15,0.010714298365633947,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 23590.192378864667)",,,,,,,,,,,,,,,,,,294.1499834689216,303.15,288.15,,,,0.0,9.563920273332136e-06,inf,inf,-inf,-inf,294.1499834689216,0.1499999999999928,0.010714298365633947,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 24109.807621135333)",,,,,,,,,,,,,,,,,,294.14998346892185,303.15,288.15,,,,0.0,9.563920279650506e-06,inf,inf,-inf,-inf,294.14998346892185,0.14999999999999528,0.010714298365633947,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 24300.0)",150.0,294.15,292.15,280.15,24300.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14998346892156,303.15,288.15,0.0107142983656348,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 24490.192378864667)",,,,,,,,,,,,,,,,,,294.1499834689216,303.15,288.15,,,,0.0,9.56392027325246e-06,inf,inf,-inf,-inf,294.1499834689216,0.15000000000000474,0.0107142983656348,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 25009.807621135333)",,,,,,,,,,,,,,,,,,294.14998346892185,303.15,288.15,,,,0.0,9.563920279444317e-06,inf,inf,-inf,-inf,294.14998346892185,0.15000000000000716,0.0107142983656348,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 25200.0)",150.0,294.15,292.15,280.15,25200.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14998346892156,303.15,288.15,0.010714298365635302,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 25390.192378864667)",,,,,,,,,,,,,,,,,,294.1499834689216,303.15,288.15,,,,0.0,9.563920273548922e-06,inf,inf,-inf,-inf,294.1499834689216,0.15000000000001187,0.010714298365635302,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 25909.807621135333)",,,,,,,,,,,,,,,,,,294.14998346892185,303.15,288.15,,,,0.0,9.563920279200475e-06,inf,inf,-inf,-inf,294.14998346892185,0.15000000000001412,0.010714298365635302,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 26100.0)",150.0,294.15,292.15,280.15,26100.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14998346892156,303.15,288.15,0.010714298365633694,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 26290.192378864667)",,,,,,,,,,,,,,,,,,294.1499834689216,303.15,288.15,,,,0.0,9.563920273439311e-06,inf,inf,-inf,-inf,294.1499834689216,0.14999999999998928,0.010714298365633694,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 26809.807621135333)",,,,,,,,,,,,,,,,,,294.14998346892185,303.15,288.15,,,,0.0,9.563920280256786e-06,inf,inf,-inf,-inf,294.14998346892185,0.14999999999999197,0.010714298365633694,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 27000.0)",150.0,294.15,292.15,280.15,27000.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14998346892156,303.15,288.15,0.010714298365635946,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 27190.192378864667)",,,,,,,,,,,,,,,,,,294.1499834689216,303.15,288.15,,,,0.0,9.563920273198852e-06,inf,inf,-inf,-inf,294.1499834689216,0.1500000000000207,0.010714298365635946,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 27709.807621135333)",,,,,,,,,,,,,,,,,,294.14998346892173,303.15,288.15,,,,0.0,9.563920277158352e-06,inf,inf,-inf,-inf,294.14998346892173,0.1500000000000223,0.010714298365635946,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 27900.0)",150.0,294.15,292.15,280.15,27900.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1499834689215,303.15,288.15,0.010714298365630667,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 28090.192378864667)",,,,,,,,,,,,,,,,,,294.1499834689216,303.15,288.15,,,,0.0,9.56392027385103e-06,inf,inf,-inf,-inf,294.1499834689216,0.1499999999999471,0.010714298365630667,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 28609.807621135333)",,,,,,,,,,,,,,,,,,294.14998346892213,303.15,288.15,,,,0.0,9.563920287056921e-06,inf,inf,-inf,-inf,294.14998346892213,0.1499999999999522,0.010714298365630667,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 28800.0)",150.0,294.15,292.15,280.15,28800.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14998346892196,303.15,288.15,0.010714298365649183,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 28990.192378864667)",,,,,,,,,,,,,,,,,,294.1499834689216,303.15,288.15,,,,0.0,9.563920272894872e-06,inf,inf,-inf,-inf,294.1499834689216,0.1500000000002059,0.010714298365649183,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 29509.807621135333)",,,,,,,,,,,,,,,,,,294.14998346892077,303.15,288.15,,,,0.0,9.563920251231066e-06,inf,inf,-inf,-inf,294.14998346892077,0.15000000000019717,0.010714298365649183,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 29700.0)",150.0,294.15,292.15,280.15,29700.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14998346892014,303.15,288.15,0.010714298365579859,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 29890.192378864667)",,,,,,,,,,,,,,,,,,294.1499834689217,303.15,288.15,,,,0.0,9.563920274441605e-06,inf,inf,-inf,-inf,294.1499834689217,0.14999999999923597,0.010714298365579859,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 30409.807621135333)",,,,,,,,,,,,,,,,,,294.1499834689257,303.15,288.15,,,,0.0,9.563920386728521e-06,inf,inf,-inf,-inf,294.1499834689257,0.1499999999992795,0.010714298365579859,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 30600.0)",150.0,294.15,292.15,280.15,30600.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1499834689268,303.15,288.15,0.010714298365837035,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 30790.192378864667)",,,,,,,,,,,,,,,,,,294.1499834689214,303.15,288.15,,,,0.0,9.563920267187917e-06,inf,inf,-inf,-inf,294.1499834689214,0.15000000000283364,0.010714298365837035,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 31309.807621135333)",,,,,,,,,,,,,,,,,,294.1499834689073,303.15,288.15,,,,0.0,9.56391988188564e-06,inf,inf,-inf,-inf,294.1499834689073,0.1500000000026827,0.010714298365837035,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 31500.0)",150.0,294.15,292.15,280.15,31500.0,0.0,0.0,0.0,0.0,,,,,,,,,294.149983468902,303.15,288.15,0.010714298364879386,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 31690.192378864667)",,,,,,,,,,,,,,,,,,294.14998346892236,303.15,288.15,,,,0.0,9.563920294843553e-06,inf,inf,-inf,-inf,294.14998346892236,0.14999999998943717,0.010714298364879386,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 32209.807621135333)",,,,,,,,,,,,,,,,,,294.14998346897596,303.15,288.15,,,,0.0,9.56392176204228e-06,inf,inf,-inf,-inf,294.14998346897596,0.14999999999001137,0.010714298364879386,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 32400.0)",150.0,294.15,292.15,280.15,32400.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14998346899444,303.15,288.15,0.010714298368452642,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 32590.192378864667)",,,,,,,,,,,,,,,,,,294.1499834689188,303.15,288.15,,,,0.0,9.563920196145586e-06,inf,inf,-inf,-inf,294.1499834689188,0.15000000003942385,0.010714298368452642,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 33109.80762113533)",,,,,,,,,,,,,,,,,,294.14998346871965,303.15,288.15,,,,0.0,9.563914742701771e-06,inf,inf,-inf,-inf,294.14998346871965,0.15000000003729042,0.010714298368452642,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 33300.0)",150.0,294.15,292.15,280.15,33300.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1499834686491,303.15,288.15,0.010714298355105982,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 33490.19237886467)",,,,,,,,,,,,,,,,,,294.1499834689321,303.15,288.15,,,,0.0,9.56392056159869e-06,inf,inf,-inf,-inf,294.1499834689321,0.14999999985271373,0.010714298355105982,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 34009.80762113533)",,,,,,,,,,,,,,,,,,294.1499834696769,303.15,288.15,,,,0.0,9.563940955249678e-06,inf,inf,-inf,-inf,294.1499834696769,0.14999999986069382,0.010714298355105982,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 34200.0)",150.0,294.15,292.15,280.15,34200.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1499834699388,303.15,288.15,0.010714298404954123,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 34390.19237886467)",,,,,,,,,,,,,,,,,,294.1499834688823,303.15,288.15,,,,0.0,9.563919198346714e-06,inf,inf,-inf,-inf,294.1499834688823,0.1500000005500535,0.010714298404954123,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 34909.80762113533)",,,,,,,,,,,,,,,,,,294.14998346610173,303.15,288.15,,,,0.0,9.563843067143732e-06,inf,inf,-inf,-inf,294.14998346610173,0.15000000052026177,0.010714298404954123,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 35100.0)",150.0,294.15,292.15,280.15,35100.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1499834651223,303.15,288.15,0.010714298218813858,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 35290.19237886467)",,,,,,,,,,,,,,,,,,294.14998346906754,303.15,288.15,,,,0.0,9.563924270112761e-06,inf,inf,-inf,-inf,294.14998346906754,0.14999999794607752,0.010714298218813858,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 35809.80762113533)",,,,,,,,,,,,,,,,,,294.14998347945124,303.15,288.15,,,,0.0,9.564208696355396e-06,inf,inf,-inf,-inf,294.14998347945124,0.1499999980573315,0.010714298218813858,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 36000.0)",150.0,294.15,292.15,280.15,36000.0,0.0,0.0,0.0,0.0,,,,,,,,,294.149983483107,303.15,288.15,0.010714298914245579,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 36190.19237886467)",,,,,,,,,,,,,,,,,,294.1499834683659,303.15,288.15,,,,0.0,9.563905059384862e-06,inf,inf,-inf,-inf,294.1499834683659,0.15000000767459237,0.010714298914245579,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 36709.80762113533)",,,,,,,,,,,,,,,,,,294.14998342956784,303.15,288.15,,,,0.0,9.562844124339185e-06,inf,inf,-inf,-inf,294.14998342956784,0.1500000072588983,0.010714298914245579,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 36900.0)",150.0,294.15,292.15,280.15,36900.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14998341590643,303.15,288.15,0.010714296321011778,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 37090.19237886467)",,,,,,,,,,,,,,,,,,294.1499834708485,303.15,288.15,,,,0.0,9.563973025498912e-06,inf,inf,-inf,-inf,294.1499834708485,0.1499999713959611,0.010714296321011778,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 37609.80762113533)",,,,,,,,,,,,,,,,,,294.1499836154543,303.15,288.15,,,,0.0,9.56795242637182e-06,inf,inf,-inf,-inf,294.1499836154543,0.14999997294531087,0.010714296321011778,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 37800.0)",150.0,294.15,292.15,280.15,37800.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1499836663707,303.15,288.15,0.010714306059901417,0.05,0.0,,,,,,,,,,,,,,,
"(4500.0, 37990.19237886467)",,,,,,,,,,,,,,,,,,294.149983459656,303.15,288.15,,,,0.0,9.563666636998322e-06,inf,inf,-inf,-inf,294.149983459656,0.15000010762033608,0.010714306059901417,inf,inf,inf,-inf,-inf,-inf
"(4500.0, 38509.80762113533)",,,,,,,,,,,,,,,,,,294.14998291558953,303.15,288.15,,,,0.0,9.549046216428336e-06,inf,inf,-inf,-inf,294.14998291558953,0.15000010179104112,0.010714306059901417,inf,inf,inf,-inf,-inf,-inf
