,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,variable,upper,lower,variable,upper,lower,variable,variable,upper,upper,lower,lower,variable,variable,variable,upper,upper,upper,lower,lower,lower
,load,T_upper,T_lower,T_in,Time,_P_external,in_provision,rel_start,rel_end,cp,C,s_T,r_mDot,profile_deviation_weight,T,mDot,r_del_u_mDot,T,T,T,mDot,mDot,mDot,t_sim,T_slack,t_sim,T_slack,t_sim,T_slack,T_out,P_el,_mDot_full,T_out,P_el,_mDot_full,T_out,P_el,_mDot_full
"(0, 2700.0)",150.0,294.15,292.15,280.15,2700.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14985187476395,303.15,288.15,0.010726723380422,0.05,0.0,,,,,,,,,,,,,,,
"(0, 2890.1923788646686)",,,,,,,,,,,,,,,,,,294.14952715344015,303.15,288.15,,,,0.0,9.080152845060824e-05,inf,inf,-inf,-inf,294.14952715344015,0.15016905792157284,0.010726723380422,inf,inf,inf,-inf,-inf,-inf
"(0, 3409.807621135332)",,,,,,,,,,,,,,,,,,294.14867248364664,303.15,288.15,,,,0.0,8.967948986569015e-05,inf,inf,-inf,-inf,294.14867248364664,0.15015990463542464,0.010726723380422,inf,inf,inf,-inf,-inf,-inf
"(0, 3600.0)",150.0,294.15,292.15,280.15,3600.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1483715432575,303.15,288.15,0.010710763232699295,0.05,0.0,,,,,,,,,,,,,,,
"(0, 3790.1923788646686)",,,,,,,,,,,,,,,,,,294.148497220744,303.15,288.15,,,,0.0,8.962854376386505e-05,inf,inf,-inf,-inf,294.148497220744,0.1499345723107043,0.010710763232699295,inf,inf,inf,-inf,-inf,-inf
"(0, 4309.807621135332)",,,,,,,,,,,,,,,,,,294.14882794491103,303.15,288.15,,,,0.0,8.978774238884864e-05,inf,inf,-inf,-inf,294.14882794491103,0.14993813189812136,0.010710763232699295,inf,inf,inf,-inf,-inf,-inf
"(0, 4500.0)",150.0,294.15,292.15,280.15,4500.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14894437431775,303.15,288.15,0.010716244633326452,0.05,0.0,,,,,,,,,,,,,,,
"(0, 4690.192378864668)",,,,,,,,,,,,,,,,,,294.14891405217935,303.15,288.15,,,,0.0,8.984540766892452e-05,inf,inf,-inf,-inf,294.14891405217935,0.15001578651178027,0.010716244633326452,inf,inf,inf,-inf,-inf,-inf
"(0, 5209.807621135332)",,,,,,,,,,,,,,,,,,294.14883424285335,303.15,288.15,,,,0.0,8.979194048150483e-05,inf,inf,-inf,-inf,294.14883424285335,0.15001493211221445,0.010716244633326452,inf,inf,inf,-inf,-inf,-inf
"(0, 5400.0)",150.0,294.15,292.15,280.15,5400.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1488061405098,303.15,288.15,0.010714882509496532,0.05,0.0,,,,,,,,,,,,,,,
"(0, 5590.192378864668)",,,,,,,,,,,,,,,,,,294.1488144910318,303.15,288.15,,,,0.0,8.977980785565867e-05,inf,inf,-inf,-inf,294.1488144910318,0.14999565254551706,0.010714882509496532,inf,inf,inf,-inf,-inf,-inf
"(0, 6109.807621135332)",,,,,,,,,,,,,,,,,,294.1488364690499,303.15,288.15,,,,0.0,8.979335656284183e-05,inf,inf,-inf,-inf,294.1488364690499,0.14999588811149042,0.010714882509496532,inf,inf,inf,-inf,-inf,-inf
"(0, 6300.0)",150.0,294.15,292.15,280.15,6300.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14884420755334,303.15,288.15,0.010715254549092243,0.05,0.0,,,,,,,,,,,,,,,
"(0, 6490.192378864668)",,,,,,,,,,,,,,,,,,294.14884198851445,303.15,288.15,,,,0.0,8.979684041926836e-05,inf,inf,-inf,-inf,294.14884198851445,0.15000115528132213,0.010715254549092243,inf,inf,inf,-inf,-inf,-inf
"(0, 7009.807621135332)",,,,,,,,,,,,,,,,,,294.1488361480792,303.15,288.15,,,,0.0,8.979315702839685e-05,inf,inf,-inf,-inf,294.1488361480792,0.1500010927033201,0.010715254549092243,inf,inf,inf,-inf,-inf,-inf
"(0, 7200.0)",150.0,294.15,292.15,280.15,7200.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1488340916224,303.15,288.15,0.010715155465966953,0.05,0.0,,,,,,,,,,,,,,,
"(0, 7390.192378864668)",,,,,,,,,,,,,,,,,,294.1488346870209,303.15,288.15,,,,0.0,8.979224133486898e-05,inf,inf,-inf,-inf,294.1488346870209,0.14999969002252045,0.010715155465966953,inf,inf,inf,-inf,-inf,-inf
"(0, 7909.807621135332)",,,,,,,,,,,,,,,,,,294.14883625408453,303.15,288.15,,,,0.0,8.979322356964352e-05,inf,inf,-inf,-inf,294.14883625408453,0.14999970681450428,0.010715155465966953,inf,inf,inf,-inf,-inf,-inf
"(0, 8100.0)",150.0,294.15,292.15,280.15,8100.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1488368058558,303.15,288.15,0.010715182035582646,0.05,0.0,,,,,,,,,,,,,,,
"(0, 8290.192378864669)",,,,,,,,,,,,,,,,,,294.14883664651416,303.15,288.15,,,,0.0,8.979346996555695e-05,inf,inf,-inf,-inf,294.14883664651416,0.15000008295681136,0.010715182035582646,inf,inf,inf,-inf,-inf,-inf
"(0, 8809.807621135331)",,,,,,,,,,,,,,,,,,294.1488362271334,303.15,288.15,,,,0.0,8.979320668334114e-05,inf,inf,-inf,-inf,294.1488362271334,0.15000007846301505,0.010715182035582646,inf,inf,inf,-inf,-inf,-inf
"(0, 9000.0)",150.0,294.15,292.15,280.15,9000.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1488360794667,303.15,288.15,0.010715174923841478,0.05,0.0,,,,,,,,,,,,,,,
"(0, 9190.192378864669)",,,,,,,,,,,,,,,,,,294.1488361221396,303.15,288.15,,,,0.0,8.979314079791113e-05,inf,inf,-inf,-inf,294.1488361221396,0.14999997778357685,0.010715174923841478,inf,inf,inf,-inf,-inf,-inf
"(0, 9709.807621135331)",,,,,,,,,,,,,,,,,,294.148836234453,303.15,288.15,,,,0.0,8.979321127299317e-05,inf,inf,-inf,-inf,294.148836234453,0.1499999789870578,0.010715174923841478,inf,inf,inf,-inf,-inf,-inf
"(0, 9900.0)",150.0,294.15,292.15,280.15,9900.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14883627399877,303.15,288.15,0.010715176828334571,0.05,0.0,,,,,,,,,,,,,,,
"(0, 10090.192378864669)",,,,,,,,,,,,,,,,,,294.14883626257284,303.15,288.15,,,,0.0,8.979322892022452e-05,inf,inf,-inf,-inf,294.14883626257284,0.15000000594860083,0.010715176828334571,inf,inf,inf,-inf,-inf,-inf
"(0, 10609.807621135331)",,,,,,,,,,,,,,,,,,294.1488362325004,303.15,288.15,,,,0.0,8.97932100486254e-05,inf,inf,-inf,-inf,294.1488362325004,0.15000000562636362,0.010715176828334571,inf,inf,inf,-inf,-inf,-inf
"(0, 10800.0)",150.0,294.15,292.15,280.15,10800.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1488362219114,303.15,288.15,0.01071517631838754,0.05,0.0,,,,,,,,,,,,,,,
"(0, 10990.192378864669)",,,,,,,,,,,,,,,,,,294.148836224971,303.15,288.15,,,,0.0,8.979320532371722e-05,inf,inf,-inf,-inf,294.148836224971,0.14999999840714082,0.01071517631838754,inf,inf,inf,-inf,-inf,-inf
"(0, 11509.807621135331)",,,,,,,,,,,,,,,,,,294.14883623302376,303.15,288.15,,,,0.0,8.979321037686064e-05,inf,inf,-inf,-inf,294.14883623302376,0.14999999849342951,0.01071517631838754,inf,inf,inf,-inf,-inf,-inf
"(0, 11700.0)",150.0,294.15,292.15,280.15,11700.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1488362358589,303.15,288.15,0.01071517645493635,0.05,0.0,,,,,,,,,,,,,,,
"(0, 11890.192378864669)",,,,,,,,,,,,,,,,,,294.14883623503965,303.15,288.15,,,,0.0,8.979321164186827e-05,inf,inf,-inf,-inf,294.14883623503965,0.1500000004265221,0.01071517645493635,inf,inf,inf,-inf,-inf,-inf
"(0, 12409.807621135331)",,,,,,,,,,,,,,,,,,294.14883623288364,303.15,288.15,,,,0.0,8.979321028897564e-05,inf,inf,-inf,-inf,294.14883623288364,0.15000000040341943,0.01071517645493635,inf,inf,inf,-inf,-inf,-inf
"(0, 12600.0)",150.0,294.15,292.15,280.15,12600.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14883623212415,303.15,288.15,0.01071517641837281,0.05,0.0,,,,,,,,,,,,,,,
"(0, 12790.192378864669)",,,,,,,,,,,,,,,,,,294.1488362323436,303.15,288.15,,,,0.0,8.979320995010033e-05,inf,inf,-inf,-inf,294.1488362323436,0.14999999988579454,0.01071517641837281,inf,inf,inf,-inf,-inf,-inf
"(0, 13309.807621135331)",,,,,,,,,,,,,,,,,,294.1488362329212,303.15,288.15,,,,0.0,8.979321031251496e-05,inf,inf,-inf,-inf,294.1488362329212,0.14999999989198368,0.01071517641837281,inf,inf,inf,-inf,-inf,-inf
"(0, 13500.0)",150.0,294.15,292.15,280.15,13500.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1488362331242,303.15,288.15,0.010715176428164256,0.05,0.0,,,,,,,,,,,,,,,
"(0, 13690.192378864669)",,,,,,,,,,,,,,,,,,294.1488362330655,303.15,288.15,,,,0.0,8.979321040309696e-05,inf,inf,-inf,-inf,294.1488362330655,0.15000000003059646,0.010715176428164256,inf,inf,inf,-inf,-inf,-inf
"(0, 14209.807621135331)",,,,,,,,,,,,,,,,,,294.14883623291115,303.15,288.15,,,,0.0,8.979321030619753e-05,inf,inf,-inf,-inf,294.14883623291115,0.1500000000289423,0.010715176428164256,inf,inf,inf,-inf,-inf,-inf
"(0, 14400.0)",150.0,294.15,292.15,280.15,14400.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1488362328564,303.15,288.15,0.010715176425541149,0.05,0.0,,,,,,,,,,,,,,,
"(0, 14590.192378864669)",,,,,,,,,,,,,,,,,,294.1488362328722,303.15,288.15,,,,0.0,8.979321028181065e-05,inf,inf,-inf,-inf,294.1488362328722,0.14999999999180563,0.010715176425541149,inf,inf,inf,-inf,-inf,-inf
