,N,iter_count,n_call_callback_fun,n_call_nlp_f,n_call_nlp_g,n_call_nlp_grad,n_call_nlp_grad_f,n_call_nlp_hess_l,n_call_nlp_jac_g,n_call_total,return_status,success,t_proc_callback_fun,t_proc_nlp_f,t_proc_nlp_g,t_proc_nlp_grad,t_proc_nlp_grad_f,t_proc_nlp_hess_l,t_proc_nlp_jac_g,t_proc_total,t_wall_callback_fun,t_wall_nlp_f,t_wall_nlp_g,t_wall_nlp_grad,t_wall_nlp_grad_f,t_wall_nlp_hess_l,t_wall_nlp_jac_g,t_wall_total,unified_return_status
"0",48,21,0,67,24,0,23,21,23,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.01,0.0,0.000317,0.00016700000000000005,0.0,0.000141,0.000357,0.000255,0.010416,SOLVER_RET_SUCCESS
"900.0",48,20,0,62,21,0,22,20,22,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.009,0.0,0.0002649999999999998,0.00012599999999999997,0.0,0.000132,0.00033900000000000005,0.00022100000000000003,0.009463,SOLVER_RET_SUCCESS
"1800.0",48,62,0,189,64,0,64,62,64,1,0,True,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0007229999999999985,0.00032700000000000025,0.0,0.0003300000000000003,0.0008889999999999999,0.0005429999999999994,0.023388,SOLVER_RET_SUCCESS
"2700.0",48,27,0,84,29,0,29,27,29,1,0,True,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.011,0.0,0.00032199999999999986,0.00013900000000000004,0.0,0.00015200000000000006,0.00036499999999999993,0.000266,0.010788,SOLVER_RET_SUCCESS
"3600.0",48,63,0,192,65,0,65,63,65,1,0,True,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.023,0.0,0.0007269999999999986,0.0003360000000000004,0.0,0.00032800000000000044,0.0008870000000000001,0.0005519999999999994,0.023564,SOLVER_RET_SUCCESS
"4500.0",48,63,0,192,65,0,65,63,65,1,0,True,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.024,0.0,0.0007619999999999987,0.00033700000000000033,0.0,0.0003410000000000003,0.0009270000000000003,0.0005839999999999993,0.024624,SOLVER_RET_SUCCESS
"5400.0",48,29,0,90,31,0,31,29,31,1,0,True,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.011,0.0,0.00033099999999999975,0.000153,0.0,0.00015900000000000004,0.00041299999999999985,0.0002600000000000001,0.01123,SOLVER_RET_SUCCESS
"6300.0",48,63,0,192,65,0,65,63,65,1,0,True,0.0,0.002,0.0,0.0,0.0,0.001,0.001,0.025,0.0,0.000824999999999998,0.0003870000000000004,0.0,0.00038500000000000036,0.000979,0.0006949999999999991,0.025785,SOLVER_RET_SUCCESS
"7200.0",48,63,0,192,65,0,65,63,65,1,0,True,0.0,0.0,0.0,0.0,0.002,0.001,0.001,0.024,0.0,0.0007679999999999988,0.00035700000000000033,0.0,0.0003380000000000003,0.0009270000000000001,0.0005939999999999997,0.024157,SOLVER_RET_SUCCESS
"8100.0",48,56,0,171,58,0,58,56,58,1,0,True,0.0,0.001,0.0,0.0,0.0,0.001,0.002,0.023,0.0,0.0006599999999999998,0.000291,0.0,0.00029099999999999997,0.0008449999999999997,0.0004900000000000001,0.022139,SOLVER_RET_SUCCESS
"9000.0",48,63,0,192,65,0,65,63,65,1,0,True,0.0,0.0,0.001,0.0,0.0,0.001,0.001,0.023,0.0,0.0007249999999999986,0.00033800000000000036,0.0,0.00032100000000000016,0.0008849999999999998,0.0005539999999999996,0.023677,SOLVER_RET_SUCCESS
