,P_el,_P_in_full
"(0, 10500)",59.19998593471986,59.19998593471986
"(0, 10600)",59.19998593471986,59.19998593471986
"(0, 10700)",59.19998593471986,59.19998593471986
"(0, 10800)",59.19998593471986,59.19998593471986
"(0, 10900)",59.199985385242314,59.199985385242314
"(0, 11000)",59.199985385242314,59.199985385242314
"(0, 11100)",59.199985385242314,59.199985385242314
"(0, 11200)",59.199985385242314,59.199985385242314
"(0, 11300)",59.199985385242314,59.199985385242314
"(0, 11400)",59.199985385242314,59.199985385242314
"(0, 11500)",59.199985385242314,59.199985385242314
"(0, 11600)",59.199985385242314,59.199985385242314
"(0, 11700)",59.199985385242314,59.199985385242314
"(0, 11800)",59.199985530336484,59.199985530336484
"(0, 11900)",59.199985530336484,59.199985530336484
"(0, 12000)",59.199985530336484,59.199985530336484
"(0, 12100)",59.199985530336484,59.199985530336484
"(0, 12200)",59.199985530336484,59.199985530336484
"(0, 12300)",59.199985530336484,59.199985530336484
"(0, 12400)",59.199985530336484,59.199985530336484
"(0, 12500)",59.199985530336484,59.199985530336484
"(0, 12600)",59.199985530336484,59.199985530336484
"(0, 12700)",59.19998549202299,59.19998549202299
"(0, 12800)",59.19998549202299,59.19998549202299
"(0, 12900)",59.19998549202299,59.19998549202299
"(0, 13000)",59.19998549202299,59.19998549202299
"(0, 13100)",59.19998549202299,59.19998549202299
"(0, 13200)",59.19998549202299,59.19998549202299
"(0, 13300)",59.19998549202299,59.19998549202299
"(0, 13400)",59.19998549202299,59.19998549202299
"(0, 13500)",59.19998549202299,59.19998549202299
"(0, 13600)",59.19998550214124,59.19998550214124
"(0, 13700)",59.19998550214124,59.19998550214124
"(0, 13800)",59.19998550214124,59.19998550214124
"(0, 13900)",59.19998550214124,59.19998550214124
"(0, 14000)",59.19998550214124,59.19998550214124
"(0, 14100)",59.19998550214124,59.19998550214124
"(0, 14200)",59.19998550214124,59.19998550214124
"(0, 14300)",59.19998550214124,59.19998550214124
"(0, 14400)",59.19998550214124,59.19998550214124
"(0, 14500)",59.19998549946932,59.19998549946932
"(0, 14600)",59.19998549946932,59.19998549946932
"(0, 14700)",59.19998549946932,59.19998549946932
"(0, 14800)",59.19998549946932,59.19998549946932
"(0, 14900)",59.19998549946932,59.19998549946932
"(0, 15000)",59.19998549946932,59.19998549946932
"(0, 15100)",59.19998549946932,59.19998549946932
"(0, 15200)",59.19998549946932,59.19998549946932
"(0, 15300)",59.19998549946932,59.19998549946932
"(0, 15400)",59.199985500175146,59.199985500175146
"(0, 15500)",59.199985500175146,59.199985500175146
"(0, 15600)",59.199985500175146,59.199985500175146
"(0, 15700)",59.199985500175146,59.199985500175146
"(0, 15800)",59.199985500175146,59.199985500175146
"(0, 15900)",59.199985500175146,59.199985500175146
"(0, 16000)",59.199985500175146,59.199985500175146
"(0, 16100)",59.199985500175146,59.199985500175146
"(0, 16200)",59.199985500175146,59.199985500175146
"(0, 16300)",59.199985499987775,59.199985499987775
"(0, 16400)",59.199985499987775,59.199985499987775
"(0, 16500)",59.199985499987775,59.199985499987775
"(0, 16600)",59.199985499987775,59.199985499987775
"(0, 16700)",59.199985499987775,59.199985499987775
"(0, 16800)",59.199985499987775,59.199985499987775
"(0, 16900)",59.199985499987775,59.199985499987775
"(0, 17000)",59.199985499987775,59.199985499987775
"(0, 17100)",59.199985499987775,59.199985499987775
"(0, 17200)",59.19998550003822,59.19998550003822
"(0, 17300)",59.19998550003822,59.19998550003822
"(0, 17400)",59.19998550003822,59.19998550003822
"(0, 17500)",59.19998550003822,59.19998550003822
"(0, 17600)",59.19998550003822,59.19998550003822
"(0, 17700)",59.19998550003822,59.19998550003822
"(0, 17800)",59.19998550003822,59.19998550003822
"(0, 17900)",59.19998550003822,59.19998550003822
"(0, 18000)",59.19998550003822,59.19998550003822
"(0, 18100)",59.19998550002428,59.19998550002428
"(0, 18200)",59.19998550002428,59.19998550002428
"(0, 18300)",59.19998550002428,59.19998550002428
"(0, 18400)",59.19998550002428,59.19998550002428
"(0, 18500)",59.19998550002428,59.19998550002428
"(0, 18600)",59.19998550002428,59.19998550002428
"(0, 18700)",59.19998550002428,59.19998550002428
"(0, 18800)",59.19998550002428,59.19998550002428
"(0, 18900)",59.19998550002428,59.19998550002428
"(0, 19000)",59.199985500027374,59.199985500027374
"(0, 19100)",59.199985500027374,59.199985500027374
"(0, 19200)",59.199985500027374,59.199985500027374
"(0, 19300)",59.199985500027374,59.199985500027374
"(0, 19400)",59.199985500027374,59.199985500027374
"(0, 19500)",59.199985500027374,59.199985500027374
"(0, 19600)",59.199985500027374,59.199985500027374
"(0, 19700)",59.199985500027374,59.199985500027374
"(0, 19800)",59.199985500027374,59.199985500027374
"(0, 19900)",59.19998550002674,59.19998550002674
"(0, 20000)",59.19998550002674,59.19998550002674
"(0, 20100)",59.19998550002674,59.19998550002674
"(0, 20200)",59.19998550002674,59.19998550002674
"(0, 20300)",59.19998550002674,59.19998550002674
"(0, 20400)",59.19998550002674,59.19998550002674
"(0, 20500)",59.19998550002674,59.19998550002674
"(0, 20600)",59.19998550002674,59.19998550002674
"(0, 20700)",59.19998550002674,59.19998550002674
"(0, 20800)",59.19998550002809,59.19998550002809
"(0, 20900)",59.19998550002809,59.19998550002809
"(0, 21000)",59.19998550002809,59.19998550002809
"(0, 21100)",59.19998550002809,59.19998550002809
"(0, 21200)",59.19998550002809,59.19998550002809
"(0, 21300)",59.19998550002809,59.19998550002809
"(0, 21400)",59.19998550002809,59.19998550002809
"(0, 21500)",59.19998550002809,59.19998550002809
"(0, 21600)",59.19998550002809,59.19998550002809
"(0, 21700)",59.199985500026905,59.199985500026905
"(0, 21800)",59.199985500026905,59.199985500026905
"(0, 21900)",59.199985500026905,59.199985500026905
"(0, 22000)",59.199985500026905,59.199985500026905
"(0, 22100)",59.199985500026905,59.199985500026905
"(0, 22200)",59.199985500026905,59.199985500026905
"(0, 22300)",59.199985500026905,59.199985500026905
"(0, 22400)",59.199985500026905,59.199985500026905
"(0, 22500)",59.199985500026905,59.199985500026905
"(0, 22600)",59.19998550002742,59.19998550002742
"(0, 22700)",59.19998550002742,59.19998550002742
"(0, 22800)",59.19998550002742,59.19998550002742
"(0, 22900)",59.19998550002742,59.19998550002742
"(0, 23000)",59.19998550002742,59.19998550002742
"(0, 23100)",59.19998550002742,59.19998550002742
"(0, 23200)",59.19998550002742,59.19998550002742
"(0, 23300)",59.19998550002742,59.19998550002742
"(0, 23400)",59.19998550002742,59.19998550002742
"(0, 23500)",59.19998550002728,59.19998550002728
"(0, 23600)",59.19998550002728,59.19998550002728
"(0, 23700)",59.19998550002728,59.19998550002728
"(0, 23800)",59.19998550002728,59.19998550002728
"(0, 23900)",59.19998550002728,59.19998550002728
"(0, 24000)",59.19998550002728,59.19998550002728
"(0, 24100)",59.19998550002728,59.19998550002728
"(0, 24200)",59.19998550002728,59.19998550002728
"(0, 24300)",59.19998550002728,59.19998550002728
"(0, 24400)",59.19998550002379,59.19998550002379
"(0, 24500)",59.19998550002379,59.19998550002379
"(0, 24600)",59.19998550002379,59.19998550002379
"(0, 24700)",59.19998550002379,59.19998550002379
"(0, 24800)",59.19998550002379,59.19998550002379
"(0, 24900)",59.19998550002379,59.19998550002379
"(0, 25000)",59.19998550002379,59.19998550002379
"(0, 25100)",59.19998550002379,59.19998550002379
"(0, 25200)",59.19998550002379,59.19998550002379
"(0, 25300)",59.19998550003911,59.19998550003911
"(0, 25400)",59.19998550003911,59.19998550003911
"(0, 25500)",59.19998550003911,59.19998550003911
"(0, 25600)",59.19998550003911,59.19998550003911
"(0, 25700)",59.19998550003911,59.19998550003911
"(0, 25800)",59.19998550003911,59.19998550003911
"(0, 25900)",59.19998550003911,59.19998550003911
"(0, 26000)",59.19998550003911,59.19998550003911
"(0, 26100)",59.19998550003911,59.19998550003911
"(0, 26200)",59.199985499981544,59.199985499981544
"(0, 26300)",59.199985499981544,59.199985499981544
"(0, 26400)",59.199985499981544,59.199985499981544
"(0, 26500)",59.199985499981544,59.199985499981544
"(0, 26600)",59.199985499981544,59.199985499981544
"(0, 26700)",59.199985499981544,59.199985499981544
"(0, 26800)",59.199985499981544,59.199985499981544
"(0, 26900)",59.199985499981544,59.199985499981544
"(0, 27000)",59.199985499981544,59.199985499981544
"(0, 27100)",59.199985500202324,59.199985500202324
"(0, 27200)",59.199985500202324,59.199985500202324
"(0, 27300)",59.199985500202324,59.199985500202324
"(0, 27400)",59.199985500202324,59.199985500202324
"(0, 27500)",59.199985500202324,59.199985500202324
"(0, 27600)",59.199985500202324,59.199985500202324
"(0, 27700)",59.199985500202324,59.199985500202324
"(0, 27800)",59.199985500202324,59.199985500202324
"(0, 27900)",59.199985500202324,59.199985500202324
"(0, 28000)",59.19998549936091,59.19998549936091
"(0, 28100)",59.19998549936091,59.19998549936091
"(0, 28200)",59.19998549936091,59.19998549936091
"(0, 28300)",59.19998549936091,59.19998549936091
"(0, 28400)",59.19998549936091,59.19998549936091
"(0, 28500)",59.19998549936091,59.19998549936091
"(0, 28600)",59.19998549936091,59.19998549936091
"(0, 28700)",59.19998549936091,59.19998549936091
"(0, 28800)",59.19998549936091,59.19998549936091
"(0, 28900)",59.1999855025502,59.1999855025502
"(0, 29000)",59.1999855025502,59.1999855025502
"(0, 29100)",59.1999855025502,59.1999855025502
"(0, 29200)",59.1999855025502,59.1999855025502
"(0, 29300)",59.1999855025502,59.1999855025502
"(0, 29400)",59.1999855025502,59.1999855025502
"(0, 29500)",59.1999855025502,59.1999855025502
"(0, 29600)",59.1999855025502,59.1999855025502
"(0, 29700)",59.1999855025502,59.1999855025502
"(0, 29800)",59.199985490471434,59.199985490471434
"(0, 29900)",59.199985490471434,59.199985490471434
"(0, 30000)",59.199985490471434,59.199985490471434
"(0, 30100)",59.199985490471434,59.199985490471434
"(0, 30200)",59.199985490471434,59.199985490471434
"(0, 30300)",59.199985490471434,59.199985490471434
"(0, 30400)",59.199985490471434,59.199985490471434
"(0, 30500)",59.199985490471434,59.199985490471434
"(0, 30600)",59.199985490471434,59.199985490471434
"(0, 30700)",59.19998553621135,59.19998553621135
"(0, 30800)",59.19998553621135,59.19998553621135
"(0, 30900)",59.19998553621135,59.19998553621135
"(0, 31000)",59.19998553621135,59.19998553621135
"(0, 31100)",59.19998553621135,59.19998553621135
"(0, 31200)",59.19998553621135,59.19998553621135
"(0, 31300)",59.19998553621135,59.19998553621135
"(0, 31400)",59.19998553621135,59.19998553621135
"(0, 31500)",59.19998553621135,59.19998553621135
"(0, 31600)",59.19998536299966,59.19998536299966
"(0, 31700)",59.19998536299966,59.19998536299966
"(0, 31800)",59.19998536299966,59.19998536299966
"(0, 31900)",59.19998536299966,59.19998536299966
"(0, 32000)",59.19998536299966,59.19998536299966
"(0, 32100)",59.19998536299966,59.19998536299966
"(0, 32200)",59.19998536299966,59.19998536299966
"(0, 32300)",59.19998536299966,59.19998536299966
"(0, 32400)",59.19998536299966,59.19998536299966
"(0, 32500)",59.19998601894736,59.19998601894736
"(0, 32600)",59.19998601894736,59.19998601894736
"(0, 32700)",59.19998601894736,59.19998601894736
"(0, 32800)",59.19998601894736,59.19998601894736
"(0, 32900)",59.19998601894736,59.19998601894736
"(0, 33000)",59.19998601894736,59.19998601894736
"(0, 33100)",59.19998601894736,59.19998601894736
"(0, 33200)",59.19998601894736,59.19998601894736
"(0, 33300)",59.19998601894736,59.19998601894736
"(0, 33400)",59.199983534875415,59.199983534875415
"(0, 33500)",59.199983534875415,59.199983534875415
"(0, 33600)",59.199983534875415,59.199983534875415
"(0, 33700)",59.199983534875415,59.199983534875415
"(0, 33800)",59.199983534875415,59.199983534875415
"(0, 33900)",59.199983534875415,59.199983534875415
"(0, 34000)",59.199983534875415,59.199983534875415
"(0, 34100)",59.199983534875415,59.199983534875415
"(0, 34200)",59.199983534875415,59.199983534875415
"(0, 34300)",59.199992942044005,59.199992942044005
"(0, 34400)",59.199992942044005,59.199992942044005
"(0, 34500)",59.199992942044005,59.199992942044005
"(0, 34600)",59.199992942044005,59.199992942044005
"(0, 34700)",59.199992942044005,59.199992942044005
"(0, 34800)",59.199992942044005,59.199992942044005
"(0, 34900)",59.199992942044005,59.199992942044005
"(0, 35000)",59.199992942044005,59.199992942044005
"(0, 35100)",59.199992942044005,59.199992942044005
"(0, 35200)",59.19995731714954,59.19995731714954
"(0, 35300)",59.19995731714954,59.19995731714954
"(0, 35400)",59.19995731714954,59.19995731714954
"(0, 35500)",59.19995731714954,59.19995731714954
"(0, 35600)",59.19995731714954,59.19995731714954
"(0, 35700)",59.19995731714954,59.19995731714954
"(0, 35800)",59.19995731714954,59.19995731714954
"(0, 35900)",59.19995731714954,59.19995731714954
"(0, 36000)",59.19995731714954,59.19995731714954
"(0, 36100)",59.2000922284197,59.2000922284197
"(0, 36200)",59.2000922284197,59.2000922284197
"(0, 36300)",59.2000922284197,59.2000922284197
"(0, 36400)",59.2000922284197,59.2000922284197
"(0, 36500)",59.2000922284197,59.2000922284197
"(0, 36600)",59.2000922284197,59.2000922284197
"(0, 36700)",59.2000922284197,59.2000922284197
"(0, 36800)",59.2000922284197,59.2000922284197
"(0, 36900)",59.2000922284197,59.2000922284197
"(0, 37000)",59.199581320236945,59.199581320236945
"(0, 37100)",59.199581320236945,59.199581320236945
"(0, 37200)",59.199581320236945,59.199581320236945
"(0, 37300)",59.199581320236945,59.199581320236945
"(0, 37400)",59.199581320236945,59.199581320236945
"(0, 37500)",59.199581320236945,59.199581320236945
"(0, 37600)",59.199581320236945,59.199581320236945
"(0, 37700)",59.199581320236945,59.199581320236945
"(0, 37800)",59.199581320236945,59.199581320236945
"(0, 37900)",59.20151612650946,59.20151612650946
"(0, 38000)",59.20151612650946,59.20151612650946
"(0, 38100)",59.20151612650946,59.20151612650946
"(0, 38200)",59.20151612650946,59.20151612650946
"(0, 38300)",59.20151612650946,59.20151612650946
"(0, 38400)",59.20151612650946,59.20151612650946
"(0, 38500)",59.20151612650946,59.20151612650946
"(0, 38600)",59.20151612650946,59.20151612650946
"(0, 38700)",59.20151612650946,59.20151612650946
"(0, 38800)",59.19418902655277,59.19418902655277
"(0, 38900)",59.19418902655277,59.19418902655277
"(0, 39000)",59.19418902655277,59.19418902655277
"(0, 39100)",59.19418902655277,59.19418902655277
"(0, 39200)",59.19418902655277,59.19418902655277
"(0, 39300)",59.19418902655277,59.19418902655277
"(0, 39400)",59.19418902655277,59.19418902655277
"(0, 39500)",59.19418902655277,59.19418902655277
"(0, 39600)",59.19418902655277,59.19418902655277
"(0, 39700)",59.22193671091015,59.22193671091015
"(0, 39800)",59.22193671091015,59.22193671091015
"(0, 39900)",59.22193671091015,59.22193671091015
"(0, 40000)",59.22193671091015,59.22193671091015
"(0, 40100)",59.22193671091015,59.22193671091015
"(0, 40200)",59.22193671091015,59.22193671091015
"(0, 40300)",59.22193671091015,59.22193671091015
"(0, 40400)",59.22193671091015,59.22193671091015
"(0, 40500)",59.22193671091015,59.22193671091015
"(0, 40600)",59.11685639346089,59.11685639346089
"(0, 40700)",59.11685639346089,59.11685639346089
"(0, 40800)",59.11685639346089,59.11685639346089
"(0, 40900)",59.11685639346089,59.11685639346089
"(0, 41000)",59.11685639346089,59.11685639346089
"(0, 41100)",59.11685639346089,59.11685639346089
"(0, 41200)",59.11685639346089,59.11685639346089
"(0, 41300)",59.11685639346089,59.11685639346089
"(0, 41400)",59.11685639346089,59.11685639346089
"(0, 41500)",59.581988808207235,59.581988808207235
"(0, 41600)",59.581988808207235,59.581988808207235
"(0, 41700)",59.581988808207235,59.581988808207235
"(0, 41800)",59.581988808207235,59.581988808207235
"(0, 41900)",59.581988808207235,59.581988808207235
"(0, 42000)",59.581988808207235,59.581988808207235
"(0, 42100)",59.581988808207235,59.581988808207235
"(0, 42200)",59.581988808207235,59.581988808207235
"(0, 42300)",59.581988808207235,59.581988808207235
"(0, 42400)",58.012118964905966,58.012118964905966
"(0, 42500)",58.012118964905966,58.012118964905966
"(0, 42600)",58.012118964905966,58.012118964905966
"(0, 42700)",58.012118964905966,58.012118964905966
"(0, 42800)",58.012118964905966,58.012118964905966
"(0, 42900)",58.012118964905966,58.012118964905966
"(0, 43000)",58.012118964905966,58.012118964905966
"(0, 43100)",58.012118964905966,58.012118964905966
"(0, 43200)",58.012118964905966,58.012118964905966
"(900.0, 0)",,
"(900.0, 100)",67.64299280347247,67.64299280347247
"(900.0, 200)",67.64299280347247,67.64299280347247
"(900.0, 300)",67.64299280347247,67.64299280347247
"(900.0, 400)",67.64299280347247,67.64299280347247
"(900.0, 500)",67.64299280347247,67.64299280347247
"(900.0, 600)",67.64299280347247,67.64299280347247
"(900.0, 700)",67.64299280347247,67.64299280347247
"(900.0, 800)",67.64299280347247,67.64299280347247
"(900.0, 900)",67.64299280347247,67.64299280347247
"(900.0, 1000)",53.44031146388803,53.44031146388803
"(900.0, 1100)",53.44031146388803,53.44031146388803
"(900.0, 1200)",53.44031146388803,53.44031146388803
"(900.0, 1300)",53.44031146388803,53.44031146388803
"(900.0, 1400)",53.44031146388803,53.44031146388803
"(900.0, 1500)",53.44031146388803,53.44031146388803
"(900.0, 1600)",53.44031146388803,53.44031146388803
"(900.0, 1700)",53.44031146388803,53.44031146388803
"(900.0, 1800)",53.44031146388803,53.44031146388803
"(900.0, 1900)",56.70150492128159,56.70150492128159
"(900.0, 2000)",56.70150492128159,56.70150492128159
"(900.0, 2100)",56.70150492128159,56.70150492128159
"(900.0, 2200)",56.70150492128159,56.70150492128159
"(900.0, 2300)",56.70150492128159,56.70150492128159
"(900.0, 2400)",56.70150492128159,56.70150492128159
"(900.0, 2500)",56.70150492128159,56.70150492128159
"(900.0, 2600)",56.70150492128159,56.70150492128159
"(900.0, 2700)",56.70150492128159,56.70150492128159
"(900.0, 2800)",55.348676420923915,55.348676420923915
"(900.0, 2900)",55.348676420923915,55.348676420923915
"(900.0, 3000)",55.348676420923915,55.348676420923915
"(900.0, 3100)",55.348676420923915,55.348676420923915
"(900.0, 3200)",55.348676420923915,55.348676420923915
"(900.0, 3300)",55.348676420923915,55.348676420923915
"(900.0, 3400)",55.348676420923915,55.348676420923915
"(900.0, 3500)",55.348676420923915,55.348676420923915
"(900.0, 3600)",55.348676420923915,55.348676420923915
"(900.0, 3700)",54.25827282396146,54.25827282396146
"(900.0, 3800)",54.25827282396146,54.25827282396146
"(900.0, 3900)",54.25827282396146,54.25827282396146
"(900.0, 4000)",54.25827282396146,54.25827282396146
"(900.0, 4100)",54.25827282396146,54.25827282396146
"(900.0, 4200)",54.25827282396146,54.25827282396146
"(900.0, 4300)",54.25827282396146,54.25827282396146
"(900.0, 4400)",54.25827282396146,54.25827282396146
"(900.0, 4500)",54.25827282396146,54.25827282396146
"(900.0, 4600)",53.12452998771542,53.12452998771542
"(900.0, 4700)",53.12452998771542,53.12452998771542
"(900.0, 4800)",53.12452998771542,53.12452998771542
"(900.0, 4900)",53.12452998771542,53.12452998771542
"(900.0, 5000)",53.12452998771542,53.12452998771542
"(900.0, 5100)",53.12452998771542,53.12452998771542
"(900.0, 5200)",53.12452998771542,53.12452998771542
"(900.0, 5300)",53.12452998771542,53.12452998771542
"(900.0, 5400)",53.12452998771542,53.12452998771542
"(900.0, 5500)",52.0575082576636,52.0575082576636
"(900.0, 5600)",52.0575082576636,52.0575082576636
"(900.0, 5700)",52.0575082576636,52.0575082576636
"(900.0, 5800)",52.0575082576636,52.0575082576636
"(900.0, 5900)",52.0575082576636,52.0575082576636
"(900.0, 6000)",52.0575082576636,52.0575082576636
"(900.0, 6100)",52.0575082576636,52.0575082576636
"(900.0, 6200)",52.0575082576636,52.0575082576636
"(900.0, 6300)",52.0575082576636,52.0575082576636
"(900.0, 6400)",51.02930295736343,51.02930295736343
"(900.0, 6500)",51.02930295736343,51.02930295736343
"(900.0, 6600)",51.02930295736343,51.02930295736343
"(900.0, 6700)",51.02930295736343,51.02930295736343
"(900.0, 6800)",51.02930295736343,51.02930295736343
"(900.0, 6900)",51.02930295736343,51.02930295736343
"(900.0, 7000)",51.02930295736343,51.02930295736343
"(900.0, 7100)",51.02930295736343,51.02930295736343
"(900.0, 7200)",51.02930295736343,51.02930295736343
"(900.0, 7300)",50.057449295990075,50.057449295990075
"(900.0, 7400)",50.057449295990075,50.057449295990075
"(900.0, 7500)",50.057449295990075,50.057449295990075
"(900.0, 7600)",50.057449295990075,50.057449295990075
"(900.0, 7700)",50.057449295990075,50.057449295990075
"(900.0, 7800)",50.057449295990075,50.057449295990075
"(900.0, 7900)",50.057449295990075,50.057449295990075
"(900.0, 8000)",50.057449295990075,50.057449295990075
"(900.0, 8100)",50.057449295990075,50.057449295990075
"(900.0, 8200)",49.14413364406179,49.14413364406179
"(900.0, 8300)",49.14413364406179,49.14413364406179
"(900.0, 8400)",49.14413364406179,49.14413364406179
"(900.0, 8500)",49.14413364406179,49.14413364406179
"(900.0, 8600)",49.14413364406179,49.14413364406179
"(900.0, 8700)",49.14413364406179,49.14413364406179
"(900.0, 8800)",49.14413364406179,49.14413364406179
"(900.0, 8900)",49.14413364406179,49.14413364406179
"(900.0, 9000)",49.14413364406179,49.14413364406179
"(900.0, 9100)",48.29629795212447,48.29629795212447
"(900.0, 9200)",48.29629795212447,48.29629795212447
"(900.0, 9300)",48.29629795212447,48.29629795212447
"(900.0, 9400)",48.29629795212447,48.29629795212447
"(900.0, 9500)",48.29629795212447,48.29629795212447
"(900.0, 9600)",48.29629795212447,48.29629795212447
"(900.0, 9700)",48.29629795212447,48.29629795212447
"(900.0, 9800)",48.29629795212447,48.29629795212447
"(900.0, 9900)",48.29629795212447,48.29629795212447
"(900.0, 10000)",47.518939672157394,47.518939672157394
"(900.0, 10100)",47.518939672157394,47.518939672157394
"(900.0, 10200)",47.518939672157394,47.518939672157394
"(900.0, 10300)",47.518939672157394,47.518939672157394
"(900.0, 10400)",47.518939672157394,47.518939672157394
"(900.0, 10500)",47.518939672157394,47.518939672157394
"(900.0, 10600)",47.518939672157394,47.518939672157394
"(900.0, 10700)",47.518939672157394,47.518939672157394
"(900.0, 10800)",47.518939672157394,47.518939672157394
"(900.0, 10900)",46.817323191839044,46.817323191839044
"(900.0, 11000)",46.817323191839044,46.817323191839044
"(900.0, 11100)",46.817323191839044,46.817323191839044
"(900.0, 11200)",46.817323191839044,46.817323191839044
"(900.0, 11300)",46.817323191839044,46.817323191839044
"(900.0, 11400)",46.817323191839044,46.817323191839044
"(900.0, 11500)",46.817323191839044,46.817323191839044
"(900.0, 11600)",46.817323191839044,46.817323191839044
"(900.0, 11700)",46.817323191839044,46.817323191839044
