,P_el,_P_in_full
"(0, 0)",,
"(0, 100)",22.305279775450693,22.305279775450693
"(0, 200)",22.305279775450693,22.305279775450693
"(0, 300)",22.305279775450693,22.305279775450693
"(0, 400)",22.305279775450693,22.305279775450693
"(0, 500)",22.305279775450693,22.305279775450693
"(0, 600)",22.305279775450693,22.305279775450693
"(0, 700)",22.305279775450693,22.305279775450693
"(0, 800)",22.305279775450693,22.305279775450693
"(0, 900)",22.305279775450693,22.305279775450693
"(0, 1000)",59.46369672649223,59.46369672649223
"(0, 1100)",59.46369672649223,59.46369672649223
"(0, 1200)",59.46369672649223,59.46369672649223
"(0, 1300)",59.46369672649223,59.46369672649223
"(0, 1400)",59.46369672649223,59.46369672649223
"(0, 1500)",59.46369672649223,59.46369672649223
"(0, 1600)",59.46369672649223,59.46369672649223
"(0, 1700)",59.46369672649223,59.46369672649223
"(0, 1800)",59.46369672649223,59.46369672649223
"(0, 1900)",59.13034947277318,59.13034947277318
"(0, 2000)",59.13034947277318,59.13034947277318
"(0, 2100)",59.13034947277318,59.13034947277318
"(0, 2200)",59.13034947277318,59.13034947277318
"(0, 2300)",59.13034947277318,59.13034947277318
"(0, 2400)",59.13034947277318,59.13034947277318
"(0, 2500)",59.13034947277318,59.13034947277318
"(0, 2600)",59.13034947277318,59.13034947277318
"(0, 2700)",59.13034947277318,59.13034947277318
"(0, 2800)",59.218373706009636,59.218373706009636
"(0, 2900)",59.218373706009636,59.218373706009636
"(0, 3000)",59.218373706009636,59.218373706009636
"(0, 3100)",59.218373706009636,59.218373706009636
"(0, 3200)",59.218373706009636,59.218373706009636
"(0, 3300)",59.218373706009636,59.218373706009636
"(0, 3400)",59.218373706009636,59.218373706009636
"(0, 3500)",59.218373706009636,59.218373706009636
"(0, 3600)",59.218373706009636,59.218373706009636
"(0, 3700)",59.195129879597125,59.195129879597125
"(0, 3800)",59.195129879597125,59.195129879597125
"(0, 3900)",59.195129879597125,59.195129879597125
"(0, 4000)",59.195129879597125,59.195129879597125
"(0, 4100)",59.195129879597125,59.195129879597125
"(0, 4200)",59.195129879597125,59.195129879597125
"(0, 4300)",59.195129879597125,59.195129879597125
"(0, 4400)",59.195129879597125,59.195129879597125
"(0, 4500)",59.195129879597125,59.195129879597125
"(0, 4600)",59.20126768328041,59.20126768328041
"(0, 4700)",59.20126768328041,59.20126768328041
"(0, 4800)",59.20126768328041,59.20126768328041
"(0, 4900)",59.20126768328041,59.20126768328041
"(0, 5000)",59.20126768328041,59.20126768328041
"(0, 5100)",59.20126768328041,59.20126768328041
"(0, 5200)",59.20126768328041,59.20126768328041
"(0, 5300)",59.20126768328041,59.20126768328041
"(0, 5400)",59.20126768328041,59.20126768328041
"(0, 5500)",59.19964692457258,59.19964692457258
"(0, 5600)",59.19964692457258,59.19964692457258
"(0, 5700)",59.19964692457258,59.19964692457258
"(0, 5800)",59.19964692457258,59.19964692457258
"(0, 5900)",59.19964692457258,59.19964692457258
"(0, 6000)",59.19964692457258,59.19964692457258
"(0, 6100)",59.19964692457258,59.19964692457258
"(0, 6200)",59.19964692457258,59.19964692457258
"(0, 6300)",59.19964692457258,59.19964692457258
"(0, 6400)",59.20007490482807,59.20007490482807
"(0, 6500)",59.20007490482807,59.20007490482807
"(0, 6600)",59.20007490482807,59.20007490482807
"(0, 6700)",59.20007490482807,59.20007490482807
"(0, 6800)",59.20007490482807,59.20007490482807
"(0, 6900)",59.20007490482807,59.20007490482807
"(0, 7000)",59.20007490482807,59.20007490482807
"(0, 7100)",59.20007490482807,59.20007490482807
"(0, 7200)",59.20007490482807,59.20007490482807
"(0, 7300)",59.19996189164579,59.19996189164579
"(0, 7400)",59.19996189164579,59.19996189164579
"(0, 7500)",59.19996189164579,59.19996189164579
"(0, 7600)",59.19996189164579,59.19996189164579
"(0, 7700)",59.19996189164579,59.19996189164579
"(0, 7800)",59.19996189164579,59.19996189164579
"(0, 7900)",59.19996189164579,59.19996189164579
"(0, 8000)",59.19996189164579,59.19996189164579
"(0, 8100)",59.19996189164579,59.19996189164579
"(0, 8200)",59.19999173409529,59.19999173409529
"(0, 8300)",59.19999173409529,59.19999173409529
"(0, 8400)",59.19999173409529,59.19999173409529
"(0, 8500)",59.19999173409529,59.19999173409529
"(0, 8600)",59.19999173409529,59.19999173409529
"(0, 8700)",59.19999173409529,59.19999173409529
"(0, 8800)",59.19999173409529,59.19999173409529
"(0, 8900)",59.19999173409529,59.19999173409529
"(0, 9000)",59.19999173409529,59.19999173409529
"(0, 9100)",59.199983853848416,59.199983853848416
"(0, 9200)",59.199983853848416,59.199983853848416
"(0, 9300)",59.199983853848416,59.199983853848416
"(0, 9400)",59.199983853848416,59.199983853848416
"(0, 9500)",59.199983853848416,59.199983853848416
"(0, 9600)",59.199983853848416,59.199983853848416
"(0, 9700)",59.199983853848416,59.199983853848416
"(0, 9800)",59.199983853848416,59.199983853848416
"(0, 9900)",59.199983853848416,59.199983853848416
"(0, 10000)",59.19998593471986,59.19998593471986
"(0, 10100)",59.19998593471986,59.19998593471986
"(0, 10200)",59.19998593471986,59.19998593471986
"(0, 10300)",59.19998593471986,59.19998593471986
"(0, 10400)",59.19998593471986,59.19998593471986
