,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,variable,upper,lower,variable,upper,lower,variable,upper,lower,variable,upper,lower
,T_upper,T_lower,T_amb,_P_in_full,Time,in_provision,C,U,s_T,r_pel,prep_time,flex_event_duration,market_time,s_P,T_zone,P_in,r_del_u_P_in,T_zone,T_zone,T_zone,P_in,P_in,P_in,T_slack,T_slack,T_slack,P_el,P_el,P_el
"(0, 0.0)",299.0,290.0,278.15,22.305279775450693,0.0,0.0,10000.0,5.0,250.0,1.0,900.0,7200.0,900.0,10.0,294.15,22.305279775450693,0.0,294.15,303.15,288.15,22.305279775450693,200.0,0.0,,,,,,
"(0, 190.19237886466843)",,,,,,,,,,,,,,,,,,293.1096140597873,303.15,288.15,,,,9.022617254668332e-05,inf,-inf,22.305279775450693,inf,-inf
"(0, 709.8076211353316)",,,,,,,,,,,,,,,,,,290.6955984763175,303.15,288.15,,,,9.023549770515254e-05,inf,-inf,22.305279775450693,inf,-inf
"(0, 900.0)",299.0,290.0,278.4770156461507,59.46369672649223,900.0,0.0,,,,,,,,,,,,289.9688023591669,303.15,288.15,50.53432908947038,200.0,0.0,,,,,,
"(0, 1090.1923788646684)",,,,,,,,,,,,,,,,,,289.8439337211023,303.15,288.15,,,,0.15606338126196526,inf,-inf,50.53432908947038,inf,-inf
"(0, 1609.8076211353316)",,,,,,,,,,,,,,,,,,289.5542000496603,303.15,288.15,,,,0.44579705116733465,inf,-inf,50.53432908947038,inf,-inf
"(0, 1800.0)",299.0,290.0,278.80263096110025,59.13034947277318,1800.0,0.0,,,,,,,,,,,,289.4669689195655,303.15,288.15,189.16653475591949,200.0,0.0,,,,,,
"(0, 1990.1923788646684)",,,,,,,,,,,,,,,,,,291.9166049729243,303.15,288.15,,,,9.022770721820685e-05,inf,-inf,189.16653475591949,inf,-inf
"(0, 2509.807621135332)",,,,,,,,,,,,,,,,,,297.60051454731627,303.15,288.15,,,,9.022932896754733e-05,inf,-inf,189.16653475591949,inf,-inf
"(0, 2700.0)",299.0,290.0,279.12545161008063,59.218373706009636,2700.0,0.0,,,,,,,,,,,,299.3117890880392,303.15,288.15,97.24106743843676,200.0,0.0,,,,,,
"(0, 2890.1923788646686)",,,,,,,,,,,,,,,,,,299.2452376064979,303.15,288.15,,,,0.24523461800249083,inf,-inf,97.24106743843676,inf,-inf
"(0, 3409.807621135332)",,,,,,,,,,,,,,,,,,299.0908176866066,303.15,288.15,,,,0.0908147006696607,inf,-inf,97.24106743843676,inf,-inf
