time_step,time,pos_price,neg_price,status
900.0,0.0,17.147749118180105,81.35683463616641,Not Accepted
1800.0,0.0,16.917711379817092,79.81998266696968,Not Accepted
2700.0,0.0,16.604088268096287,78.0840331903006,Not Accepted
3600.0,0.0,16.288114672502083,76.34079432070513,Not Accepted
4500.0,0.0,15.969335588849198,74.58985611065908,Not Accepted
5400.0,0.0,15.647336375906228,72.8308718168416,Not Accepted
6300.0,0.0,15.321691827811284,71.06332006019755,Not Accepted
7200.0,0.0,14.99314493416638,69.28531777185461,Not Accepted
8100.0,0.0,14.657474847406261,67.50204868446386,Not Accepted
9000.0,0.0,14.319429268660738,65.70883910554866,Not Accepted
9900.0,0.0,13.9720189241999,63.901137990816025,Not Accepted
10800.0,0.0,13.627609326112832,62.094529508362385,Not Accepted
11700.0,0.0,13.261446012354737,60.259538761223645,Not Accepted
12600.0,0.0,12.979559174917151,58.51055308797337,Not Accepted
13500.0,0.0,12.096258865772388,56.97528117653491,Not Accepted
14400.0,0.0,11.697292259991219,56.15804153033328,Not Accepted
15300.0,0.0,11.332966645360905,55.649577448702686,Not Accepted
16200.0,0.0,10.901361032990073,55.56763037879648,Not Accepted
17100.0,0.0,10.517838545525466,55.88265823154135,Not Accepted
18000.0,0.0,10.140254596431923,56.62132041370262,Not Accepted
18900.0,0.0,9.7434844519916,57.723863649335755,Not Accepted
19800.0,0.0,9.412495521060533,59.38011521354205,Not Accepted
20700.0,0.0,9.3486583006349,61.24424191278647,Not Accepted
21600.0,0.0,9.751963397820099,62.97714038102695,Not Accepted
22500.0,0.0,10.155780444049652,64.72177610193236,Not Accepted
23400.0,0.0,10.550333455543464,66.45727549095128,Not Accepted
24300.0,0.0,10.938120601230487,68.18829991439938,Not Accepted
25200.0,0.0,11.316661383119106,69.91061056752841,Not Accepted
26100.0,0.0,11.68632201377032,71.6250058540978,Not Accepted
27000.0,0.0,12.055622559367693,73.33478731291687,Not Accepted
27900.0,0.0,12.429556869013426,75.04371249341044,Not Accepted
28800.0,0.0,12.795302899989204,76.74815072177128,Not Accepted
29700.0,0.0,13.147654832046577,78.43980164491168,Not Accepted
30600.0,0.0,13.501236567721728,80.14191993492281,Not Accepted
31500.0,0.0,13.840767351008745,81.82995866993315,Not Accepted
32400.0,0.0,14.116351276139277,83.4617476285164,Not Accepted
33300.0,0.0,14.525836392782864,85.23106119793556,Not Accepted
34200.0,0.0,14.720566109033856,86.78930855614657,Not Accepted
35100.0,0.0,15.581649158607934,88.18256963941198,Not Accepted
