time_step,time,_P_el_base,_P_el_neg,_P_el_pos,r_pel,_E_stored_base,_E_stored_neg,_E_stored_pos,FlexibilityOffer,negative_power_flex_full,positive_power_flex_full,negative_power_flex_offer,positive_power_flex_offer,negative_power_flex_offer_min,positive_power_flex_offer_min,negative_power_flex_offer_max,positive_power_flex_offer_max,negative_power_flex_offer_avg,positive_power_flex_offer_avg,negative_power_flex_within_boundary,positive_power_flex_within_boundary,negative_energy_flex,positive_energy_flex,negative_costs,positive_costs,negative_corrected_costs,positive_corrected_costs,negative_costs_rel,positive_costs_rel,negative_corrected_costs_rel,positive_corrected_costs_rel,prep_time,market_time,flex_event_duration,time_step,prediction_horizon
0.0,0.0,22.305279775450693,22.305279775450693,22.305279775450693,1,,,,,0.0,0.0,,,28.920158467403574,4.264220877618683,130.0361852831463,59.130349406401415,48.69472454436839,19.91080153459587,False,False,97.38944908873678,39.82160306919174,95.76393407760592,174.405094030378,95.76393407760592,174.405094030378,0.9833091261287477,4.379660299645439,0.9833091261287477,4.379660299645439,900.0,900.0,7200.0,,48.0
0.0,900.0,59.46369672649223,50.53432908947038,200.00000190973728,1.0,,,,,-8.929367637021848,-140.53630518324505,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1800.0,59.13034947277318,189.16653475591949,6.637177165165155e-08,1.0,,,,,130.0361852831463,59.130349406401415,130.0361852831463,59.130349406401415,,,,,,,,,,,,,,,,,,,,,,,
0.0,2700.0,59.218373706009636,97.24106743843676,27.981261810507196,1.0,,,,,38.02269373242712,31.23711189550244,38.02269373242712,31.23711189550244,,,,,,,,,,,,,,,,,,,,,,,
0.0,3600.0,59.195129879597125,98.95935372051493,54.93090900197844,1.0,,,,,39.7642238409178,4.264220877618683,39.7642238409178,4.264220877618683,,,,,,,,,,,,,,,,,,,,,,,
0.0,4500.0,59.20126768328041,96.59174970368397,49.97404709546047,1.0,,,,,37.39048202040356,9.227220587819943,37.39048202040356,9.227220587819943,,,,,,,,,,,,,,,,,,,,,,,
0.0,5400.0,59.19964692457258,94.99847172807746,49.52908597439404,1.0,,,,,35.79882480350488,9.67056095017854,35.79882480350488,9.67056095017854,,,,,,,,,,,,,,,,,,,,,,,
0.0,6300.0,59.20007490482807,94.56232357712913,47.03030007705631,1.0,,,,,35.362248672301064,12.16977482777176,35.362248672301064,12.16977482777176,,,,,,,,,,,,,,,,,,,,,,,
0.0,7200.0,59.19996189164579,88.12012035904937,48.748615707960816,1.0,,,,,28.920158467403574,10.451346183684976,28.920158467403574,10.451346183684976,,,,,,,,,,,,,,,,,,,,,,,
0.0,8100.0,59.19999173409529,103.46297126893809,36.06416418630611,1.0,,,,,44.2629795348428,23.135827547789184,44.2629795348428,23.135827547789184,,,,,,,,,,,,,,,,,,,,,,,
