,iter_count,n_call_callback_fun,n_call_nlp_f,n_call_nlp_g,n_call_nlp_grad,n_call_nlp_grad_f,n_call_nlp_hess_l,n_call_nlp_jac_g,n_call_total,return_status,success,t_proc_callback_fun,t_proc_nlp_f,t_proc_nlp_g,t_proc_nlp_grad,t_proc_nlp_grad_f,t_proc_nlp_hess_l,t_proc_nlp_jac_g,t_proc_total,t_wall_callback_fun,t_wall_nlp_f,t_wall_nlp_g,t_wall_nlp_grad,t_wall_nlp_grad_f,t_wall_nlp_hess_l,t_wall_nlp_jac_g,t_wall_total,unified_return_status,obj
"0",18,0,19,19,0,21,18,20,1,Solved_To_Acceptable_Level,True,0.0,0.001,0.0,0.0,0.001,0.002,0.0,0.188,0.0,0.0005840000000000001,0.000594,0.0,0.0011929999999999998,0.00045000000000000015,0.0008680000000000002,0.188407,SOLVER_RET_SUCCESS,4490500.7452831045
"900.0",20,0,21,21,0,23,20,22,1,Solved_To_Acceptable_Level,True,0.0,0.001,0.002,0.0,0.002,0.001,0.001,0.223,0.0,0.0007770000000000001,0.0007960000000000002,0.0,0.0014109999999999997,0.000555,0.0010659999999999997,0.222852,SOLVER_RET_SUCCESS,4877010.134737678
"1800.0",19,0,20,20,0,22,19,21,1,Solved_To_Acceptable_Level,True,0.0,0.003,0.0,0.0,0.002,0.0,0.0,0.184,0.0,0.0005600000000000001,0.0005859999999999999,0.0,0.0010230000000000003,0.0004360000000000001,0.0008560000000000002,0.183909,SOLVER_RET_SUCCESS,4813547.569816198
"2700.0",20,0,21,21,0,23,20,22,1,Solved_To_Acceptable_Level,True,0.0,0.001,0.0,0.0,0.002,0.001,0.001,0.179,0.0,0.0005039999999999999,0.0005549999999999998,0.0,0.0009880000000000004,0.0004250000000000001,0.0008780000000000001,0.179186,SOLVER_RET_SUCCESS,4770769.2239035545
"3600.0",19,0,20,20,0,22,19,21,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.201,0.0,0.0006010000000000001,0.0006349999999999999,0.0,0.001159,0.0005000000000000001,0.0009790000000000003,0.200334,SOLVER_RET_SUCCESS,4730797.985489914
"4500.0",19,0,20,20,0,22,19,21,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.257,0.0,0.00053,0.000575,0.0,0.0010680000000000002,0.000451,0.000907,0.257707,SOLVER_RET_SUCCESS,4697621.610904363
"5400.0",18,0,19,19,0,21,18,20,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.001,0.0,0.0,0.002,0.002,0.211,0.0,0.000538,0.0006219999999999999,0.0,0.0012070000000000002,0.0004910000000000001,0.00099,0.21151,SOLVER_RET_SUCCESS,4671099.352935887
"6300.0",18,0,19,19,0,21,18,20,1,Solved_To_Acceptable_Level,True,0.0,0.002,0.0,0.0,0.002,0.001,0.001,0.167,0.0,0.0006460000000000001,0.0006060000000000001,0.0,0.0011679999999999998,0.0004520000000000001,0.0008619999999999997,0.166811,SOLVER_RET_SUCCESS,4652364.5485089375
"7200.0",18,0,19,19,0,21,18,20,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.187,0.0,0.0005250000000000001,0.0005759999999999999,0.0,0.0010140000000000001,0.0004310000000000001,0.0008560000000000001,0.186833,SOLVER_RET_SUCCESS,4641108.203129669
"8100.0",17,0,18,18,0,20,17,19,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.244,0.0,0.000487,0.0005259999999999999,0.0,0.0009410000000000001,0.0003850000000000001,0.0007830000000000002,0.243389,SOLVER_RET_SUCCESS,4636868.695931839
