,iter_count,n_call_callback_fun,n_call_nlp_f,n_call_nlp_g,n_call_nlp_grad,n_call_nlp_grad_f,n_call_nlp_hess_l,n_call_nlp_jac_g,n_call_total,return_status,success,t_proc_callback_fun,t_proc_nlp_f,t_proc_nlp_g,t_proc_nlp_grad,t_proc_nlp_grad_f,t_proc_nlp_hess_l,t_proc_nlp_jac_g,t_proc_total,t_wall_callback_fun,t_wall_nlp_f,t_wall_nlp_g,t_wall_nlp_grad,t_wall_nlp_grad_f,t_wall_nlp_hess_l,t_wall_nlp_jac_g,t_wall_total,unified_return_status,obj
"0",13,0,14,14,0,16,13,15,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.116,0.0,0.00035300000000000007,0.000386,0.0,0.0007450000000000001,0.00034399999999999996,0.0005959999999999997,0.116176,SOLVER_RET_SUCCESS,2525186.990217146
"900.0",19,0,20,20,0,22,19,21,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.163,0.0,0.0005050000000000001,0.0005639999999999999,0.0,0.0010130000000000002,0.000483,0.0008259999999999997,0.163786,SOLVER_RET_SUCCESS,2094956.872048073
"1800.0",16,0,17,17,0,19,16,18,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.14,0.0,0.00044600000000000005,0.0004849999999999999,0.0,0.0008990000000000002,0.000426,0.0007189999999999998,0.139614,SOLVER_RET_SUCCESS,2089421.2151929848
"2700.0",16,0,17,17,0,19,16,18,1,Solved_To_Acceptable_Level,True,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.152,0.0,0.00047300000000000006,0.000504,0.0,0.0009320000000000002,0.00047400000000000003,0.0007559999999999997,0.152001,SOLVER_RET_SUCCESS,2098910.8690136382
"3600.0",18,0,21,21,0,21,18,20,1,Solved_To_Acceptable_Level,True,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.16,0.0,0.000731,0.0007289999999999999,0.0,0.0012170000000000002,0.0005440000000000001,0.0009409999999999998,0.159275,SOLVER_RET_SUCCESS,2107709.509910953
"4500.0",16,0,17,17,0,19,16,18,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.001,0.0,0.003,0.159,0.0,0.000484,0.000545,0.0,0.0010170000000000003,0.000479,0.0008879999999999998,0.158955,SOLVER_RET_SUCCESS,2119456.598585658
"5400.0",16,0,17,17,0,19,16,18,1,Solved_To_Acceptable_Level,True,0.0,0.001,0.0,0.0,0.002,0.0,0.002,0.167,0.0,0.000561,0.000597,0.0,0.0010990000000000002,0.000534,0.0009269999999999998,0.166178,SOLVER_RET_SUCCESS,2133678.7310502892
"6300.0",16,0,17,17,0,19,16,18,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.003,0.0,0.002,0.001,0.0,0.14,0.0,0.00043699999999999994,0.00047299999999999995,0.0,0.0008870000000000002,0.0004179999999999999,0.0007069999999999997,0.139317,SOLVER_RET_SUCCESS,2151191.420385875
"7200.0",17,0,18,18,0,20,17,19,1,Solved_To_Acceptable_Level,True,0.0,0.001,0.0,0.0,0.002,0.0,0.0,0.162,0.0,0.0004900000000000001,0.000544,0.0,0.001018,0.00046699999999999997,0.0008049999999999997,0.162376,SOLVER_RET_SUCCESS,2171332.508884178
"8100.0",15,0,16,16,0,18,15,17,1,Solved_To_Acceptable_Level,True,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.143,0.0,0.000533,0.000562,0.0,0.001023,0.00043700000000000005,0.0008059999999999998,0.143169,SOLVER_RET_SUCCESS,2193561.542817822
"9000.0",15,0,16,16,0,18,15,17,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.002,0.001,0.001,0.154,0.0,0.000467,0.000507,0.0,0.0009050000000000001,0.00047899999999999993,0.0007219999999999999,0.154185,SOLVER_RET_SUCCESS,2218351.6792306933
"9900.0",15,0,16,16,0,18,15,17,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.001,0.0,0.001,0.001,0.001,0.147,0.0,0.00047200000000000003,0.000547,0.0,0.001072,0.00045299999999999995,0.0008699999999999999,0.147294,SOLVER_RET_SUCCESS,2246022.493232455
"10800.0",14,0,15,15,0,17,14,16,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.126,0.0,0.00038200000000000007,0.0004149999999999999,0.0,0.0008060000000000001,0.00035800000000000003,0.0006389999999999999,0.125553,SOLVER_RET_SUCCESS,2275514.7038023486
"11700.0",14,0,15,15,0,17,14,16,1,Solved_To_Acceptable_Level,True,0.0,0.002,0.0,0.0,0.001,0.0,0.001,0.133,0.0,0.00042800000000000005,0.00045500000000000006,0.0,0.0008420000000000002,0.000392,0.0006819999999999999,0.132451,SOLVER_RET_SUCCESS,2307465.565813838
"12600.0",14,0,15,15,0,17,14,16,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.123,0.0,0.0003780000000000001,0.00043799999999999997,0.0,0.0007860000000000001,0.000359,0.0006269999999999998,0.122761,SOLVER_RET_SUCCESS,2341367.920200288
"13500.0",14,0,15,15,0,17,14,16,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.125,0.0,0.00038300000000000004,0.00041400000000000003,0.0,0.0007890000000000001,0.00036500000000000004,0.0006359999999999998,0.124928,SOLVER_RET_SUCCESS,2377117.637756511
"14400.0",14,0,15,15,0,17,14,16,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.132,0.0,0.00038200000000000007,0.0004719999999999999,0.0,0.0007870000000000002,0.00036299999999999993,0.0006339999999999998,0.131995,SOLVER_RET_SUCCESS,2414541.9980196166
"15300.0",15,0,16,16,0,18,15,17,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.167,0.0,0.000563,0.0006120000000000002,0.0,0.001203,0.0005099999999999999,0.0009090000000000001,0.166117,SOLVER_RET_SUCCESS,2453596.040687725
"16200.0",14,0,15,15,0,17,14,16,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.002,0.0,0.002,0.0,0.001,0.157,0.0,0.000495,0.0005420000000000001,0.0,0.001036,0.000459,0.0008339999999999999,0.15659,SOLVER_RET_SUCCESS,2493831.14592911
"17100.0",15,0,16,16,0,18,15,17,1,Solved_To_Acceptable_Level,True,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.135,0.0,0.00044000000000000007,0.000489,0.0,0.0008830000000000001,0.00041999999999999996,0.0007279999999999998,0.135427,SOLVER_RET_SUCCESS,2535725.7669119206
"18000.0",14,0,15,15,0,17,14,16,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.157,0.0,0.0005409999999999999,0.0005510000000000001,0.0,0.0010310000000000002,0.0005270000000000001,0.0008259999999999999,0.157313,SOLVER_RET_SUCCESS,2577898.730018398
"18900.0",16,0,17,17,0,19,16,18,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.166,0.0,0.000613,0.000636,0.0,0.001171,0.0005080000000000001,0.0009759999999999997,0.16633,SOLVER_RET_SUCCESS,2622048.581560668
"19800.0",14,0,15,15,0,17,14,16,1,Solved_To_Acceptable_Level,True,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.168,0.0,0.000531,0.0005309999999999999,0.0,0.0010840000000000003,0.000525,0.0008769999999999998,0.168378,SOLVER_RET_SUCCESS,2665396.181103778
"20700.0",17,0,22,22,0,20,17,19,1,Solved_To_Acceptable_Level,True,0.0,0.001,0.002,0.0,0.002,0.0,0.002,0.159,0.0,0.0005919999999999999,0.000642,0.0,0.0009860000000000001,0.00044299999999999987,0.0007839999999999998,0.15859,SOLVER_RET_SUCCESS,2710727.516574424
"21600.0",15,0,16,16,0,18,15,17,1,Solved_To_Acceptable_Level,True,0.0,0.0,0.001,0.0,0.002,0.0,0.0,0.132,0.0,0.0004060000000000001,0.000443,0.0,0.0008370000000000001,0.00038599999999999995,0.0006669999999999997,0.131385,SOLVER_RET_SUCCESS,2754770.3378066137
