,T_out,P_el
"(0, 0)",,
"(0, 300)",291.7570546670083,0.5803528494146664
"(0, 600)",289.52624735236714,0.4688124613757483
"(0, 900)",287.21570813000744,0.3532854771536227
"(0, 1200)",287.39757398709327,0.13648924733552004
"(0, 1500)",287.57407007298997,0.13981309307543344
"(0, 1800)",287.72957533837587,0.14274163118584413
"(0, 2100)",290.4427614960309,0.02390903969115176
"(0, 2400)",293.3858831615936,0.0307456124364698
"(0, 2700)",296.5066881532913,0.03799492550406761
"(0, 3000)",295.9305089628203,0.16633169990913954
"(0, 3300)",295.4752976415266,0.16153362444357214
"(0, 3600)",295.1297685061875,0.1578916349117707
"(0, 3900)",294.4324433198053,0.16417335259971422
"(0, 4200)",293.9602614765952,0.15874573251393903
"(0, 4500)",293.65298510802677,0.15521366237208964
"(0, 4800)",293.46498730316284,0.15293552316431186
"(0, 5100)",293.351680092158,0.15163408012131338
"(0, 5400)",293.28592433368976,0.15087881155864485
"(0, 5700)",293.248590960471,0.15046375786561855
"(0, 6000)",293.2284836892207,0.15023278526697276
"(0, 6300)",293.2180461736597,0.15011288933168995
"(0, 6600)",293.2353568231103,0.1498244636267076
"(0, 6900)",293.24373035930154,0.14992033877825842
"(0, 7200)",293.2476370212082,0.14996506919964891
"(0, 7500)",292.5224306416516,0.1558109853153398
"(0, 7800)",292.23377710702835,0.1521758554894348
"(0, 8100)",292.12329548779456,0.15078451611153681
"(0, 8400)",304.7233102823328,-2.3651554571192716e-07
"(0, 8700)",317.77333634481755,-3.6212068398027536e-07
"(0, 9000)",331.27337481211373,-4.920571446581099e-07
"(0, 9300)",293.2010113458994,0.2790998726344732
"(0, 9600)",287.93928870680855,0.16657632334880143
"(0, 9900)",287.2574752776793,0.15199553445919164
"(0, 10200)",298.55375198679127,0.055370653687793134
"(0, 10500)",307.0719749798797,0.08099910030695094
"(0, 10800)",313.43337166844077,0.10013838740806986
"(0, 11100)",300.0209587245619,0.21290847385969455
"(0, 11400)",295.8811767271417,0.16855255327227395
"(0, 11700)",294.64393596894706,0.15529606951245303
"(0, 12000)",294.28669499176834,0.151462378236744
"(0, 12300)",294.186743227201,0.15039148210584913
"(0, 12600)",294.1596764913436,0.1501014855977218
"(0, 12900)",294.1524385504167,0.1500259918783382
"(0, 13200)",294.1506023509706,0.15000631833060607
"(0, 13500)",294.15015148036537,0.15000148757848245
"(0, 13800)",294.1500795948754,0.15000022894587958
"(0, 14100)",294.15006298074763,0.15000005093810723
"(0, 14400)",294.15005925098603,0.1500000109765427
"(0, 14700)",294.1500488418414,0.15000002939043908
