,T_out,P_el,_mDot_full
"(0, 0)",,,
"(0, 300)",291.75703506110506,0.5803518688535801,0.05000000997656391
"(0, 600)",289.52622314953436,0.46881125101921145,0.05000000997656391
"(0, 900)",287.215696807999,0.353284910891328,0.05000000997656391
"(0, 1200)",289.01519612707926,4.6103090142487e-05,5.200459130471152e-06
"(0, 1500)",291.2644123373666,5.7800047119679193e-05,5.200459130471152e-06
"(0, 1800)",293.963240166214,7.183519094377867e-05,5.200459130471152e-06
"(0, 2100)",294.1584373800531,0.14165719428203213,0.010112276654335511
"(0, 2400)",294.33622397218573,0.1434550214871082,0.010112276654335511
"(0, 2700)",294.49087139784496,0.1450188590392551,0.010112276654335511
"(0, 3000)",294.39260858738226,0.15277652253247265,0.010726723380422
"(0, 3300)",294.3154426772524,0.15194878516011087,0.010726723380422
"(0, 3600)",294.2572432388389,0.15132449588335373,0.010726723380422
"(0, 3900)",294.2221959224434,0.15072395868944818,0.010710763232699295
"(0, 4200)",294.19770835821066,0.1504616781868058,0.010710763232699295
"(0, 4500)",294.1812230669545,0.15028510813533888,0.010710763232699295
"(0, 4800)",294.16763792571294,0.15021643719333486,0.010716244633326452
"(0, 5100)",294.159133854795,0.15012530548899902,0.010716244633326452
"(0, 5400)",294.15399627441457,0.15007024992081935,0.010716244633326452
"(0, 5700)",294.1518133071745,0.15002778450628002,0.010714882509496532
"(0, 6000)",294.1505835629158,0.15001460794103197,0.010714882509496532
"(0, 6300)",294.1499143393179,0.15000743728880714,0.010714882509496532
"(0, 6600)",294.1493160035086,0.1500062344907757,0.010715254549092243
"(0, 6900)",294.14901194432946,0.15000297641927304,0.010715254549092243
"(0, 7200)",294.1488626522566,0.15000137671671,0.010715254549092243
"(0, 7500)",294.14886318312716,0.14999999535400874,0.010715155465966953
"(0, 7800)",294.1488634279245,0.14999999797704994,0.010715155465966953
"(0, 8100)",294.1488635371007,0.14999999914689027,0.010715155465966953
"(0, 8400)",294.14884305005995,0.15000015156894345,0.010715182035582646
"(0, 8700)",294.14883449766063,0.15000005992842755,0.010715182035582646
"(0, 9000)",294.14883104619344,0.150000022945329,0.010715182035582646
"(0, 9300)",294.1488355441599,0.14999997158576336,0.010715174923841478
"(0, 9600)",294.1488372433696,0.14999998979309245,0.010715174923841478
"(0, 9900)",294.1488378643585,0.14999999644709722,0.010715174923841478
"(0, 10200)",294.14883643473104,0.15000000778907596,0.010715176828334571
"(0, 10500)",294.14883594516635,0.15000000254330415,0.010715176828334571
"(0, 10800)",294.1488357828736,0.15000000080430845,0.010715176828334571
"(0, 11100)",294.14883619296415,0.14999999805983621,0.01071517631838754
"(0, 11400)",294.14883632031695,0.14999999942444403,0.01071517631838754
"(0, 11700)",294.14883635859803,0.14999999983463247,0.01071517631838754
"(0, 12000)",294.1488362409851,0.1500000004859128,0.01071517645493635
"(0, 12300)",294.1488362078589,0.15000000013096026,0.01071517645493635
"(0, 12600)",294.1488361988276,0.15000000003418842,0.01071517645493635
"(0, 12900)",294.1488362321353,0.14999999987923876,0.01071517641837281
"(0, 13200)",294.1488362406461,0.14999999997043365,0.01071517641837281
"(0, 13500)",294.14883624275103,0.14999999999298883,0.01071517641837281
"(0, 13800)",294.14883623340125,0.15000000002987313,0.010715176428164256
"(0, 14100)",294.1488362312337,0.15000000000664776,0.010715176428164256
"(0, 14400)",294.14883623074763,0.1500000000014388,0.010715176428164256
"(0, 14700)",294.14883623335345,0.1499999999926404,0.010715176425541149
"(0, 15000)",294.14883623390085,0.14999999999850555,0.010715176425541149
"(0, 15300)",294.1488362340122,0.14999999999969962,0.010715176425541149
"(0, 15600)",294.14883623329223,0.15000000000181554,0.010715176426243441
"(0, 15900)",294.14883623315467,0.1500000000003418,0.010715176426243441
"(0, 16200)",294.1488362331292,0.1500000000000688,0.010715176426243441
"(0, 16500)",294.1488362333268,0.14999999999955033,0.010715176426055172
"(0, 16800)",294.14883623336095,0.1499999999999165,0.010715176426055172
"(0, 17100)",294.1488362333668,0.14999999999997923,0.010715176426055172
"(0, 17400)",294.1488362333137,0.15000000000011562,0.01071517642610555
"(0, 17700)",294.14883623330536,0.15000000000002606,0.01071517642610555
"(0, 18000)",294.14883623330473,0.15000000000001937,0.01071517642610555
"(0, 18300)",294.14883623331684,0.14999999999996808,0.010715176426092621
"(0, 18600)",294.14883623331804,0.14999999999998087,0.010715176426092621
"(0, 18900)",294.14883623331804,0.14999999999998087,0.010715176426092621
"(0, 19200)",294.1488362333166,0.15000000000001942,0.01071517642609646
"(0, 19500)",294.1488362333166,0.15000000000001942,0.01071517642609646
"(0, 19800)",294.1488362333166,0.15000000000001942,0.01071517642609646
"(0, 20100)",294.1488362333166,0.1500000000000043,0.010715176426095381
"(0, 20400)",294.1488362333166,0.1500000000000043,0.010715176426095381
"(0, 20700)",294.1488362333166,0.1500000000000043,0.010715176426095381
"(0, 21000)",294.1488362333166,0.14999999999999966,0.01071517642609505
"(0, 21300)",294.1488362333166,0.14999999999999966,0.01071517642609505
"(0, 21600)",294.1488362333166,0.14999999999999966,0.01071517642609505
"(0, 21900)",294.1488362333166,0.14999999999999394,0.010715176426094642
"(0, 22200)",294.1488362333166,0.14999999999999394,0.010715176426094642
"(0, 22500)",294.1488362333166,0.14999999999999394,0.010715176426094642
"(0, 22800)",294.1488362333166,0.1499999999999955,0.010715176426094753
"(0, 23100)",294.1488362333166,0.1499999999999955,0.010715176426094753
"(0, 23400)",294.1488362333166,0.1499999999999955,0.010715176426094753
"(0, 23700)",294.1488362333166,0.14999999999999805,0.010715176426094935
"(0, 24000)",294.1488362333166,0.14999999999999805,0.010715176426094935
"(0, 24300)",294.1488362333166,0.14999999999999805,0.010715176426094935
"(0, 24600)",294.1488362333166,0.14999999999998334,0.010715176426093884
"(0, 24900)",294.1488362333166,0.14999999999998334,0.010715176426093884
"(0, 25200)",294.1488362333166,0.14999999999998334,0.010715176426093884
"(0, 25500)",294.1488362333146,0.15000000000001887,0.010715176426097947
"(0, 25800)",294.1488362333146,0.15000000000001887,0.010715176426097947
"(0, 26100)",294.1488362333146,0.15000000000001887,0.010715176426097947
"(0, 26400)",294.1488362333295,0.14999999999998076,0.010715176426083824
"(0, 26700)",294.1488362333295,0.14999999999998076,0.010715176426083824
"(0, 27000)",294.1488362333295,0.14999999999998076,0.010715176426083824
"(0, 27300)",294.1488362332651,0.15000000000005023,0.01071517642613808
"(0, 27600)",294.1488362332622,0.15000000000001912,0.01071517642613808
"(0, 27900)",294.1488362332622,0.15000000000001912,0.01071517642613808
"(0, 28200)",294.14883623351295,0.1499999999998507,0.010715176425934128
"(0, 28500)",294.1488362335251,0.14999999999998107,0.010715176425934128
"(0, 28800)",294.1488362335251,0.14999999999998107,0.010715176425934128
"(0, 29100)",294.14883623257333,0.1500000000004902,0.010715176426699018
"(0, 29400)",294.1488362325305,0.15000000000003147,0.010715176426699018
"(0, 29700)",294.1488362325294,0.15000000000001926,0.010715176426699018
"(0, 30000)",294.14883623610655,0.14999999999836025,0.010715176423842416
"(0, 30300)",294.14883623625275,0.1499999999999266,0.010715176423842416
"(0, 30600)",294.1488362362578,0.14999999999998082,0.010715176423842416
"(0, 30900)",294.148836222842,0.1500000000055429,0.01071517643450862
"(0, 31200)",294.1488362223442,0.1500000000002084,0.01071517643450862
"(0, 31500)",294.1488362223265,0.15000000000001892,0.01071517643450862
"(0, 31800)",294.14883627260957,0.14999999998119903,0.010715176394675879
"(0, 32100)",294.148836274306,0.14999999999937624,0.010715176394675879
"(0, 32400)",294.14883627436143,0.14999999999997024,0.010715176394675879
"(0, 32700)",294.1488360859739,0.1500000000637889,0.010715176543432781
"(0, 33000)",294.1488360801979,0.1500000000018971,0.010715176543432781
"(0, 33300)",294.1488360800268,0.15000000000006392,0.010715176543432781
"(0, 33600)",294.14883678560454,0.14999999978356734,0.010715175987894694
"(0, 33900)",294.1488368052587,0.14999999999416477,0.010715175987894694
"(0, 34200)",294.14883680578816,0.14999999999983799,0.010715175987894694
"(0, 34500)",294.1488341637656,0.1500000007342383,0.010715178062648675
"(0, 34800)",294.1488340969205,0.15000000001798117,0.010715178062648675
"(0, 35100)",294.1488340952829,0.15000000000043395,0.010715178062648675
"(0, 35400)",294.1488439845442,0.1499999975090176,0.010715170315108045
"(0, 35700)",294.1488442118447,0.14999999994458074,0.010715170315108045
"(0, 36000)",294.1488442169044,0.14999999999879673,0.010715170315108045
"(0, 36300)",294.14880719110687,0.15000000845349531,0.010715199259890309
"(0, 36600)",294.14880641812806,0.15000000017087378,0.010715199259890309
"(0, 36900)",294.1488064024937,0.15000000000334843,0.010715199259890309
