,N,iter_count,n_call_callback_fun,n_call_nlp_f,n_call_nlp_g,n_call_nlp_grad,n_call_nlp_grad_f,n_call_nlp_hess_l,n_call_nlp_jac_g,n_call_total,return_status,success,t_proc_callback_fun,t_proc_nlp_f,t_proc_nlp_g,t_proc_nlp_grad,t_proc_nlp_grad_f,t_proc_nlp_hess_l,t_proc_nlp_jac_g,t_proc_total,t_wall_callback_fun,t_wall_nlp_f,t_wall_nlp_g,t_wall_nlp_grad,t_wall_nlp_grad_f,t_wall_nlp_hess_l,t_wall_nlp_jac_g,t_wall_total,unified_return_status
"0",48,16,0,50,17,0,18,16,18,1,0,True,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.014,0.0,0.000422,0.00018899999999999999,0.0,0.00021700000000000002,0.0004939999999999999,0.000333,0.013998,SOLVER_RET_SUCCESS
"900.0",48,16,0,50,17,0,18,16,18,1,0,True,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.015,0.0,0.00043699999999999967,0.00021399999999999994,0.0,0.000215,0.0005510000000000001,0.00037999999999999997,0.014501,SOLVER_RET_SUCCESS
"1800.0",48,12,0,38,13,0,14,12,14,1,0,True,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.01,0.0,0.00029500000000000007,0.00016,0.0,0.00016099999999999998,0.000414,0.00024000000000000003,0.010419,SOLVER_RET_SUCCESS
"2700.0",48,13,0,41,14,0,15,13,15,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.000308,0.00016,0.0,0.000154,0.000369,0.00026500000000000004,0.010356,SOLVER_RET_SUCCESS
"3600.0",48,13,0,41,14,0,15,13,15,1,0,True,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.012,0.0,0.0003859999999999999,0.00023499999999999997,0.0,0.00016899999999999996,0.000393,0.000277,0.011862,SOLVER_RET_SUCCESS
"4500.0",48,15,0,47,16,0,17,15,17,1,0,True,0.0,0.0,0.0,0.0,0.003,0.002,0.0,0.028,0.0,0.0006410000000000002,0.0005840000000000002,0.0,0.0021869999999999997,0.0028099999999999996,0.0006269999999999998,0.027863,SOLVER_RET_SUCCESS
"5400.0",48,14,0,44,15,0,16,14,16,1,0,True,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.012,0.0,0.00038599999999999995,0.000183,0.0,0.00019099999999999998,0.0004369999999999999,0.000302,0.012227,SOLVER_RET_SUCCESS
"6300.0",48,15,0,47,16,0,17,15,17,1,0,True,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.02,0.0,0.0006309999999999997,0.00027100000000000003,0.0,0.00029400000000000004,0.0007379999999999998,0.0005039999999999999,0.019663,SOLVER_RET_SUCCESS
"7200.0",48,13,0,41,14,0,15,13,15,1,0,True,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.019,0.0,0.0005569999999999998,0.000258,0.0,0.000272,0.0006490000000000001,0.000452,0.018876,SOLVER_RET_SUCCESS
"8100.0",48,13,0,41,14,0,15,13,15,1,0,True,0.0,0.001,0.0,0.0,0.001,0.0,0.001,0.019,0.0,0.0005780000000000001,0.000253,0.0,0.00027,0.000642,0.000445,0.018677,SOLVER_RET_SUCCESS
"9000.0",48,13,0,41,14,0,15,13,15,1,0,True,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.018,0.0,0.0005309999999999999,0.00027,0.0,0.00026100000000000006,0.0006449999999999998,0.00043699999999999994,0.017689,SOLVER_RET_SUCCESS
"9900.0",48,27,0,83,28,0,29,27,29,1,0,True,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.033,0.0,0.0010999999999999996,0.0005649999999999999,0.0,0.0005369999999999999,0.00138,0.000835,0.033753,SOLVER_RET_SUCCESS
"10800.0",48,23,0,71,24,0,25,23,25,1,0,True,0.0,0.002,0.002,0.0,0.001,0.001,0.0,0.029,0.0,0.0009409999999999996,0.000412,0.0,0.000429,0.0011200000000000001,0.0006799999999999998,0.02895,SOLVER_RET_SUCCESS
"11700.0",48,20,0,62,21,0,22,20,22,1,0,True,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.000875,0.00039200000000000004,0.0,0.00043000000000000004,0.0011609999999999997,0.0006550000000000001,0.02654,SOLVER_RET_SUCCESS
"12600.0",48,20,0,62,21,0,22,20,22,1,0,True,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.027,0.0,0.0008369999999999997,0.00039000000000000005,0.0,0.000405,0.0009869999999999998,0.0006369999999999999,0.027212,SOLVER_RET_SUCCESS
"13500.0",48,20,0,62,21,0,22,20,22,1,0,True,0.0,0.0,0.002,0.0,0.001,0.001,0.002,0.027,0.0,0.0008439999999999998,0.00040100000000000004,0.0,0.0003890000000000001,0.000977,0.0006610000000000001,0.026318,SOLVER_RET_SUCCESS
"14400.0",48,20,0,62,21,0,22,20,22,1,0,True,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.027,0.0,0.0008479999999999998,0.000386,0.0,0.00041299999999999996,0.0010069999999999999,0.0006770000000000001,0.026904,SOLVER_RET_SUCCESS
"15300.0",48,19,0,59,20,0,21,19,21,1,0,True,0.0,0.001,0.001,0.0,0.0,0.0,0.002,0.025,0.0,0.0008349999999999998,0.00033900000000000005,0.0,0.00043700000000000005,0.0009370000000000001,0.0005819999999999999,0.024776,SOLVER_RET_SUCCESS
"16200.0",48,20,0,62,21,0,22,20,22,1,0,True,0.0,0.002,0.0,0.0,0.0,0.001,0.0,0.027,0.0,0.0008509999999999998,0.00039700000000000005,0.0,0.00042,0.0010039999999999997,0.000671,0.026456,SOLVER_RET_SUCCESS
"17100.0",48,19,0,59,20,0,21,19,21,1,0,True,0.0,0.001,0.001,0.0,0.0,0.001,0.002,0.026,0.0,0.0008599999999999999,0.00038999999999999994,0.0,0.00039999999999999996,0.0009549999999999999,0.0006899999999999999,0.025682,SOLVER_RET_SUCCESS
"18000.0",48,19,0,59,20,0,21,19,21,1,0,True,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0008349999999999999,0.00040400000000000006,0.0,0.00039999999999999996,0.001025,0.000672,0.025933,SOLVER_RET_SUCCESS
"18900.0",48,13,0,41,14,0,15,13,15,1,0,True,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.018,0.0,0.000549,0.000259,0.0,0.000275,0.000685,0.00044499999999999987,0.018235,SOLVER_RET_SUCCESS
"19800.0",48,14,0,44,15,0,16,14,16,1,0,True,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.02,0.0,0.0005999999999999998,0.000268,0.0,0.000308,0.000669,0.000463,0.019828,SOLVER_RET_SUCCESS
"20700.0",48,13,0,41,14,0,15,13,15,1,0,True,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.018,0.0,0.0005819999999999998,0.00028199999999999997,0.0,0.00026900000000000003,0.0007490000000000001,0.000442,0.017957,SOLVER_RET_SUCCESS
