,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,variable,upper,lower,variable,upper,lower,variable,variable,upper,upper,lower,lower,variable,variable,upper,upper,lower,lower
,load,T_upper,T_lower,T_in,_mDot_full,Time,in_provision,cp,C,s_T,r_mDot,prep_time,flex_event_duration,market_time,s_P,T,mDot,r_del_u_mDot,T,T,T,mDot,mDot,mDot,t_sim,T_slack,t_sim,T_slack,t_sim,T_slack,T_out,P_el,T_out,P_el,T_out,P_el
"(0, 0.0)",150.0,294.15,292.15,280.15,0.05000000997656391,0.0,0.0,1000.0,100000.0,250.0,1.0,900.0,7200.0,900.0,10.0,298.16,0.05000000997656391,0.0,298.1599999999154,303.15,288.15,0.05000000997641959,0.05,0.0,,,,,,,,,,,,
"(0, 190.19237886466843)",,,,,,,,,,,,,,,,,,,296.80665289459995,303.15,288.15,,,,0.0,2.6566499538245094,inf,inf,-inf,-inf,296.80665289459995,0.832832810903756,inf,inf,-inf,-inf
"(0, 709.8076211353316)",,,,,,,,,,,,,,,,,,,293.66647118168925,303.15,288.15,,,,0.0,0.0001376934693292306,inf,inf,-inf,-inf,293.66647118168925,0.6758236939304512,inf,inf,-inf,-inf
"(0, 900.0)",150.0,294.15,292.15,280.15,5.200459130471152e-06,900.0,0.0,,,,,,,,,,,,292.72104572815505,303.15,288.15,-6.394272571189012e-09,0.05,0.0,,,,,,,,,,,,
"(0, 1090.1923788646684)",,,,,,,,,,,,,,,,,,,293.00633445106945,303.15,288.15,,,,0.0,0.00013749139385745707,inf,inf,-inf,-inf,293.00633445106945,-8.220690674631715e-08,inf,inf,-inf,-inf
"(0, 1609.8076211353316)",,,,,,,,,,,,,,,,,,,293.78575775458563,303.15,288.15,,,,0.0,0.00013769694128922197,inf,inf,-inf,-inf,293.78575775458563,-8.719075179708392e-08,inf,inf,-inf,-inf
"(0, 1800.0)",150.0,294.15,292.15,280.15,0.010112276654335511,1800.0,0.0,,,,,,,,,,,,294.0710464904479,303.15,288.15,0.019571650952423674,0.05,0.0,,,,,,,,,,,,
"(0, 1990.1923788646684)",,,,,,,,,,,,,,,,,,,293.8426676022139,303.15,288.15,,,,0.0,0.00013771558569865278,inf,inf,-inf,-inf,293.8426676022139,0.2679881109288966,inf,inf,-inf,-inf
"(0, 2509.807621135332)",,,,,,,,,,,,,,,,,,,293.25924941547873,303.15,288.15,,,,0.0,0.00013767861641692617,inf,inf,-inf,-inf,293.25924941547873,0.2565696538456234,inf,inf,-inf,-inf
"(0, 2700.0)",150.0,294.15,292.15,280.15,0.010726723380422,2700.0,0.0,,,,,,,,,,,,293.0605365489625,303.15,288.15,0.010272660041616144,0.05,0.0,,,,,,,,,,,,
"(0, 2890.1923788646686)",,,,,,,,,,,,,,,,,,,293.0932506012177,303.15,288.15,,,,0.0,0.00013767661584106604,inf,inf,-inf,-inf,293.0932506012177,0.13296161322887212,inf,inf,-inf,-inf
"(0, 3409.807621135332)",,,,,,,,,,,,,,,,,,,293.17948318128157,303.15,288.15,,,,0.0,0.00013767735097236695,inf,inf,-inf,-inf,293.17948318128157,0.13384745122925049,inf,inf,-inf,-inf
"(0, 3600.0)",150.0,294.15,292.15,280.15,0.010710763232699295,3600.0,0.0,,,,,,,,,,,,293.20989575890053,303.15,288.15,0.011492154220769801,0.05,0.0,,,,,,,,,,,,
"(0, 3790.1923788646686)",,,,,,,,,,,,,,,,,,,293.2097333979982,303.15,288.15,,,,0.0,0.00013767757067910535,inf,inf,-inf,-inf,293.2097333979982,0.15008447029264058,inf,inf,-inf,-inf
"(0, 4309.807621135332)",,,,,,,,,,,,,,,,,,,293.2093072026067,303.15,288.15,,,,0.0,0.00013767757839083873,inf,inf,-inf,-inf,293.2093072026067,0.1500795723900751,inf,inf,-inf,-inf
