,T_out,P_el
"(0, 0)",,
"(0, 300)",291.75705466779567,0.5803528491866324
"(0, 600)",289.52624735419005,0.4688124612508785
"(0, 900)",287.2157081325135,0.3532854771161465
"(0, 1200)",289.0157087465405,-5.66897582621544e-08
"(0, 1500)",291.26570970762367,-7.107687769275701e-08
"(0, 1800)",293.9657111452546,-8.834142282757213e-08
"(0, 2100)",291.89266950001604,0.22982342870398556
"(0, 2400)",290.3641480420747,0.1999077402558671
"(0, 2700)",289.31764533693615,0.1794259545901294
"(0, 3000)",290.7587762698062,0.10898035207728356
"(0, 3300)",291.9065758075798,0.1207713065247569
"(0, 3600)",292.7858625912422,0.12980392073240646
"(0, 3900)",292.9363221710026,0.14694238630561013
"(0, 4200)",293.038190977423,0.14811307833927895
"(0, 4500)",293.10449046518306,0.14887500227737538
"(0, 4800)",293.14895750153,0.14930566209050747
"(0, 5100)",293.1757580004649,0.14961349187127013
"(0, 5400)",293.19131117474916,0.14979213519584783
"(0, 5700)",293.19823216631727,0.14991403292649266
"(0, 6000)",293.2019592450001,0.14995685415999405
"(0, 6300)",293.2038936795577,0.14997907930760526
"(0, 6600)",293.29054981256917,0.14911794705113537
"(0, 6900)",293.3327548623144,0.14959688670457238
"(0, 7200)",293.3525866984647,0.1498219368535511
"(0, 7500)",296.933850887877,0.11331446621322416
"(0, 7800)",299.15746302422195,0.1283269579219758
"(0, 8100)",300.509714123378,0.13745654400509552
"(0, 8400)",286.7515218315869,0.18906472938572344
"(0, 8700)",285.50045831911154,0.1532348116084697
"(0, 9000)",285.3960837449027,0.15024556895640004
"(0, 9300)",299.3460734956586,1.727417555111986e-07
"(0, 9600)",313.7460506737355,3.0232436716481555e-07
"(0, 9900)",328.5960141002916,4.359563181031445e-07
"(0, 10200)",327.45687162373054,0.15935901907998382
"(0, 10500)",326.6291655911323,0.15657078944411684
"(0, 10800)",326.03427888976444,0.15456684037837148
"(0, 11100)",303.83138093007545,0.25404352017011883
"(0, 11400)",296.9885644587028,0.18063677123944966
"(0, 11700)",294.9467941842349,0.15873355075428872
"(0, 12000)",294.3741642660811,0.1523447353507607
"(0, 12300)",294.2138746054526,0.150627988730634
"(0, 12600)",294.1704477679791,0.15016287528437097
"(0, 12900)",294.1531792038903,0.1500620026340627
"(0, 13200)",294.1487994674556,0.15001506814791168
"(0, 13500)",294.1477242735894,0.1500035460683592
"(0, 13800)",294.14894685665257,0.1499961325721308
"(0, 14100)",294.14922804953267,0.14999914550195698
"(0, 14400)",294.14929065257684,0.1499998162820244
"(0, 14700)",294.1488800054404,0.15000114886258956
"(0, 15000)",294.14879436666365,0.15000023122382897
"(0, 15300)",294.1487770088759,0.1500000452312283
"(0, 15600)",294.14888891038345,0.14999972128533093
"(0, 15900)",294.14891014624465,0.1499999488300516
"(0, 16200)",294.1489140728702,0.14999999090430036
"(0, 16500)",294.14888318307004,0.15000006887500972
"(0, 16800)",294.14887782721297,0.1500000114862224
"(0, 17100)",294.14887692845326,0.15000000185588153
"(0, 17400)",294.1488854017913,0.1499999831659702
"(0, 17700)",294.14888673472706,0.14999999744855996
"(0, 18000)",294.1488869378884,0.14999999962546193
"(0, 18300)",294.14888461921566,0.15000000411532474
"(0, 18600)",294.148884288035,0.15000000056667714
"(0, 18900)",294.1488842422027,0.1500000000755776
"(0, 19200)",294.1488848747231,0.14999999899470146
"(0, 19500)",294.1488849568061,0.14999999987423276
"(0, 19800)",294.1488849671213,0.14999999998476146
"(0, 20100)",294.14888479494095,0.1500000002452891
"(0, 20400)",294.14888477465064,0.15000000002787564
"(0, 20700)",294.1488847723361,0.1500000000030743
"(0, 21000)",294.1488848190971,0.14999999994020455
"(0, 21300)",294.14888482410134,0.1499999999938258
"(0, 21600)",294.148884824619,0.14999999999937286
"(0, 21900)",294.14888481198983,0.1500000000145133
"(0, 22200)",294.1488848107633,0.15000000000137087
"(0, 22500)",294.14888481064776,0.15000000000013286
"(0, 22800)",294.14888481401806,0.14999999999651023
"(0, 23100)",294.148884814315,0.14999999999969288
"(0, 23400)",294.14888481434053,0.14999999999996583
"(0, 23700)",294.14888481342433,0.15000000000086064
"(0, 24000)",294.14888481335106,0.15000000000007593
"(0, 24300)",294.1488848133458,0.15000000000001926
"(0, 24600)",294.148884813668,0.14999999999971955
"(0, 24900)",294.1488848136915,0.14999999999997055
"(0, 25200)",294.14888481369246,0.1499999999999809
"(0, 25500)",294.148884813503,0.15000000000015257
"(0, 25800)",294.14888481349055,0.15000000000001912
"(0, 26100)",294.14888481349055,0.15000000000001912
"(0, 26400)",294.1488848135841,0.14999999999992664
"(0, 26700)",294.1488848135892,0.14999999999998087
"(0, 27000)",294.1488848135892,0.14999999999998087
"(0, 27300)",294.14888481355604,0.15000000000003097
"(0, 27600)",294.14888481355496,0.15000000000001942
"(0, 27900)",294.14888481355496,0.15000000000001942
"(0, 28200)",294.14888481376005,0.14999999999987584
"(0, 28500)",294.1488848137698,0.14999999999998065
"(0, 28800)",294.1488848137698,0.14999999999998065
"(0, 29100)",294.14888481289466,0.15000000000045186
"(0, 29400)",294.14888481285533,0.15000000000003025
"(0, 29700)",294.1488848128543,0.15000000000001926
"(0, 30000)",294.1488848162655,0.1499999999984354
"(0, 30300)",294.1488848164048,0.14999999999992866
"(0, 30600)",294.1488848164097,0.14999999999998107
"(0, 30900)",294.14888480308207,0.15000000000550526
"(0, 31200)",294.14888480258765,0.15000000000020733
"(0, 31500)",294.1488848025701,0.15000000000001906
"(0, 31800)",294.1488848530678,0.149999999981116
"(0, 32100)",294.1488848547716,0.1499999999993729
"(0, 32400)",294.1488848548273,0.14999999999997
"(0, 32700)",294.148884665507,0.15000000006410713
"(0, 33000)",294.14888465970216,0.15000000000190725
"(0, 33300)",294.14888465953015,0.1500000000000643
"(0, 33600)",294.1488853686986,0.14999999978246883
"(0, 33900)",294.14888538845247,0.14999999999413477
"(0, 34200)",294.1488853889847,0.1499999999998372
"(0, 34500)",294.1488827332969,0.15000000073804023
"(0, 34800)",294.1488826661057,0.15000000001807717
"(0, 35100)",294.14888266445956,0.1500000000004386
"(0, 35400)",294.1488926031591,0.1499999974969686
"(0, 35700)",294.14889283155986,0.1499999999443126
"(0, 36000)",294.148892836644,0.14999999999879035
"(0, 36300)",294.14885561538676,0.15000000849529949
"(0, 36600)",294.1488548385826,0.15000000017171713
"(0, 36900)",294.14885482287116,0.15000000000336625
"(0, 37200)",294.14899378948377,0.1499999713716336
"(0, 37500)",294.14899641222223,0.14999999947441664
"(0, 37800)",294.14899646040095,0.14999999999065455
"(0, 38100)",294.1484725486293,0.15000009725757957
"(0, 38400)",294.14846362356604,0.15000000162140584
"(0, 38700)",294.1484634746961,0.1500000000261958
"(0, 39000)",294.1503764397629,0.14999967986845425
"(0, 39300)",294.15040586682414,0.1499999951492457
"(0, 39600)",294.1504063129243,0.14999999992875143
"(0, 39900)",294.14269169637043,0.15000116432297
"(0, 40200)",294.1425845691962,0.15000001592341847
"(0, 40500)",294.1425831035722,0.15000000021198032
"(0, 40800)",294.16436681793465,0.14999700343123587
"(0, 41100)",294.1646432976973,0.14999996261850684
"(0, 41400)",294.1646467477679,0.14999999954491736
"(0, 41700)",287.67387927674974,0.15003168517206786
"(0, 42000)",287.672290689249,0.150000007569196
"(0, 42300)",287.67229030975415,0.15000000000178998
"(0, 42600)",351.51310325368763,0.00025097491532901397
"(0, 42900)",415.7069326908108,0.00047673641073868315
"(0, 43200)",480.25193888880494,0.0007037329499427875
"(900.0, 0)",,
"(900.0, 300)",293.60000031006746,-1.047175657855532e-07
"(900.0, 600)",294.500000960567,-1.117246940497187e-07
"(900.0, 900)",295.85000201575065,-1.222353870644217e-07
"(900.0, 1200)",295.8258994180025,0.15189398766223722
"(900.0, 1500)",295.79945708307673,0.15163777067666684
"(900.0, 1800)",295.7724042518107,0.15137563819488883
"(900.0, 2100)",292.74801618447987,0.2645896605404244
"(900.0, 2400)",290.5880087767496,0.2192241348570827
"(900.0, 2700)",289.1616614932013,0.1892672957769973
"(900.0, 3000)",290.77635772615594,0.1036649742894261
"(900.0, 3300)",292.0835123847285,0.11641686515977503
"(900.0, 3600)",293.1025146566287,0.1263576978551953
"(900.0, 3900)",293.14337239736614,0.14916949194699358
"(900.0, 4200)",293.1710482365466,0.14948722245940504
"(900.0, 4500)",293.1890696986473,0.14969411657922907
"(900.0, 4800)",293.1975552023624,0.14986750266668675
"(900.0, 5100)",293.2026693862946,0.14992624547039277
"(900.0, 5400)",293.2056372650988,0.14996033527324873
"(900.0, 5700)",293.20563634511456,0.1500000115102781
"(900.0, 6000)",293.205635848033,0.1500000057991639
"(900.0, 6300)",293.2056355890222,0.15000000282331338
"(900.0, 6600)",293.29360506424405,0.1491044571376215
"(900.0, 6900)",293.3364603052434,0.14959061808155472
"(900.0, 7200)",293.35660283569604,0.14981912015947263
"(900.0, 7500)",296.9830805529612,0.11277307571313949
"(900.0, 7800)",299.2437166525314,0.1279181874598921
"(900.0, 8100)",300.62410931083605,0.13716611598248557
"(900.0, 8400)",286.74785498217426,0.18928764406094034
"(900.0, 8700)",285.49134265507126,0.15323922244915053
"(900.0, 9000)",285.38696854886604,0.15024480551850852
"(900.0, 9300)",299.3369794305899,-1.834530404537101e-07
"(900.0, 9600)",313.73700367517154,-3.2113642307431684e-07
"(900.0, 9900)",328.58704251847985,-4.63122543740984e-07
"(900.0, 10200)",327.4525526738902,0.15932104267296937
"(900.0, 10500)",326.628185078748,0.15654446725833301
"(900.0, 10800)",326.0356665702309,0.15454878919776857
"(900.0, 11100)",303.8575414981289,0.2540167679512895
"(900.0, 11400)",297.0124332571426,0.1806741874146572
"(900.0, 11700)",294.9669343976356,0.15875749018221635
"(900.0, 12000)",294.3759479235383,0.15241921643454615
"(900.0, 12300)",294.2105977588416,0.15064762675378318
"(900.0, 12600)",294.1658214909341,0.15016788623272903
"(900.0, 12900)",294.1539381422253,0.1500426736674169
"(900.0, 13200)",294.1509234624764,0.1500103734240727
"(900.0, 13500)",294.15018318740937,0.15000244188016115
"(900.0, 13800)",294.1500448427125,0.1500004387916584
"(900.0, 14100)",294.1500129959999,0.1500000975769749
"(900.0, 14400)",294.1500058493157,0.15000002100537996
"(900.0, 14700)",294.1499937666323,0.15000003411559054
"(900.0, 15000)",294.1499912258166,0.15000000689254675
"(900.0, 15300)",294.1499907084558,0.15000000134939168
"(900.0, 15600)",294.14999347698216,0.1499999930609216
"(900.0, 15900)",294.1499940056905,0.1499999987256556
"(900.0, 16200)",294.14999410347366,0.14999999977333314
"(900.0, 16500)",294.14999333467193,0.15000000171435046
"(900.0, 16800)",294.14999320136246,0.15000000028603458
"(900.0, 17100)",294.14999317898025,0.15000000004622455
"(900.0, 17400)",294.14999338980846,0.14999999958086163
"(900.0, 17700)",294.1499934229981,0.1499999999364653
"(900.0, 18000)",294.1499934280576,0.14999999999067434
"(900.0, 18300)",294.1499933703959,0.15000000010241235
"(900.0, 18600)",294.14999336215385,0.15000000001410402
"(900.0, 18900)",294.1499933610137,0.150000000001888
"(900.0, 19200)",294.14999337673623,0.14999999997500857
"(900.0, 19500)",294.14999337877634,0.1499999999968674
"(900.0, 19800)",294.14999337903254,0.14999999999961178
"(900.0, 20100)",294.14999337475683,0.15000000000609442
"(900.0, 20400)",294.14999337425354,0.1500000000007013
"(900.0, 20700)",294.1499933741961,0.150000000000086
"(900.0, 21000)",294.14999337535454,0.14999999999850933
"(900.0, 21300)",294.14999337547846,0.14999999999983732
"(900.0, 21600)",294.14999337549125,0.1499999999999744
"(900.0, 21900)",294.1499933751785,0.15000000000036956
"(900.0, 22200)",294.14999337514814,0.1500000000000443
"(900.0, 22500)",294.1499933751458,0.15000000000001926
"(900.0, 22800)",294.14999337522937,0.14999999999990424
"(900.0, 23100)",294.14999337523653,0.14999999999998098
"(900.0, 23400)",294.14999337523653,0.14999999999998098
"(900.0, 23700)",294.1499933752161,0.15000000000002967
"(900.0, 24000)",294.14999337521516,0.15000000000001928
"(900.0, 24300)",294.14999337521516,0.15000000000001928
"(900.0, 24600)",294.14999337521925,0.14999999999998095
"(900.0, 24900)",294.14999337521925,0.14999999999998095
"(900.0, 25200)",294.14999337521925,0.14999999999998095
"(900.0, 25500)",294.1499933752192,0.15000000000001262
"(900.0, 25800)",294.1499933752192,0.15000000000001262
"(900.0, 26100)",294.1499933752192,0.15000000000001262
"(900.0, 26400)",294.1499933752192,0.14999999999999797
"(900.0, 26700)",294.1499933752192,0.14999999999999797
"(900.0, 27000)",294.1499933752192,0.14999999999999797
"(900.0, 27300)",294.1499933752191,0.15000000000001898
"(900.0, 27600)",294.1499933752191,0.15000000000001898
"(900.0, 27900)",294.1499933752191,0.15000000000001898
"(900.0, 28200)",294.14999337522187,0.14999999999998107
"(900.0, 28500)",294.14999337522187,0.14999999999998107
"(900.0, 28800)",294.14999337522187,0.14999999999998107
"(900.0, 29100)",294.14999337520175,0.1500000000000194
"(900.0, 29400)",294.14999337520175,0.1500000000000194
"(900.0, 29700)",294.14999337520175,0.1500000000000194
"(900.0, 30000)",294.14999337528536,0.14999999999995114
"(900.0, 30300)",294.14999337528815,0.149999999999981
"(900.0, 30600)",294.14999337528815,0.149999999999981
"(900.0, 30900)",294.14999337496835,0.15000000000014158
"(900.0, 31200)",294.1499933749569,0.1500000000000191
"(900.0, 31500)",294.1499933749569,0.1500000000000191
"(900.0, 31800)",294.149993376161,0.1499999999995403
"(900.0, 32100)",294.14999337620156,0.14999999999997526
"(900.0, 32400)",294.1499933762021,0.14999999999998076
"(900.0, 32700)",294.1499933716857,0.15000000000153876
"(900.0, 33000)",294.1499933715473,0.1500000000000554
"(900.0, 33300)",294.14999337154387,0.1500000000000188
"(900.0, 33600)",294.1499933884626,0.14999999999480643
"(900.0, 33900)",294.1499933889334,0.14999999999985106
"(900.0, 34200)",294.1499933889455,0.14999999999998084
"(900.0, 34500)",294.1499933255853,0.1500000000176118
"(900.0, 34800)",294.14999332398264,0.15000000000044128
"(900.0, 35100)",294.14999332394325,0.1500000000000191
"(900.0, 35400)",294.14999356111014,0.14999999994023583
"(900.0, 35700)",294.14999356656335,0.14999999999866356
"(900.0, 36000)",294.1499935666846,0.14999999999996233
"(900.0, 36300)",294.14999267870064,0.15000000020285698
"(900.0, 36600)",294.1499926601508,0.15000000000410854
"(900.0, 36900)",294.14999265977576,0.1500000000000903
"(900.0, 37200)",294.14999597754485,0.14999999931307892
"(900.0, 37500)",294.14999604047966,0.14999999998738098
"(900.0, 37800)",294.14999604163563,0.14999999999976632
"(900.0, 38100)",294.1499835593589,0.15000000234301034
"(900.0, 38400)",294.14998334432784,0.1500000000391038
"(900.0, 38700)",294.149983340738,0.15000000000064154
"(900.0, 39000)",294.15002906013535,0.14999999221950366
"(900.0, 39300)",294.15002977530526,0.14999999988202176
"(900.0, 39600)",294.1500297861542,0.149999999998261
"(900.0, 39900)",294.1498451671668,0.15000002832781142
"(900.0, 40200)",294.14984255966465,0.15000000038997433
"(900.0, 40500)",294.14984252375325,0.15000000000520536
"(900.0, 40800)",294.150369424995,0.1499999269577674
"(900.0, 41100)",294.1503761571723,0.14999999908629913
"(900.0, 41400)",294.15037624141945,0.14999999998892358
"(900.0, 41700)",287.6721967930957,0.1500315722227649
"(900.0, 42000)",287.6706142201352,0.15000000751953377
"(900.0, 42300)",287.6706138432141,0.150000000001775
"(900.0, 42600)",351.56941040772494,5.104514455104459e-06
"(900.0, 42900)",415.9162322509128,9.70353425047169e-06
"(900.0, 43200)",480.71103917635656,1.4334572600948688e-05
"(1800.0, 0)",,
"(1800.0, 300)",293.2472659320402,0.11799880141859326
"(1800.0, 600)",293.43408248207146,0.11968191063415265
"(1800.0, 900)",293.69602913605826,0.12204189869322034
"(1800.0, 1200)",293.76023564410013,0.144984323329374
"(1800.0, 1500)",293.82976968921855,0.14572504132599576
"(1800.0, 1800)",293.8997933105403,0.14647097457945973
"(1800.0, 2100)",291.6173474513918,0.23682408873060706
"(1800.0, 2400)",289.97446172994415,0.20289515132641756
"(1800.0, 2700)",288.87992614244286,0.1802907614104435
"(1800.0, 3000)",290.53177337662856,0.10270113026082613
"(1800.0, 3300)",291.8632992167959,0.11587317744349088
"(1800.0, 3600)",292.8964156012009,0.1260932252638589
"(1800.0, 3900)",293.0100353249832,0.14769066752255358
"(1800.0, 4200)",293.0869854861525,0.1485743992061659
"(1800.0, 4500)",293.13708377350383,0.14914975139717285
"(1800.0, 4800)",293.16764683999406,0.14952277027923538
"(1800.0, 5100)",293.18606717855414,0.14973434922932094
"(1800.0, 5400)",293.196756976895,0.1498571339600257
"(1800.0, 5700)",293.20102098681355,0.14994703597064507
"(1800.0, 6000)",293.2033172231529,0.14997341810835896
"(1800.0, 6300)",293.204509014174,0.1499871109475084
"(1800.0, 6600)",293.2930706697106,0.14909842873671336
"(1800.0, 6900)",293.3362143900115,0.14958786237580565
"(1800.0, 7200)",293.35649250588534,0.14981790262214648
"(1800.0, 7500)",296.98325288608027,0.11276977507301106
"(1800.0, 7800)",299.24411086952875,0.12791577495734324
"(1800.0, 8100)",300.624667805127,0.13716443866818412
"(1800.0, 8400)",286.7478413026488,0.1892887511305181
"(1800.0, 8700)",285.4913012886254,0.15323924962090524
"(1800.0, 9000)",285.38692695908156,0.1502448025611522
"(1800.0, 9300)",299.336937836582,-1.8345264276308147e-07
"(1800.0, 9600)",313.7369620796841,-3.2113602537209597e-07
"(1800.0, 9900)",328.58700092772625,-4.631221460866592e-07
"(1800.0, 10200)",327.45211751380504,0.15932422684502712
"(1800.0, 10500)",326.62747231090356,0.15654663534850694
"(1800.0, 10800)",326.0347604651818,0.15455024783934446
"(1800.0, 11100)",303.8572436265974,0.25401383940658867
