,T_out,P_el
"(0, 0)",,
"(0, 300)",291.7570546670083,0.5803528494146664
"(0, 600)",290.55812737063115,0.5204064726071915
"(0, 900)",289.52624735236714,0.4688124613757483
"(0, 1200)",289.4487359827888,0.17511756040334953
"(0, 1500)",289.37548266170893,0.1737380242058836
"(0, 1800)",289.3062534481963,0.1724342716311882
"(0, 2100)",289.6910504952006,0.022162891374972616
"(0, 2400)",290.0731735124092,0.023050524338086072
"(0, 2700)",290.4526410606851,0.023931988916540716
"(0, 3000)",290.5749039768534,0.10988188048591783
"(0, 3300)",290.6933609487082,0.11113045551864409
"(0, 3600)",290.8081304644151,0.11234016356356585
"(0, 3900)",290.8891412489085,0.12344392226156088
"(0, 4200)",290.9674412982562,0.12434396305446152
"(0, 4500)",291.0430868270953,0.12521349075365307
"(0, 4800)",291.1164515032681,0.12596031522388013
"(0, 5100)",291.18733089719734,0.1267744337014532
"(0, 5400)",291.2558091899229,0.12756097320651752
"(0, 5700)",291.32193320990467,0.12833220446831284
"(0, 6000)",291.3858170036314,0.1290660387944508
"(0, 6300)",291.4475377861503,0.1297750265706341
"(0, 6600)",291.50841164024763,0.1300513203159988
"(0, 6900)",291.56722965884484,0.13072477371945093
"(0, 7200)",291.6240612616006,0.1313754830975015
"(0, 7500)",291.64026163835416,0.14470147695764493
"(0, 7800)",291.6558613533306,0.14489793043000723
"(0, 8100)",291.6708826772817,0.1450870999920244
"(0, 8400)",292.12088301644053,-1.1521849912596671e-07
"(0, 8700)",292.5708833685929,-1.1954970552986678e-07
"(0, 9000)",293.0208837351809,-1.2388091207270986e-07
"(0, 9300)",292.6569554513716,0.2674650707908228
"(0, 9600)",292.3156436074937,0.26016601253164223
"(0, 9900)",291.99554273252454,0.2533205573353945
"(0, 10200)",292.3370632410458,0.0366667437528773
"(0, 10500)",292.6755144320549,0.03768502870374151
"(0, 10800)",293.0109238780843,0.038694162074645336
"(0, 11100)",293.0469457596732,0.138185030586832
"(0, 11400)",293.08182814197977,0.13855877977953351
"(0, 11700)",293.11560707138966,0.13892070596583075
"(0, 12000)",293.1483337575624,0.1392658287656163
"(0, 12300)",293.1800252235627,0.13960537523054414
"(0, 12600)",293.2107142157795,0.1399341810617189
"(0, 12900)",293.2404267804936,0.14025444602260825
"(0, 13200)",293.2691994559462,0.14056272440984988
"(0, 13500)",293.2970619733919,0.1408612511129646
"(0, 13800)",293.32404447918134,0.14114988951518057
"(0, 14100)",293.3501734576358,0.14142984169143263
"(0, 14400)",293.3754759080606,0.14170093824705535
"(0, 14700)",293.39997761295587,0.14196357840024637
