,T_out,P_el,_mDot_full
"(0, 0)",,,
"(0, 300)",291.75703506110506,0.5803518688535801,0.05000000997656391
"(0, 600)",290.55809889787923,0.5204050487310294,0.05000000997656391
"(0, 900)",289.52622314953436,0.46881125101921145,0.05000000997656391
"(0, 1200)",289.97607245629445,5.1100088222007596e-05,5.200459130471152e-06
"(0, 1500)",290.42591474377855,5.343947465322648e-05,5.200459130471152e-06
"(0, 1800)",290.8757500121064,5.577882458160981e-05,5.200459130471152e-06
"(0, 2100)",290.9984762582727,0.10970279320164456,0.010112276654335511
"(0, 2400)",291.1175350253744,0.11090674839270101,0.010112276654335511
"(0, 2700)",291.2330084512354,0.11207444762123091,0.010112276654335511
"(0, 3000)",291.3248158981395,0.11986915896648388,0.010726723380422
"(0, 3300)",291.41371487660035,0.1208227537172366,0.010726723380422
"(0, 3600)",291.49979751224953,0.12174613833770316,0.010726723380422
"(0, 3900)",291.5837337972722,0.12246401556829496,0.010710763232699295
"(0, 4200)",291.665015505245,0.12333460469754084,0.010710763232699295
"(0, 4500)",291.74372658105585,0.1241776603943422,0.010710763232699295
"(0, 4800)",291.8197600503503,0.12505600351177404,0.010716244633326452
"(0, 5100)",291.893387642032,0.1258450147959982,0.010716244633326452
"(0, 5400)",291.96468548245593,0.1266090598958085,0.010716244633326452
"(0, 5700)",292.0337749356064,0.1273332522043225,0.010714882509496532
"(0, 6000)",292.1006784856046,0.12805011588202153,0.010714882509496532
"(0, 6300)",292.16546661335167,0.12874431305884187,0.010714882509496532
"(0, 6600)",292.2281916791811,0.1294208983351539,0.010715254549092243
"(0, 6900)",292.2889320966585,0.13007174736984187,0.010715254549092243
"(0, 7200)",292.34775065450873,0.13070200318941727,0.010715254549092243
"(0, 7500)",292.40471173123075,0.13131114139074646,0.010715155465966953
"(0, 7800)",292.45987052974186,0.13190217649210967,0.010715155465966953
"(0, 8100)",292.51328406579654,0.13247451083492248,0.010715155465966953
"(0, 8400)",292.56502510408365,0.13302925396658488,0.010715182035582646
"(0, 8700)",292.6151292963613,0.13356612950758603,0.010715182035582646
"(0, 9000)",292.66364842483074,0.13408602080134366,0.010715182035582646
"(0, 9300)",292.7106328967856,0.13458937864321593,0.010715174923841478
"(0, 9600)",292.7561309993569,0.13507689877096954,0.010715174923841478
"(0, 9900)",292.8001897543337,0.13554899603747309,0.010715174923841478
"(0, 10200)",292.8428546247054,0.13600618176006354,0.010715176828334571
"(0, 10500)",292.8841697774888,0.1364488809278261,0.010715176828334571
"(0, 10800)",292.92417791145573,0.13687757515785395,0.010715176828334571
"(0, 11100)",292.96292039384974,0.13729270117356315,0.01071517631838754
"(0, 11400)",293.0004372447816,0.13769470084620997,0.01071517631838754
"(0, 11700)",293.036767237515,0.13808398312399334,0.01071517631838754
"(0, 12000)",293.0719479135058,0.13846095203471176,0.01071517645493635
"(0, 12300)",293.10601563696406,0.13882599370298532,0.01071517645493635
"(0, 12600)",293.13900561651815,0.13917948715515155,0.01071517645493635
"(0, 12900)",293.1709519483633,0.13952179726186842,0.01071517641837281
"(0, 13200)",293.20188764724577,0.13985327873301887,0.01071517641837281
"(0, 13500)",293.23184468487926,0.1401742736762342,0.01071517641837281
"(0, 13800)",293.26085402116354,0.14048511396067434,0.010715176428164256
"(0, 14100)",293.2889456373275,0.14078612058402362,0.010715176428164256
"(0, 14400)",293.31614856575624,0.14107760476150005,0.010715176428164256
"(0, 14700)",293.34249092048725,0.14135986770537148,0.010715176425541149
"(0, 15000)",293.3679999259578,0.14163320119942796,0.010715176425541149
"(0, 15300)",293.3927019454519,0.1418978876963744,0.010715176425541149
"(0, 15600)",293.41662250821526,0.142154200755899,0.010715176426243441
"(0, 15900)",293.4397863359222,0.1424024052564858,0.010715176426243441
"(0, 16200)",293.4622173681409,0.14264275772413212,0.010715176426243441
"(0, 16500)",293.4839387871106,0.1428755065581106,0.010715176426055172
"(0, 16800)",293.5049730416782,0.14310089230679313,0.010715176426055172
"(0, 17100)",293.52534187052083,0.14331914790143374,0.010715176426055172
"(0, 17400)",293.5450663246033,0.14353049890750905,0.01071517642610555
"(0, 17700)",293.56416678894016,0.14373516375270037,0.01071517642610555
"(0, 18000)",293.582663003657,0.1439333539566058,0.01071517642610555
"(0, 18300)",293.60057408439457,0.14412527434651784,0.010715176426092621
"(0, 18600)",293.61791854206285,0.14431112327044782,0.010715176426092621
"(0, 18900)",293.6347143019733,0.1444910928010992,0.010715176426092621
"(0, 19200)",293.6509787223641,0.14466536893510568,0.01071517642609646
"(0, 19500)",293.66672861233985,0.14483413178488777,0.01071517642609646
"(0, 19800)",293.6819802492437,0.14499755576509904,0.01071517642609646
"(0, 20100)",293.69674939547923,0.14515580977266115,0.010715176426095381
"(0, 20400)",293.7110513148012,0.14530905736142763,0.010715176426095381
"(0, 20700)",293.7249007880903,0.14545745691112882,0.010715176426095381
"(0, 21000)",293.73831212862916,0.1456011617911089,0.01071517642609505
"(0, 21300)",293.75129919689476,0.1457403205188326,0.01071517642609505
"(0, 21600)",293.76387541488333,0.14587507691335308,0.01071517642609505
"(0, 21900)",293.7760537799818,0.14600557024395894,0.010715176426094642
"(0, 22200)",293.78784687840016,0.14613193537412145,0.010715176426094642
"(0, 22500)",293.7992668981796,0.14625430290084895,0.010715176426094642
"(0, 22800)",293.81032564178844,0.14637279928966943,0.010715176426094753
"(0, 23100)",293.82103453831985,0.14648754700533287,0.010715176426094753
"(0, 23400)",293.83140465530437,0.14659866463838064,0.010715176426094753
"(0, 23700)",293.8414467101465,0.1467062670276971,0.010715176426094935
"(0, 24000)",293.8511710812029,0.14681046537919912,0.010715176426094935
"(0, 24300)",293.8605878185069,0.1469113673807695,0.010715176426094935
"(0, 24600)",293.8697066541559,0.14700907731353424,0.010715176426093884
"(0, 24900)",293.878537012369,0.147103696159694,0.010715176426093884
"(0, 25200)",293.88708801922706,0.14719532170679941,0.010715176426093884
"(0, 25500)",293.8953685121042,0.14728404864892816,0.010715176426097947
"(0, 25800)",293.9033870488013,0.14736996868431648,0.010715176426097947
"(0, 26100)",293.9111519163901,0.14745317061045674,0.010715176426097947
"(0, 26400)",293.91867113977924,0.14753374041546347,0.010715176426083824
"(0, 26700)",293.925952490005,0.14761176136775214,0.010715176426083824
"(0, 27000)",293.9330034922648,0.147687314100947,0.010715176426083824
"(0, 27300)",293.9398314336919,0.1477604766987141,0.01071517642613808
"(0, 27600)",293.94644337089323,0.1478313247723447,0.01071517642613808
"(0, 27900)",293.95284613723504,0.14789993154331232,0.01071517642613808
"(0, 28200)",293.95904634991643,0.14796636791325618,0.010715176425934128
"(0, 28500)",293.96505041678205,0.1480307025489948,0.010715176425934128
"(0, 28800)",293.97086454297107,0.1480930019368732,0.010715176425934128
"(0, 29100)",293.97649473728933,0.14815333047288076,0.010715176426699018
"(0, 29400)",293.9819468185148,0.14821175048510504,0.010715176426699018
"(0, 29700)",293.98722642131514,0.1482683223605727,0.010715176426699018
"(0, 30000)",293.99233900222,0.14832310452742248,0.010715176423842416
"(0, 30300)",293.99728984490673,0.14837615368025753,0.010715176423842416
"(0, 30600)",294.0020840660183,0.1484275246052829,0.010715176423842416
"(0, 30900)",294.0067266198948,0.14847727053692478,0.01071517643450862
"(0, 31200)",294.011222305016,0.14852544259619266,0.01071517643450862
"(0, 31500)",294.0155757676248,0.14857209071614694,0.01071517643450862
"(0, 31800)",294.01979150860893,0.14861726257212246,0.010715176394675879
"(0, 32100)",294.0238738832081,0.14866100593606252,0.010715176394675879
"(0, 32400)",294.02782711051293,0.1487033654639607,0.010715176394675879
"(0, 32700)",294.0316552700454,0.14874438693361092,0.010715176543432781
"(0, 33000)",294.03536232446095,0.14878410867612954,0.010715176543432781
"(0, 33300)",294.0389521049607,0.148822573807936,0.010715176543432781
"(0, 33600)",294.04242834432756,0.1488598146086868,0.010715175987894694
"(0, 33900)",294.04579461169607,0.1488958847559627,0.010715175987894694
"(0, 34200)",294.0490543860674,0.14893081381203194,0.010715175987894694
"(0, 34500)",294.05221095123505,0.14896466580698836,0.010715178062648675
"(0, 34800)",294.0552676573859,0.14899741895767982,0.010715178062648675
"(0, 35100)",294.058227663594,0.14902913595126588,0.010715178062648675
"(0, 35400)",294.0610943471611,0.14905974519936843,0.010715170315108045
"(0, 35700)",294.06387034227936,0.14908949045985437,0.010715170315108045
"(0, 36000)",294.0665585179066,0.14911829471953747,0.010715170315108045
"(0, 36300)",294.069160462873,0.1491465778900718,0.010715199259890309
"(0, 36600)",294.07168009426175,0.1491735762424636,0.010715199259890309
"(0, 36900)",294.07412001609595,0.14919972049109534,0.010715199259890309
