,N,iter_count,n_call_callback_fun,n_call_nlp_f,n_call_nlp_g,n_call_nlp_grad,n_call_nlp_grad_f,n_call_nlp_hess_l,n_call_nlp_jac_g,n_call_total,return_status,success,t_proc_callback_fun,t_proc_nlp_f,t_proc_nlp_g,t_proc_nlp_grad,t_proc_nlp_grad_f,t_proc_nlp_hess_l,t_proc_nlp_jac_g,t_proc_total,t_wall_callback_fun,t_wall_nlp_f,t_wall_nlp_g,t_wall_nlp_grad,t_wall_nlp_grad_f,t_wall_nlp_hess_l,t_wall_nlp_jac_g,t_wall_total,unified_return_status
"0",48,16,0,50,17,0,18,16,18,1,0,True,0.0,0.002,0.0,0.0,0.0,0.003,0.002,0.028,0.0,0.0016169999999999986,0.0007870000000000004,0.0,0.0007740000000000002,0.001947,0.0013939999999999994,0.028014,SOLVER_RET_SUCCESS
"900.0",48,16,0,50,17,0,18,16,18,1,0,True,0.0,0.0,0.002,0.0,0.002,0.003,0.001,0.024,0.0,0.0015539999999999983,0.0006660000000000001,0.0,0.000773,0.0021060000000000002,0.0012209999999999999,0.024216,SOLVER_RET_SUCCESS
"1800.0",48,12,0,38,13,0,14,12,14,1,0,True,0.0,0.0,0.002,0.0,0.001,0.001,0.002,0.018,0.0,0.0010099999999999998,0.000503,0.0,0.000472,0.0012650000000000003,0.000825,0.016645,SOLVER_RET_SUCCESS
"2700.0",48,13,0,41,14,0,15,13,15,1,0,True,0.0,0.001,0.001,0.0,0.002,0.002,0.002,0.019,0.0,0.0010879999999999993,0.000538,0.0,0.000512,0.0013890000000000003,0.000886,0.017874,SOLVER_RET_SUCCESS
"3600.0",48,13,0,41,14,0,15,13,15,1,0,True,0.0,0.0,0.002,0.0,0.0,0.003,0.001,0.018,0.0,0.0010869999999999996,0.0005459999999999999,0.0,0.000505,0.0013700000000000001,0.00088,0.017807,SOLVER_RET_SUCCESS
"4500.0",48,15,0,47,16,0,17,15,17,1,0,True,0.0,0.002,0.0,0.0,0.0,0.001,0.0,0.02,0.0,0.0012499999999999994,0.0006110000000000002,0.0,0.000571,0.001572,0.000992,0.020151,SOLVER_RET_SUCCESS
"5400.0",48,14,0,44,15,0,16,14,16,1,0,True,0.0,0.0,0.002,0.0,0.0,0.001,0.001,0.018,0.0,0.0012019999999999993,0.0006200000000000001,0.0,0.000543,0.0014839999999999999,0.0009509999999999999,0.019195,SOLVER_RET_SUCCESS
"6300.0",48,15,0,47,16,0,17,15,17,1,0,True,0.0,0.0,0.001,0.0,0.001,0.003,0.001,0.023,0.0,0.0014249999999999998,0.000705,0.0,0.0006550000000000001,0.0017089999999999998,0.00113,0.022905,SOLVER_RET_SUCCESS
"7200.0",48,13,0,41,14,0,15,13,15,1,0,True,0.0,0.002,0.0,0.0,0.0,0.001,0.0,0.018,0.0,0.0011039999999999997,0.000545,0.0,0.0005099999999999999,0.001379,0.000918,0.017897,SOLVER_RET_SUCCESS
"8100.0",48,13,0,41,14,0,15,13,15,1,0,True,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.018,0.0,0.0010869999999999996,0.000544,0.0,0.000502,0.001367,0.000877,0.017719,SOLVER_RET_SUCCESS
"9000.0",48,13,0,41,14,0,15,13,15,1,0,True,0.0,0.0,0.001,0.0,0.001,0.002,0.001,0.018,0.0,0.0010839999999999997,0.0005409999999999999,0.0,0.000507,0.0013679999999999999,0.000877,0.017794,SOLVER_RET_SUCCESS
"9900.0",48,27,0,83,28,0,29,27,29,1,0,True,0.0,0.003,0.002,0.0,0.0,0.003,0.002,0.036,0.0,0.002427999999999998,0.0011260000000000003,0.0,0.0010050000000000003,0.002991000000000001,0.0018409999999999993,0.036408,SOLVER_RET_SUCCESS
"10800.0",48,23,0,71,24,0,25,23,25,1,0,True,0.0,0.004,0.002,0.0,0.001,0.001,0.001,0.03,0.0,0.0019889999999999986,0.0009190000000000005,0.0,0.0008290000000000003,0.0024310000000000004,0.001462999999999999,0.029733,SOLVER_RET_SUCCESS
"11700.0",48,20,0,62,21,0,22,20,22,1,0,True,0.0,0.003,0.001,0.0,0.0,0.003,0.002,0.027,0.0,0.0018099999999999995,0.0008480000000000002,0.0,0.0007620000000000001,0.002313000000000001,0.0014179999999999996,0.028269,SOLVER_RET_SUCCESS
"12600.0",48,20,0,62,21,0,22,20,22,1,0,True,0.0,0.004,0.001,0.0,0.0,0.002,0.0,0.026,0.0,0.0016999999999999984,0.0008070000000000004,0.0,0.0007270000000000003,0.0021450000000000006,0.0012839999999999996,0.02621,SOLVER_RET_SUCCESS
"13500.0",48,20,0,62,21,0,22,20,22,1,0,True,0.0,0.002,0.001,0.0,0.001,0.002,0.002,0.029,0.0,0.001826999999999999,0.0008610000000000002,0.0,0.0007760000000000002,0.0022130000000000006,0.0013729999999999997,0.028133,SOLVER_RET_SUCCESS
"14400.0",48,20,0,62,21,0,22,20,22,1,0,True,0.0,0.0,0.001,0.0,0.002,0.002,0.004,0.026,0.0,0.001704999999999999,0.0008060000000000003,0.0,0.0007300000000000002,0.0021140000000000004,0.0012909999999999998,0.026275,SOLVER_RET_SUCCESS
"15300.0",48,19,0,59,20,0,21,19,21,1,0,True,0.0,0.004,0.001,0.0,0.0,0.002,0.001,0.026,0.0,0.0016839999999999989,0.0007820000000000004,0.0,0.0007000000000000001,0.0020180000000000007,0.001242,0.025153,SOLVER_RET_SUCCESS
"16200.0",48,20,0,62,21,0,22,20,22,1,0,True,0.0,0.003,0.001,0.0,0.001,0.001,0.002,0.042,0.0,0.0025159999999999983,0.0012060000000000007,0.0,0.0010830000000000004,0.0030840000000000004,0.0019009999999999995,0.040938,SOLVER_RET_SUCCESS
"17100.0",48,19,0,59,20,0,21,19,21,1,0,True,0.0,0.002,0.0,0.0,0.002,0.003,0.001,0.025,0.0,0.0016269999999999995,0.0007620000000000003,0.0,0.0007010000000000002,0.0020340000000000007,0.001235,0.025052,SOLVER_RET_SUCCESS
"18000.0",48,19,0,59,20,0,21,19,21,1,0,True,0.0,0.001,0.0,0.0,0.001,0.003,0.002,0.026,0.0,0.0016779999999999998,0.0007950000000000001,0.0,0.0007080000000000001,0.0020260000000000005,0.001254,0.025868,SOLVER_RET_SUCCESS
"18900.0",48,13,0,41,14,0,15,13,15,1,0,True,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.018,0.0,0.001124,0.0005350000000000001,0.0,0.000498,0.0013750000000000001,0.0008759999999999999,0.01806,SOLVER_RET_SUCCESS
"19800.0",48,14,0,44,15,0,16,14,16,1,0,True,0.0,0.002,0.0,0.0,0.0,0.001,0.0,0.02,0.0,0.0012139999999999996,0.0005740000000000001,0.0,0.000531,0.0014790000000000003,0.000932,0.019355,SOLVER_RET_SUCCESS
"20700.0",48,13,0,41,14,0,15,13,15,1,0,True,0.0,0.001,0.0,0.0,0.001,0.002,0.001,0.018,0.0,0.0011259999999999998,0.0005370000000000002,0.0,0.000503,0.0013750000000000004,0.000881,0.018085,SOLVER_RET_SUCCESS
